stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,467.15,469.00,467.15,468.95,467.36,4415,0,262922,0
Ok,08-09-2025 15:20:00,1757325000,467.40,467.45,466.85,467.05,467.30,2492,0,258507,0
Ok,08-09-2025 15:15:00,1757324700,466.45,467.50,466.20,466.25,467.04,4531,0,256015,0
Ok,08-09-2025 15:10:00,1757324400,465.75,466.85,465.70,466.30,465.15,1210,0,251484,0
Ok,08-09-2025 15:05:00,1757324100,466.80,467.05,466.00,466.00,466.21,10685,0,250274,0
Ok,08-09-2025 15:00:00,1757323800,466.65,467.15,465.00,466.70,465.14,11375,0,239589,0
Ok,08-09-2025 14:55:00,1757323500,466.50,467.40,465.90,466.25,466.40,9754,0,228214,0
Ok,08-09-2025 14:50:00,1757323200,465.80,466.45,465.80,465.90,465.36,1606,0,218460,0
Ok,08-09-2025 14:45:00,1757322900,465.50,467.05,465.00,465.00,465.86,12694,0,216854,0
Ok,08-09-2025 14:40:00,1757322600,467.15,467.15,465.35,465.45,466.31,3121,0,204160,0
Ok,08-09-2025 14:35:00,1757322300,467.00,467.55,466.75,467.30,468.07,1056,0,201039,0
Ok,08-09-2025 14:30:00,1757322000,466.55,467.40,466.50,466.95,467.32,802,0,199983,0
Ok,08-09-2025 14:25:00,1757321700,466.05,466.80,465.80,466.80,466.65,460,0,199181,0
Ok,08-09-2025 14:20:00,1757321400,466.00,466.50,465.30,465.60,465.51,3667,0,198721,0
Ok,08-09-2025 14:15:00,1757321100,466.00,466.00,465.35,465.95,467.72,357,0,195054,0
Ok,08-09-2025 14:10:00,1757320800,466.20,466.70,466.00,466.00,465.26,645,0,194697,0
Ok,08-09-2025 14:05:00,1757320500,467.35,467.40,466.20,467.05,468.33,318,0,194052,0
Ok,08-09-2025 14:00:00,1757320200,466.50,468.00,465.90,467.35,466.69,12983,0,193734,0
Ok,08-09-2025 13:55:00,1757319900,466.10,466.85,465.75,465.75,465.96,4362,0,180751,0
Ok,08-09-2025 13:50:00,1757319600,467.00,469.65,465.70,466.00,467.14,20234,0,176389,0
Ok,08-09-2025 13:45:00,1757319300,465.80,465.80,465.20,465.40,464.71,434,0,156155,0
Ok,08-09-2025 13:40:00,1757319000,466.30,466.60,465.80,465.80,465.37,728,0,155721,0
Ok,08-09-2025 13:35:00,1757318700,465.30,466.45,465.30,465.75,467.59,476,0,154993,0
Ok,08-09-2025 13:30:00,1757318400,466.55,467.00,465.15,465.30,466.53,1958,0,154517,0
Ok,08-09-2025 13:25:00,1757318100,465.20,467.15,464.75,466.30,465.21,3879,0,152559,0
Ok,08-09-2025 13:20:00,1757317800,465.95,466.15,465.15,465.30,466.18,838,0,148680,0
Ok,08-09-2025 13:15:00,1757317500,468.15,468.20,465.05,466.10,466.08,6752,0,147842,0
Ok,08-09-2025 13:10:00,1757317200,464.55,468.45,464.20,468.45,465.86,12039,0,141090,0
Ok,08-09-2025 13:05:00,1757316900,465.05,465.40,464.75,464.75,464.92,3658,0,129051,0
Ok,08-09-2025 13:00:00,1757316600,464.90,465.30,464.30,465.00,465.06,2422,0,125393,0
Ok,08-09-2025 12:55:00,1757316300,463.00,465.60,463.00,464.95,464.21,12033,0,122971,0
Ok,08-09-2025 12:50:00,1757316000,460.50,463.00,460.50,462.55,461.93,5050,0,110938,0
Ok,08-09-2025 12:45:00,1757315700,460.20,461.45,460.05,460.55,460.42,2746,0,105888,0
Ok,08-09-2025 12:40:00,1757315400,457.65,460.45,457.50,460.45,458.96,9190,0,103142,0
Ok,08-09-2025 12:35:00,1757315100,456.35,457.10,456.20,457.00,456.77,740,0,93952,0
Ok,08-09-2025 12:30:00,1757314800,456.25,456.85,455.00,456.20,455.75,4243,0,93212,0
Ok,08-09-2025 12:25:00,1757314500,457.85,458.05,456.50,456.50,456.98,8951,0,88969,0
Ok,08-09-2025 12:20:00,1757314200,458.00,458.70,457.70,457.80,458.72,761,0,80018,0
Ok,08-09-2025 12:15:00,1757313900,458.15,459.00,458.00,458.10,458.12,1415,0,79257,0
Ok,08-09-2025 12:10:00,1757313600,458.20,458.95,458.10,458.10,459.81,483,0,77842,0
Ok,08-09-2025 12:05:00,1757313300,458.65,458.75,458.10,458.15,458.34,2063,0,77359,0
Ok,08-09-2025 12:00:00,1757313000,458.10,458.55,458.10,458.30,459.85,257,0,75296,0
Ok,08-09-2025 11:55:00,1757312700,458.15,458.35,458.10,458.35,459.85,102,0,75039,0
Ok,08-09-2025 11:50:00,1757312400,457.50,458.35,457.50,458.05,457.87,751,0,74937,0
Ok,08-09-2025 11:45:00,1757312100,458.20,458.35,457.60,457.60,457.85,1446,0,74186,0
Ok,08-09-2025 11:40:00,1757311800,458.20,458.90,458.15,458.35,459.91,178,0,72740,0
Ok,08-09-2025 11:35:00,1757311500,458.50,458.60,458.10,458.15,458.35,2271,0,72562,0
Ok,08-09-2025 11:30:00,1757311200,458.50,459.00,458.35,458.40,458.06,737,0,70291,0
Ok,08-09-2025 11:25:00,1757310900,457.70,458.95,457.70,458.40,458.36,855,0,69554,0
Ok,08-09-2025 11:20:00,1757310600,458.20,458.60,457.75,457.75,457.78,617,0,68699,0
Ok,08-09-2025 11:15:00,1757310300,458.00,458.45,457.95,458.15,455.37,292,0,68082,0
Ok,08-09-2025 11:10:00,1757310000,458.20,458.30,457.65,458.30,460.04,339,0,67790,0
Ok,08-09-2025 11:05:00,1757309700,457.30,458.00,457.20,457.75,458.26,755,0,67451,0
Ok,08-09-2025 11:00:00,1757309400,459.40,459.50,456.95,457.25,457.63,6248,0,66696,0
Ok,08-09-2025 10:55:00,1757309100,459.00,459.40,459.00,459.10,460.31,101,0,60448,0
Ok,08-09-2025 10:50:00,1757308800,458.95,459.55,458.90,459.00,460.31,285,0,60347,0
Ok,08-09-2025 10:45:00,1757308500,458.90,459.55,458.65,458.90,458.62,3697,0,60062,0
Ok,08-09-2025 10:40:00,1757308200,458.50,459.70,458.50,458.75,459.15,1729,0,56365,0
Ok,08-09-2025 10:35:00,1757307900,459.10,459.25,458.50,458.95,459.07,1536,0,54636,0
Ok,08-09-2025 10:30:00,1757307600,459.80,459.95,459.10,459.15,458.89,655,0,53100,0
Ok,08-09-2025 10:25:00,1757307300,459.20,460.50,458.50,459.75,459.29,3986,0,52445,0
Ok,08-09-2025 10:20:00,1757307000,460.55,461.00,458.95,459.50,459.43,6088,0,48459,0
Ok,08-09-2025 10:15:00,1757306700,459.85,461.35,459.65,460.45,460.36,971,0,42371,0
Ok,08-09-2025 10:10:00,1757306400,460.10,461.00,460.00,460.00,460.22,2714,0,41400,0
Ok,08-09-2025 10:05:00,1757306100,460.00,460.65,459.80,460.05,460.16,1642,0,38686,0
Ok,08-09-2025 10:00:00,1757305800,459.85,460.00,459.65,459.85,460.87,225,0,37044,0
Ok,08-09-2025 09:55:00,1757305500,460.00,460.00,459.65,460.00,460.00,832,0,36819,0
Ok,08-09-2025 09:50:00,1757305200,460.90,461.20,459.55,459.65,459.90,2080,0,35987,0
