stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,591.25,593.90,591.25,592.50,591.89,15935,0,431263,0
Ok,08-09-2025 15:20:00,1757325000,593.65,594.35,591.10,591.90,591.74,51208,0,415328,0
Ok,08-09-2025 15:15:00,1757324700,593.90,594.80,593.50,593.80,593.72,7967,0,364120,0
Ok,08-09-2025 15:10:00,1757324400,593.95,594.60,593.50,593.50,593.30,5816,0,356153,0
Ok,08-09-2025 15:05:00,1757324100,593.70,594.50,593.35,593.80,594.79,4741,0,350337,0
Ok,08-09-2025 15:00:00,1757323800,593.55,594.20,593.05,593.25,593.92,4415,0,345596,0
Ok,08-09-2025 14:55:00,1757323500,594.25,594.50,593.15,593.50,593.78,12069,0,341181,0
Ok,08-09-2025 14:50:00,1757323200,594.65,595.15,594.10,594.50,594.18,3265,0,329112,0
Ok,08-09-2025 14:45:00,1757322900,596.15,596.15,594.60,594.60,595.51,3813,0,325847,0
Ok,08-09-2025 14:40:00,1757322600,595.90,596.40,595.80,596.00,591.66,578,0,322034,0
Ok,08-09-2025 14:35:00,1757322300,596.40,596.40,595.35,595.50,597.24,1821,0,321456,0
Ok,08-09-2025 14:30:00,1757322000,596.20,596.60,595.85,596.35,595.91,2400,0,319635,0
Ok,08-09-2025 14:25:00,1757321700,595.30,596.45,595.25,595.60,595.56,3738,0,317235,0
Ok,08-09-2025 14:20:00,1757321400,595.40,595.90,594.50,595.75,595.82,2158,0,313497,0
Ok,08-09-2025 14:15:00,1757321100,595.00,595.20,594.55,595.00,591.54,542,0,311339,0
Ok,08-09-2025 14:10:00,1757320800,594.60,595.20,594.55,595.20,597.29,231,0,310797,0
Ok,08-09-2025 14:05:00,1757320500,594.10,595.00,594.10,595.00,593.99,939,0,310566,0
Ok,08-09-2025 14:00:00,1757320200,594.95,595.20,594.10,594.10,595.58,1795,0,309627,0
Ok,08-09-2025 13:55:00,1757319900,594.30,595.10,594.25,594.90,594.30,2034,0,307832,0
Ok,08-09-2025 13:50:00,1757319600,594.85,595.05,594.05,594.35,594.03,3668,0,305798,0
Ok,08-09-2025 13:45:00,1757319300,595.60,595.70,594.50,594.50,595.27,8433,0,302130,0
Ok,08-09-2025 13:40:00,1757319000,596.45,596.45,595.20,595.20,595.35,4195,0,293697,0
Ok,08-09-2025 13:35:00,1757318700,596.20,596.20,596.10,596.10,597.46,344,0,289502,0
Ok,08-09-2025 13:30:00,1757318400,595.85,596.40,595.55,596.35,595.93,1890,0,289158,0
Ok,08-09-2025 13:25:00,1757318100,595.30,595.35,595.20,595.35,595.38,1377,0,287268,0
Ok,08-09-2025 13:20:00,1757317800,596.10,596.10,595.05,595.35,595.10,2386,0,285891,0
Ok,08-09-2025 13:15:00,1757317500,596.35,596.60,595.45,595.85,595.85,3413,0,283505,0
Ok,08-09-2025 13:10:00,1757317200,597.10,597.10,596.35,596.65,597.52,269,0,280092,0
Ok,08-09-2025 13:05:00,1757316900,596.50,597.05,596.25,597.05,597.52,545,0,279823,0
Ok,08-09-2025 13:00:00,1757316600,596.75,596.90,596.30,596.85,597.52,609,0,279278,0
Ok,08-09-2025 12:55:00,1757316300,597.20,597.20,596.05,596.75,596.45,2609,0,278669,0
Ok,08-09-2025 12:50:00,1757316000,597.10,597.50,596.50,597.15,596.14,1977,0,276060,0
