stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,372.60,373.95,372.40,373.90,372.75,10471,0,424343,0
Ok,08-09-2025 15:20:00,1757325000,372.20,372.90,372.20,372.90,372.35,11944,0,413872,0
Ok,08-09-2025 15:15:00,1757324700,373.05,373.05,372.05,372.10,372.17,17036,0,401928,0
Ok,08-09-2025 15:10:00,1757324400,373.75,374.00,372.80,372.80,373.80,10246,0,384892,0
Ok,08-09-2025 15:05:00,1757324100,372.60,374.00,372.60,374.00,373.02,11881,0,374646,0
Ok,08-09-2025 15:00:00,1757323800,373.05,373.30,372.70,372.75,372.93,4281,0,362765,0
Ok,08-09-2025 14:55:00,1757323500,373.95,373.95,372.70,373.30,372.91,6197,0,358484,0
Ok,08-09-2025 14:50:00,1757323200,373.35,374.00,373.35,374.00,373.50,3025,0,352287,0
Ok,08-09-2025 14:45:00,1757322900,373.95,373.95,373.35,373.60,374.67,1049,0,349262,0
Ok,08-09-2025 14:40:00,1757322600,373.40,374.00,373.30,374.00,373.45,2842,0,348213,0
Ok,08-09-2025 14:35:00,1757322300,373.75,374.05,373.35,373.50,373.19,2323,0,345371,0
Ok,08-09-2025 14:30:00,1757322000,374.10,374.15,373.70,374.05,374.69,1475,0,343048,0
Ok,08-09-2025 14:25:00,1757321700,373.10,374.05,373.10,373.85,373.76,3663,0,341573,0
Ok,08-09-2025 14:20:00,1757321400,372.75,373.05,372.65,373.05,373.35,2498,0,337910,0
Ok,08-09-2025 14:15:00,1757321100,372.90,373.10,372.75,373.05,372.59,3142,0,335412,0
Ok,08-09-2025 14:10:00,1757320800,373.00,373.10,372.65,372.85,372.32,1374,0,332270,0
Ok,08-09-2025 14:05:00,1757320500,372.70,372.90,372.50,372.90,372.64,4688,0,330896,0
Ok,08-09-2025 14:00:00,1757320200,374.00,374.05,372.60,372.60,373.63,11123,0,326208,0
Ok,08-09-2025 13:55:00,1757319900,374.05,374.10,373.75,374.05,373.86,6518,0,315085,0
Ok,08-09-2025 13:50:00,1757319600,374.05,374.10,374.00,374.00,373.41,2164,0,308567,0
Ok,08-09-2025 13:45:00,1757319300,373.90,374.20,373.80,374.00,374.84,2125,0,306403,0
Ok,08-09-2025 13:40:00,1757319000,374.25,374.25,374.00,374.00,373.74,2760,0,304278,0
Ok,08-09-2025 13:35:00,1757318700,374.00,374.40,374.00,374.40,374.33,5761,0,301518,0
Ok,08-09-2025 13:30:00,1757318400,374.10,374.10,373.90,374.05,373.68,4958,0,295757,0
