stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,316.25,316.95,314.55,315.00,316.06,4934,0,92346,0
Ok,08-09-2025 15:20:00,1757325000,315.80,316.30,315.75,316.10,315.92,3791,0,87412,0
Ok,08-09-2025 15:15:00,1757324700,316.20,316.80,315.75,316.00,316.11,5535,0,83621,0
Ok,08-09-2025 15:10:00,1757324400,316.10,316.45,316.10,316.15,315.66,112,0,78086,0
Ok,08-09-2025 15:05:00,1757324100,315.75,316.20,315.75,316.20,315.66,683,0,77974,0
Ok,08-09-2025 15:00:00,1757323800,316.80,316.85,316.00,316.30,316.78,676,0,77291,0
Ok,08-09-2025 14:55:00,1757323500,316.95,316.95,316.80,316.90,315.65,72,0,76615,0
Ok,08-09-2025 14:50:00,1757323200,316.60,316.95,316.60,316.95,316.73,2707,0,76543,0
Ok,08-09-2025 14:45:00,1757322900,317.30,317.50,316.20,316.60,316.99,3056,0,73836,0
Ok,08-09-2025 14:40:00,1757322600,317.75,317.75,317.10,317.10,318.27,259,0,70780,0
Ok,08-09-2025 14:35:00,1757322300,317.70,317.70,317.00,317.15,317.38,381,0,70521,0
Ok,08-09-2025 14:30:00,1757322000,316.70,317.45,316.70,317.45,317.31,391,0,70140,0
Ok,08-09-2025 14:25:00,1757321700,316.10,316.90,316.10,316.65,315.52,32,0,69749,0
Ok,08-09-2025 14:20:00,1757321400,316.80,317.30,315.70,316.10,315.92,4736,0,69717,0
Ok,08-09-2025 14:15:00,1757321100,317.00,317.00,316.80,316.80,318.35,451,0,64981,0
Ok,08-09-2025 14:10:00,1757320800,315.50,316.00,314.70,316.00,315.47,1708,0,64530,0
Ok,08-09-2025 14:05:00,1757320500,315.60,316.00,315.55,315.55,316.34,705,0,62822,0
Ok,08-09-2025 14:00:00,1757320200,316.00,316.00,315.55,315.55,315.46,120,0,62117,0
Ok,08-09-2025 13:55:00,1757319900,316.15,316.15,316.00,316.00,315.46,538,0,61997,0
Ok,08-09-2025 13:50:00,1757319600,316.00,316.60,315.35,316.15,315.67,2679,0,61459,0
Ok,08-09-2025 13:45:00,1757319300,315.90,316.05,315.90,316.00,316.26,712,0,58780,0
Ok,08-09-2025 13:40:00,1757319000,315.80,317.00,315.80,316.80,316.25,5162,0,58068,0
Ok,08-09-2025 13:35:00,1757318700,315.65,316.20,315.65,316.20,315.36,18,0,52906,0
Ok,08-09-2025 13:30:00,1757318400,316.25,316.25,315.65,315.65,315.95,875,0,52888,0
Ok,08-09-2025 13:25:00,1757318100,315.70,316.25,315.55,315.55,316.92,329,0,52013,0
Ok,08-09-2025 13:20:00,1757317800,315.85,315.95,315.65,315.65,315.34,130,0,51684,0
Ok,08-09-2025 13:15:00,1757317500,315.00,316.10,314.55,315.75,315.34,1175,0,51554,0
Ok,08-09-2025 13:10:00,1757317200,312.65,315.00,312.65,315.00,313.79,2188,0,50379,0
Ok,08-09-2025 13:05:00,1757316900,312.85,312.85,312.65,312.65,315.41,134,0,48191,0
Ok,08-09-2025 13:00:00,1757316600,313.00,313.00,312.85,312.85,315.41,49,0,48057,0
Ok,08-09-2025 12:55:00,1757316300,312.50,312.90,312.50,312.70,313.06,204,0,48008,0
Ok,08-09-2025 12:50:00,1757316000,311.85,312.50,311.85,312.50,315.42,20,0,47804,0
Ok,08-09-2025 12:45:00,1757315700,312.15,313.20,311.85,311.85,312.48,2323,0,47784,0
Ok,08-09-2025 12:40:00,1757315400,312.70,312.80,312.70,312.80,305.00,43,0,45461,0
Ok,08-09-2025 12:35:00,1757315100,313.20,313.75,312.70,312.70,315.58,112,0,45418,0
Ok,08-09-2025 12:30:00,1757314800,313.05,313.45,312.95,313.20,312.95,682,0,45306,0
Ok,08-09-2025 12:25:00,1757314500,313.50,313.50,313.05,313.05,311.16,100,0,44624,0
Ok,08-09-2025 12:20:00,1757314200,314.35,314.35,313.50,313.50,315.63,77,0,44524,0
Ok,08-09-2025 12:15:00,1757313900,313.25,314.35,313.25,314.35,313.31,569,0,44447,0
Ok,08-09-2025 12:10:00,1757313600,313.60,314.15,313.60,313.95,315.66,274,0,43878,0
Ok,08-09-2025 12:05:00,1757313300,314.35,314.35,313.60,313.60,315.66,3,0,43604,0
Ok,08-09-2025 12:00:00,1757313000,314.50,314.50,314.00,314.00,311.51,105,0,43601,0
Ok,08-09-2025 11:55:00,1757312700,313.45,314.80,313.45,314.55,314.11,1351,0,43496,0
Ok,08-09-2025 11:50:00,1757312400,313.05,313.65,313.05,313.45,314.26,288,0,42145,0
Ok,08-09-2025 11:45:00,1757312100,313.60,313.60,312.60,312.60,312.88,147,0,41857,0
Ok,08-09-2025 11:40:00,1757311800,313.65,313.65,313.65,313.65,315.74,52,0,41710,0
Ok,08-09-2025 11:35:00,1757311500,313.65,313.65,313.65,313.65,0.00,0,0,41658,0
Ok,08-09-2025 11:30:00,1757311200,313.95,313.95,313.00,313.65,312.85,429,0,41658,0
Ok,08-09-2025 11:25:00,1757310900,313.80,313.95,313.80,313.95,315.77,2,0,41229,0
Ok,08-09-2025 11:20:00,1757310600,314.40,314.40,313.80,313.80,313.79,208,0,41227,0
Ok,08-09-2025 11:15:00,1757310300,314.20,314.40,313.90,314.40,315.78,68,0,41019,0
Ok,08-09-2025 11:10:00,1757310000,314.10,314.10,313.85,314.10,314.33,282,0,40951,0
Ok,08-09-2025 11:05:00,1757309700,314.30,314.40,314.10,314.40,315.79,23,0,40669,0
Ok,08-09-2025 11:00:00,1757309400,313.85,314.25,313.85,314.25,313.67,381,0,40646,0
Ok,08-09-2025 10:55:00,1757309100,313.20,314.60,313.20,313.85,313.80,980,0,40265,0
Ok,08-09-2025 10:50:00,1757308800,312.80,313.60,312.80,313.45,312.86,1023,0,39285,0
Ok,08-09-2025 10:45:00,1757308500,313.65,314.00,313.00,313.00,313.30,1936,0,38262,0
Ok,08-09-2025 10:40:00,1757308200,315.60,315.60,313.75,313.75,314.11,7136,0,36326,0
Ok,08-09-2025 10:35:00,1757307900,315.60,315.60,314.10,315.60,314.87,1949,0,29190,0
Ok,08-09-2025 10:30:00,1757307600,315.45,315.45,315.05,315.05,315.24,559,0,27241,0
Ok,08-09-2025 10:25:00,1757307300,314.95,315.65,314.60,315.00,315.16,1781,0,26682,0
Ok,08-09-2025 10:20:00,1757307000,315.60,315.60,314.60,314.60,315.12,576,0,24901,0
Ok,08-09-2025 10:15:00,1757306700,315.20,315.20,315.05,315.05,312.20,156,0,24325,0
Ok,08-09-2025 10:10:00,1757306400,314.75,315.20,314.75,315.20,316.89,225,0,24169,0
Ok,08-09-2025 10:05:00,1757306100,315.85,315.85,314.30,314.75,315.01,2523,0,23944,0
Ok,08-09-2025 10:00:00,1757305800,315.15,315.80,315.15,315.80,316.06,203,0,21421,0
Ok,08-09-2025 09:55:00,1757305500,315.65,315.65,315.05,315.10,314.63,583,0,21218,0
Ok,08-09-2025 09:50:00,1757305200,316.35,316.75,315.40,315.40,316.09,729,0,20635,0
Ok,08-09-2025 09:45:00,1757304900,316.80,316.80,316.15,316.65,316.49,268,0,19906,0
Ok,08-09-2025 09:40:00,1757304600,316.85,317.00,316.00,317.00,316.35,1443,0,19638,0
Ok,08-09-2025 09:35:00,1757304300,317.00,317.00,316.50,316.75,316.91,9893,0,18195,0
Ok,08-09-2025 09:30:00,1757304000,317.55,317.55,316.55,316.80,316.89,4829,0,8302,0
Ok,08-09-2025 09:25:00,1757303700,318.45,319.15,317.85,318.40,318.39,935,0,3473,0
Ok,08-09-2025 09:20:00,1757303400,317.95,318.80,317.85,318.25,318.29,707,0,2538,0
