stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,452.55,453.20,452.15,453.20,452.56,8940,0,332901,0
Ok,08-09-2025 15:20:00,1757325000,452.15,452.65,451.60,452.65,451.99,9526,0,323961,0
Ok,08-09-2025 15:15:00,1757324700,452.45,452.55,451.50,452.10,451.92,17217,0,314435,0
Ok,08-09-2025 15:10:00,1757324400,452.35,452.70,452.00,452.35,452.60,6434,0,297218,0
Ok,08-09-2025 15:05:00,1757324100,452.55,453.05,452.30,452.40,452.12,3098,0,290784,0
Ok,08-09-2025 15:00:00,1757323800,453.60,453.80,452.10,452.70,453.15,12051,0,287686,0
Ok,08-09-2025 14:55:00,1757323500,454.05,454.40,453.10,453.55,453.83,12578,0,275635,0
Ok,08-09-2025 14:50:00,1757323200,454.05,454.70,454.05,454.35,454.10,3442,0,263057,0
Ok,08-09-2025 14:45:00,1757322900,455.50,455.75,454.30,454.30,454.53,6729,0,259615,0
Ok,08-09-2025 14:40:00,1757322600,455.70,455.90,455.25,455.75,457.24,897,0,252886,0
Ok,08-09-2025 14:35:00,1757322300,455.90,456.10,455.35,455.70,455.66,4720,0,251989,0
Ok,08-09-2025 14:30:00,1757322000,456.00,456.45,455.65,456.15,457.27,1613,0,247269,0
Ok,08-09-2025 14:25:00,1757321700,454.75,456.35,454.75,456.05,455.16,4601,0,245656,0
Ok,08-09-2025 14:20:00,1757321400,455.70,455.75,454.75,454.90,455.44,2559,0,241055,0
Ok,08-09-2025 14:15:00,1757321100,455.25,455.80,455.00,455.75,455.70,1464,0,238496,0
Ok,08-09-2025 14:10:00,1757320800,455.35,455.35,454.95,455.00,454.77,1838,0,237032,0
Ok,08-09-2025 14:05:00,1757320500,455.15,455.50,455.00,455.25,454.59,850,0,235194,0
Ok,08-09-2025 14:00:00,1757320200,454.75,455.80,454.75,455.50,455.89,4685,0,234344,0
Ok,08-09-2025 13:55:00,1757319900,454.75,455.00,454.70,455.00,454.41,2288,0,229659,0
Ok,08-09-2025 13:50:00,1757319600,455.30,455.30,454.70,455.00,454.94,3599,0,227371,0
Ok,08-09-2025 13:45:00,1757319300,455.40,455.75,455.00,455.05,455.14,4724,0,223772,0
Ok,08-09-2025 13:40:00,1757319000,456.05,456.05,455.40,455.70,455.63,2298,0,219048,0
Ok,08-09-2025 13:35:00,1757318700,456.30,456.35,456.00,456.35,457.54,475,0,216750,0
