stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,351.05,351.55,351.00,351.55,351.21,8860,0,310988,0
Ok,08-09-2025 15:20:00,1757325000,351.35,351.60,351.00,351.30,351.07,13137,0,302128,0
Ok,08-09-2025 15:15:00,1757324700,351.30,351.45,351.00,351.45,350.85,6497,0,288991,0
Ok,08-09-2025 15:10:00,1757324400,351.00,351.25,351.00,351.25,351.48,4343,0,282494,0
Ok,08-09-2025 15:05:00,1757324100,351.40,351.50,351.00,351.20,350.84,2703,0,278151,0
Ok,08-09-2025 15:00:00,1757323800,351.25,351.30,350.75,351.30,350.84,2995,0,275448,0
Ok,08-09-2025 14:55:00,1757323500,351.10,351.40,351.00,351.20,350.84,5418,0,272453,0
Ok,08-09-2025 14:50:00,1757323200,351.00,351.40,351.00,351.10,351.79,2768,0,267035,0
Ok,08-09-2025 14:45:00,1757322900,351.35,351.35,351.20,351.20,350.83,1505,0,264267,0
Ok,08-09-2025 14:40:00,1757322600,351.40,351.40,351.05,351.30,350.83,1880,0,262762,0
Ok,08-09-2025 14:35:00,1757322300,351.05,351.40,351.00,351.30,350.83,2123,0,260882,0
Ok,08-09-2025 14:30:00,1757322000,351.35,351.85,351.00,351.30,351.48,3873,0,258759,0
Ok,08-09-2025 14:25:00,1757321700,350.75,351.40,350.75,351.30,350.82,3769,0,254886,0
Ok,08-09-2025 14:20:00,1757321400,351.65,352.00,351.15,351.30,351.51,3562,0,251117,0
Ok,08-09-2025 14:15:00,1757321100,350.75,351.75,350.75,351.60,351.00,12238,0,247555,0
Ok,08-09-2025 14:10:00,1757320800,350.85,351.00,350.80,350.80,350.80,4690,0,235317,0
Ok,08-09-2025 14:05:00,1757320500,351.10,351.20,350.90,350.90,350.80,2039,0,230627,0
Ok,08-09-2025 14:00:00,1757320200,351.25,351.30,350.95,350.95,350.80,1711,0,228588,0
Ok,08-09-2025 13:55:00,1757319900,351.00,351.30,351.00,351.20,351.58,2865,0,226877,0
Ok,08-09-2025 13:50:00,1757319600,351.30,351.35,351.00,351.20,350.79,3237,0,224012,0
Ok,08-09-2025 13:45:00,1757319300,351.40,351.45,351.10,351.35,351.66,2481,0,220775,0
Ok,08-09-2025 13:40:00,1757319000,351.55,351.70,351.20,351.20,351.13,5868,0,218294,0
Ok,08-09-2025 13:35:00,1757318700,351.25,351.90,351.25,351.60,352.11,3106,0,212426,0
Ok,08-09-2025 13:30:00,1757318400,351.50,351.60,351.30,351.50,350.75,2770,0,209320,0
Ok,08-09-2025 13:25:00,1757318100,351.55,351.85,351.35,351.50,351.86,1832,0,206550,0
Ok,08-09-2025 13:20:00,1757317800,351.40,351.85,351.40,351.75,351.72,2058,0,204718,0
Ok,08-09-2025 13:15:00,1757317500,351.70,351.95,351.40,351.70,350.73,2042,0,202660,0
Ok,08-09-2025 13:10:00,1757317200,351.35,352.25,351.30,351.55,351.53,2452,0,200618,0
Ok,08-09-2025 13:05:00,1757316900,351.40,351.75,351.20,351.55,351.99,3069,0,198166,0
Ok,08-09-2025 13:00:00,1757316600,351.60,351.75,351.05,351.45,350.70,1699,0,195097,0
Ok,08-09-2025 12:55:00,1757316300,351.75,351.95,351.15,351.25,351.55,2234,0,193398,0
Ok,08-09-2025 12:50:00,1757316000,352.55,352.55,351.50,351.55,351.90,3082,0,191164,0
Ok,08-09-2025 12:45:00,1757315700,353.20,353.20,352.35,352.45,352.70,1829,0,188082,0
Ok,08-09-2025 12:40:00,1757315400,352.75,353.15,352.55,353.00,352.97,5440,0,186253,0
Ok,08-09-2025 12:35:00,1757315100,352.90,353.00,352.55,353.00,352.87,3844,0,180813,0
Ok,08-09-2025 12:30:00,1757314800,352.75,353.00,352.15,352.85,352.02,1175,0,176969,0
Ok,08-09-2025 12:25:00,1757314500,351.35,353.20,351.35,352.70,352.39,16135,0,175794,0
Ok,08-09-2025 12:20:00,1757314200,351.30,351.65,351.10,351.60,352.40,766,0,159659,0
Ok,08-09-2025 12:15:00,1757313900,351.65,351.65,351.05,351.10,350.32,514,0,158893,0
Ok,08-09-2025 12:10:00,1757313600,351.65,351.70,351.05,351.70,351.42,1424,0,158379,0
Ok,08-09-2025 12:05:00,1757313300,351.65,351.95,351.40,351.95,351.17,1783,0,156955,0
Ok,08-09-2025 12:00:00,1757313000,351.95,351.95,351.30,351.90,351.87,4774,0,155172,0
Ok,08-09-2025 11:55:00,1757312700,351.45,351.80,351.45,351.80,350.25,562,0,150398,0
Ok,08-09-2025 11:50:00,1757312400,351.55,351.95,351.25,351.75,351.62,4226,0,149836,0
Ok,08-09-2025 11:45:00,1757312100,351.25,351.65,351.20,351.65,350.21,359,0,145610,0
Ok,08-09-2025 11:40:00,1757311800,351.45,351.70,350.90,351.55,351.03,22206,0,145251,0
Ok,08-09-2025 11:35:00,1757311500,351.65,351.80,351.15,351.50,351.19,5198,0,123045,0
Ok,08-09-2025 11:30:00,1757311200,351.55,351.55,351.40,351.55,353.96,592,0,117847,0
Ok,08-09-2025 11:25:00,1757310900,351.55,351.90,351.45,351.80,349.99,880,0,117255,0
Ok,08-09-2025 11:20:00,1757310600,351.80,351.95,351.40,351.85,351.45,2325,0,116375,0
Ok,08-09-2025 11:15:00,1757310300,351.90,351.95,351.50,351.75,351.95,1128,0,114050,0
Ok,08-09-2025 11:10:00,1757310000,351.55,351.95,351.40,351.95,351.47,2161,0,112922,0
Ok,08-09-2025 11:05:00,1757309700,350.95,351.45,350.95,351.45,350.99,1011,0,110761,0
Ok,08-09-2025 11:00:00,1757309400,351.20,351.75,351.00,351.30,351.59,1277,0,109750,0
Ok,08-09-2025 10:55:00,1757309100,351.55,351.70,351.00,351.25,351.16,2473,0,108473,0
Ok,08-09-2025 10:50:00,1757308800,351.70,352.30,351.40,351.60,351.82,1583,0,106000,0
Ok,08-09-2025 10:45:00,1757308500,351.60,352.40,351.60,352.00,352.15,1760,0,104417,0
Ok,08-09-2025 10:40:00,1757308200,351.05,351.35,351.00,351.00,349.78,635,0,102657,0
Ok,08-09-2025 10:35:00,1757307900,351.00,351.40,350.75,351.00,350.99,2447,0,102022,0
Ok,08-09-2025 10:30:00,1757307600,351.00,351.50,350.85,350.90,351.17,2710,0,99575,0
Ok,08-09-2025 10:25:00,1757307300,351.25,351.75,350.95,350.95,351.26,4727,0,96865,0
