stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,478.00,479.20,476.80,479.20,477.71,4818,0,153498,0
Ok,08-09-2025 15:20:00,1757325000,477.45,478.30,476.60,477.80,476.85,5322,0,148680,0
Ok,08-09-2025 15:15:00,1757324700,475.80,479.00,475.80,477.75,477.12,5278,0,143358,0
Ok,08-09-2025 15:10:00,1757324400,475.75,476.35,475.40,476.25,475.96,2845,0,138080,0
Ok,08-09-2025 15:05:00,1757324100,477.80,478.00,475.35,476.00,475.58,5450,0,135235,0
Ok,08-09-2025 15:00:00,1757323800,477.45,477.45,476.65,477.30,476.62,1565,0,129785,0
Ok,08-09-2025 14:55:00,1757323500,477.40,477.55,477.40,477.55,478.23,379,0,128220,0
Ok,08-09-2025 14:50:00,1757323200,476.50,477.35,476.50,477.35,476.43,1224,0,127841,0
Ok,08-09-2025 14:45:00,1757322900,478.45,478.75,476.40,476.40,477.22,1131,0,126617,0
Ok,08-09-2025 14:40:00,1757322600,479.25,479.25,478.55,478.55,481.71,368,0,125486,0
Ok,08-09-2025 14:35:00,1757322300,479.00,479.25,479.00,479.25,467.17,86,0,125118,0
Ok,08-09-2025 14:30:00,1757322000,478.55,479.00,478.55,479.00,481.72,237,0,125032,0
Ok,08-09-2025 14:25:00,1757321700,478.15,479.00,478.15,478.65,478.34,369,0,124795,0
Ok,08-09-2025 14:20:00,1757321400,478.90,479.40,477.55,478.10,478.68,1215,0,124426,0
Ok,08-09-2025 14:15:00,1757321100,477.40,478.60,477.40,478.60,477.16,800,0,123211,0
Ok,08-09-2025 14:10:00,1757320800,477.55,477.75,477.35,477.75,478.27,693,0,122411,0
Ok,08-09-2025 14:05:00,1757320500,476.60,477.30,476.35,477.30,476.82,729,0,121718,0
Ok,08-09-2025 14:00:00,1757320200,478.10,478.10,476.60,476.80,476.98,1720,0,120989,0
Ok,08-09-2025 13:55:00,1757319900,477.40,478.05,477.00,478.05,477.76,2541,0,119269,0
Ok,08-09-2025 13:50:00,1757319600,477.45,477.70,477.10,477.45,477.77,1097,0,116728,0
Ok,08-09-2025 13:45:00,1757319300,481.45,481.45,476.90,477.45,476.01,21189,0,115631,0
Ok,08-09-2025 13:40:00,1757319000,481.50,481.50,481.45,481.45,483.39,164,0,94442,0
Ok,08-09-2025 13:35:00,1757318700,480.90,481.05,480.65,481.05,476.66,140,0,94278,0
Ok,08-09-2025 13:30:00,1757318400,481.15,481.15,480.10,480.65,481.41,471,0,94138,0
