stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,416.95,417.00,416.70,417.00,417.01,6339,0,114828,0
Ok,08-09-2025 15:20:00,1757325000,416.50,417.00,416.40,417.00,416.74,3847,0,108489,0
Ok,08-09-2025 15:15:00,1757324700,416.40,417.00,416.10,416.55,416.90,4023,0,104642,0
Ok,08-09-2025 15:10:00,1757324400,418.25,418.25,416.20,416.45,417.22,4905,0,100619,0
Ok,08-09-2025 15:05:00,1757324100,418.90,418.95,417.75,417.95,418.17,5657,0,95714,0
Ok,08-09-2025 15:00:00,1757323800,419.30,419.30,418.50,418.50,418.74,2466,0,90057,0
Ok,08-09-2025 14:55:00,1757323500,420.00,420.00,418.85,419.35,419.46,2317,0,87591,0
Ok,08-09-2025 14:50:00,1757323200,420.00,420.15,419.50,420.05,419.70,666,0,85274,0
Ok,08-09-2025 14:45:00,1757322900,420.10,420.85,419.50,420.20,420.09,2770,0,84608,0
Ok,08-09-2025 14:40:00,1757322600,420.20,420.95,420.05,420.50,421.02,485,0,81838,0
Ok,08-09-2025 14:35:00,1757322300,420.60,420.70,420.00,420.55,421.02,270,0,81353,0
Ok,08-09-2025 14:30:00,1757322000,419.90,420.55,419.45,420.55,419.80,1960,0,81083,0
Ok,08-09-2025 14:25:00,1757321700,419.75,420.55,419.25,419.85,421.05,378,0,79123,0
Ok,08-09-2025 14:20:00,1757321400,420.10,420.10,419.20,419.30,418.67,330,0,78745,0
Ok,08-09-2025 14:15:00,1757321100,420.20,420.55,419.75,420.00,421.06,294,0,78415,0
Ok,08-09-2025 14:10:00,1757320800,420.75,420.75,419.75,420.05,419.43,477,0,78121,0
Ok,08-09-2025 14:05:00,1757320500,420.55,420.90,420.30,420.35,420.49,1339,0,77644,0
Ok,08-09-2025 14:00:00,1757320200,420.50,421.00,420.50,420.85,421.08,125,0,76305,0
Ok,08-09-2025 13:55:00,1757319900,420.50,421.25,420.45,420.90,421.08,221,0,76180,0
Ok,08-09-2025 13:50:00,1757319600,420.80,421.20,420.55,420.90,421.08,178,0,75959,0
Ok,08-09-2025 13:45:00,1757319300,421.00,421.50,420.85,421.20,421.08,236,0,75781,0
Ok,08-09-2025 13:40:00,1757319000,421.25,421.45,420.80,421.45,421.08,125,0,75545,0
Ok,08-09-2025 13:35:00,1757318700,420.85,421.35,420.80,420.85,421.08,131,0,75420,0
Ok,08-09-2025 13:30:00,1757318400,421.05,421.55,420.80,421.30,421.08,337,0,75289,0
Ok,08-09-2025 13:25:00,1757318100,421.50,421.55,421.00,421.50,421.08,1411,0,74952,0
Ok,08-09-2025 13:20:00,1757317800,420.85,421.80,420.80,421.45,421.62,1313,0,73541,0
Ok,08-09-2025 13:15:00,1757317500,420.85,421.00,420.30,420.80,419.52,464,0,72228,0
Ok,08-09-2025 13:10:00,1757317200,421.65,421.75,420.70,421.00,420.17,7141,0,71764,0
Ok,08-09-2025 13:05:00,1757316900,421.80,421.80,421.25,421.70,421.74,1117,0,64623,0
Ok,08-09-2025 13:00:00,1757316600,421.70,421.75,421.20,421.75,421.17,116,0,63506,0
Ok,08-09-2025 12:55:00,1757316300,421.75,421.80,421.25,421.65,423.21,309,0,63390,0
Ok,08-09-2025 12:50:00,1757316000,421.00,421.85,421.00,421.80,421.16,511,0,63081,0
Ok,08-09-2025 12:45:00,1757315700,421.05,421.30,420.65,421.05,421.16,284,0,62570,0
Ok,08-09-2025 12:40:00,1757315400,421.00,421.35,420.75,421.00,421.16,326,0,62286,0
Ok,08-09-2025 12:35:00,1757315100,421.10,421.50,421.00,421.35,421.16,372,0,61960,0
Ok,08-09-2025 12:30:00,1757314800,419.25,421.45,419.05,421.45,419.64,3466,0,61588,0
Ok,08-09-2025 12:25:00,1757314500,421.40,421.75,419.20,419.30,420.54,3854,0,58122,0
Ok,08-09-2025 12:20:00,1757314200,423.00,423.00,421.00,421.10,421.61,3137,0,54268,0
Ok,08-09-2025 12:15:00,1757313900,423.15,423.15,422.60,423.00,421.28,202,0,51131,0
Ok,08-09-2025 12:10:00,1757313600,422.60,423.15,422.30,422.95,423.24,257,0,50929,0
Ok,08-09-2025 12:05:00,1757313300,422.85,422.85,422.30,422.30,422.77,335,0,50672,0
Ok,08-09-2025 12:00:00,1757313000,422.60,423.20,422.55,422.90,421.26,154,0,50337,0
Ok,08-09-2025 11:55:00,1757312700,422.25,422.85,421.95,422.85,422.29,479,0,50183,0
Ok,08-09-2025 11:50:00,1757312400,422.20,422.85,422.20,422.70,423.29,482,0,49704,0
Ok,08-09-2025 11:45:00,1757312100,422.30,422.85,421.80,422.75,422.19,505,0,49222,0
Ok,08-09-2025 11:40:00,1757311800,421.15,422.25,420.60,422.25,421.22,1481,0,48717,0
Ok,08-09-2025 11:35:00,1757311500,421.10,421.20,420.70,421.20,421.22,133,0,47236,0
Ok,08-09-2025 11:30:00,1757311200,420.45,421.15,420.45,421.15,420.07,5156,0,47103,0
Ok,08-09-2025 11:25:00,1757310900,419.90,420.45,419.80,420.40,418.26,135,0,41947,0
Ok,08-09-2025 11:20:00,1757310600,420.90,421.00,419.80,419.80,420.19,2031,0,41812,0
Ok,08-09-2025 11:15:00,1757310300,421.10,421.10,420.50,420.85,421.43,143,0,39781,0
Ok,08-09-2025 11:10:00,1757310000,421.30,421.40,420.90,421.15,421.43,274,0,39638,0
Ok,08-09-2025 11:05:00,1757309700,420.50,421.30,420.50,421.25,420.10,295,0,39364,0
Ok,08-09-2025 11:00:00,1757309400,420.90,421.05,420.30,421.05,420.63,483,0,39069,0
Ok,08-09-2025 10:55:00,1757309100,421.05,421.15,420.50,420.85,420.98,2335,0,38586,0
Ok,08-09-2025 10:50:00,1757308800,421.80,422.00,421.45,421.75,422.11,557,0,36251,0
Ok,08-09-2025 10:45:00,1757308500,421.15,421.70,421.15,421.60,421.47,590,0,35694,0
Ok,08-09-2025 10:40:00,1757308200,421.05,421.55,421.05,421.15,421.47,339,0,35104,0
Ok,08-09-2025 10:35:00,1757307900,422.90,422.90,421.00,421.05,421.62,2124,0,34765,0
Ok,08-09-2025 10:30:00,1757307600,423.50,423.50,422.35,422.85,422.85,1123,0,32641,0
Ok,08-09-2025 10:25:00,1757307300,423.40,423.50,423.15,423.50,423.45,601,0,31518,0
Ok,08-09-2025 10:20:00,1757307000,423.05,423.50,423.05,423.15,423.28,936,0,30917,0
Ok,08-09-2025 10:15:00,1757306700,422.75,423.45,422.20,422.85,422.98,868,0,29981,0
Ok,08-09-2025 10:10:00,1757306400,422.10,423.50,422.00,423.15,422.35,2418,0,29113,0
Ok,08-09-2025 10:05:00,1757306100,422.45,423.00,422.20,422.60,422.51,2177,0,26695,0
Ok,08-09-2025 10:00:00,1757305800,420.70,423.80,420.70,422.00,422.64,5640,0,24518,0
Ok,08-09-2025 09:55:00,1757305500,420.30,421.45,420.30,421.00,421.01,1522,0,18878,0
Ok,08-09-2025 09:50:00,1757305200,421.95,422.00,420.35,420.80,420.96,2078,0,17356,0
Ok,08-09-2025 09:45:00,1757304900,420.10,421.65,420.05,421.65,420.85,2545,0,15278,0
Ok,08-09-2025 09:40:00,1757304600,419.55,420.70,419.55,420.30,420.54,735,0,12733,0
Ok,08-09-2025 09:35:00,1757304300,420.00,420.90,419.50,420.20,419.82,1871,0,11998,0
Ok,08-09-2025 09:30:00,1757304000,419.00,420.00,418.80,420.00,419.65,592,0,10127,0
Ok,08-09-2025 09:25:00,1757303700,418.95,419.10,417.35,419.10,418.30,1204,0,9535,0
Ok,08-09-2025 09:20:00,1757303400,420.75,421.15,417.60,418.70,419.51,3729,0,8331,0
Ok,08-09-2025 09:15:00,1757303100,420.95,423.90,420.80,420.80,421.90,4602,0,4602,0
