stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,427.60,428.00,425.65,426.95,427.08,5782,0,164534,0
Ok,08-09-2025 15:20:00,1757325000,427.55,427.95,427.45,427.55,427.34,2690,0,158752,0
Ok,08-09-2025 15:15:00,1757324700,429.05,429.05,426.95,427.50,427.62,8222,0,156062,0
Ok,08-09-2025 15:10:00,1757324400,429.45,429.65,428.85,429.50,429.39,1794,0,147840,0
Ok,08-09-2025 15:05:00,1757324100,429.80,430.00,428.75,429.35,429.49,6016,0,146046,0
Ok,08-09-2025 15:00:00,1757323800,430.05,430.05,429.05,430.00,429.42,3055,0,140030,0
Ok,08-09-2025 14:55:00,1757323500,429.55,430.40,429.20,429.80,430.16,3224,0,136975,0
Ok,08-09-2025 14:50:00,1757323200,429.00,429.95,429.00,429.90,428.47,1251,0,133751,0
Ok,08-09-2025 14:45:00,1757322900,431.40,431.40,429.00,429.30,430.42,4566,0,132500,0
Ok,08-09-2025 14:40:00,1757322600,430.95,431.65,430.55,431.40,431.14,925,0,127934,0
Ok,08-09-2025 14:35:00,1757322300,431.00,431.40,430.75,430.95,428.38,125,0,127009,0
Ok,08-09-2025 14:30:00,1757322000,430.70,431.35,430.70,431.00,431.31,857,0,126884,0
Ok,08-09-2025 14:25:00,1757321700,431.00,431.10,430.30,430.75,430.35,627,0,126027,0
Ok,08-09-2025 14:20:00,1757321400,430.60,430.60,430.50,430.55,428.35,31,0,125400,0
Ok,08-09-2025 14:15:00,1757321100,430.75,430.75,430.30,430.55,430.57,561,0,125369,0
Ok,08-09-2025 14:10:00,1757320800,430.75,431.15,430.10,430.40,431.61,380,0,124808,0
Ok,08-09-2025 14:05:00,1757320500,430.45,430.80,430.00,430.75,431.22,427,0,124428,0
Ok,08-09-2025 14:00:00,1757320200,430.80,431.50,430.00,430.00,432.92,536,0,124001,0
Ok,08-09-2025 13:55:00,1757319900,430.00,431.00,430.00,430.80,428.30,404,0,123465,0
Ok,08-09-2025 13:50:00,1757319600,430.60,430.75,430.10,430.10,428.30,151,0,123061,0
Ok,08-09-2025 13:45:00,1757319300,430.50,430.80,430.35,430.35,430.90,936,0,122910,0
Ok,08-09-2025 13:40:00,1757319000,431.35,431.45,430.50,430.50,430.69,502,0,121974,0
Ok,08-09-2025 13:35:00,1757318700,431.20,431.90,430.95,431.40,431.40,3022,0,121472,0
Ok,08-09-2025 13:30:00,1757318400,431.65,431.65,431.20,431.35,431.00,834,0,118450,0
Ok,08-09-2025 13:25:00,1757318100,431.10,431.50,431.00,431.30,430.64,942,0,117616,0
Ok,08-09-2025 13:20:00,1757317800,431.30,431.30,431.00,431.10,433.21,230,0,116674,0
Ok,08-09-2025 13:15:00,1757317500,431.70,432.15,431.70,431.90,431.73,323,0,116444,0
Ok,08-09-2025 13:10:00,1757317200,432.00,432.20,431.40,431.70,431.09,777,0,116121,0
Ok,08-09-2025 13:05:00,1757316900,432.10,432.40,431.50,431.50,432.05,1157,0,115344,0
Ok,08-09-2025 13:00:00,1757316600,432.80,433.00,432.75,432.75,432.33,533,0,114187,0
Ok,08-09-2025 12:55:00,1757316300,432.50,432.80,432.45,432.75,432.84,706,0,113654,0
Ok,08-09-2025 12:50:00,1757316000,432.35,432.80,432.10,432.80,432.84,698,0,112948,0
Ok,08-09-2025 12:45:00,1757315700,433.25,433.25,432.55,432.55,431.47,321,0,112250,0
Ok,08-09-2025 12:40:00,1757315400,432.90,433.55,432.90,433.30,433.56,1189,0,111929,0
Ok,08-09-2025 12:35:00,1757315100,431.90,432.50,431.50,432.50,432.31,999,0,110740,0
Ok,08-09-2025 12:30:00,1757314800,431.90,433.45,431.90,432.30,432.86,3204,0,109741,0
Ok,08-09-2025 12:25:00,1757314500,430.85,433.15,430.85,432.45,432.31,3150,0,106537,0
Ok,08-09-2025 12:20:00,1757314200,430.75,431.55,430.00,430.00,430.15,5702,0,103387,0
Ok,08-09-2025 12:15:00,1757313900,431.00,431.55,431.00,431.00,431.41,973,0,97685,0
Ok,08-09-2025 12:10:00,1757313600,431.50,431.60,431.00,431.50,431.70,224,0,96712,0
Ok,08-09-2025 12:05:00,1757313300,431.50,431.85,431.00,431.05,431.42,1645,0,96488,0
