stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,442.85,443.40,442.60,443.10,442.38,5840,0,469936,0
Ok,08-09-2025 15:20:00,1757325000,442.90,443.30,442.50,442.80,442.82,7807,0,464096,0
Ok,08-09-2025 15:15:00,1757324700,443.75,443.95,442.95,443.05,443.33,6585,0,456289,0
Ok,08-09-2025 15:10:00,1757324400,446.00,446.25,443.20,443.25,445.65,23578,0,449704,0
Ok,08-09-2025 15:05:00,1757324100,446.05,446.05,446.00,446.05,446.16,5648,0,426126,0
Ok,08-09-2025 15:00:00,1757323800,446.35,446.35,446.00,446.00,445.83,16737,0,420478,0
Ok,08-09-2025 14:55:00,1757323500,446.40,446.50,445.90,446.00,446.33,1605,0,403741,0
Ok,08-09-2025 14:50:00,1757323200,445.20,446.40,444.90,446.25,446.04,12269,0,402136,0
Ok,08-09-2025 14:45:00,1757322900,444.90,445.25,444.90,445.15,443.75,2900,0,389867,0
Ok,08-09-2025 14:40:00,1757322600,445.30,445.35,444.90,445.00,448.85,756,0,386967,0
Ok,08-09-2025 14:35:00,1757322300,445.45,445.60,444.90,445.25,444.93,3192,0,386211,0
Ok,08-09-2025 14:30:00,1757322000,445.10,445.85,444.90,445.50,444.72,11264,0,383019,0
Ok,08-09-2025 14:25:00,1757321700,444.90,445.40,444.90,444.90,444.60,4041,0,371755,0
Ok,08-09-2025 14:20:00,1757321400,444.90,445.35,444.90,445.00,443.69,475,0,367714,0
Ok,08-09-2025 14:15:00,1757321100,444.15,445.70,444.00,445.00,444.63,7587,0,367239,0
Ok,08-09-2025 14:10:00,1757320800,444.00,444.25,444.00,444.25,443.67,1953,0,359652,0
Ok,08-09-2025 14:05:00,1757320500,444.00,444.25,443.70,444.20,445.57,1865,0,357699,0
Ok,08-09-2025 14:00:00,1757320200,444.30,444.35,444.00,444.25,443.66,1997,0,355834,0
Ok,08-09-2025 13:55:00,1757319900,444.15,444.50,444.00,444.00,443.66,583,0,353837,0
Ok,08-09-2025 13:50:00,1757319600,443.00,444.50,443.00,444.50,443.66,3309,0,353254,0
Ok,08-09-2025 13:45:00,1757319300,443.20,443.45,443.00,443.05,443.66,414,0,349945,0
Ok,08-09-2025 13:40:00,1757319000,443.45,443.60,443.00,443.55,442.90,4622,0,349531,0
Ok,08-09-2025 13:35:00,1757318700,442.80,443.50,442.40,443.50,443.67,611,0,344909,0
Ok,08-09-2025 13:30:00,1757318400,443.05,443.30,442.30,442.65,442.18,2309,0,344298,0
Ok,08-09-2025 13:25:00,1757318100,442.80,443.25,442.70,442.80,443.68,857,0,341989,0
Ok,08-09-2025 13:20:00,1757317800,442.90,443.35,442.90,443.25,443.68,1011,0,341132,0
Ok,08-09-2025 13:15:00,1757317500,443.55,444.00,442.95,443.15,443.68,1371,0,340121,0
Ok,08-09-2025 13:10:00,1757317200,443.75,444.00,443.45,443.80,443.68,557,0,338750,0
Ok,08-09-2025 13:05:00,1757316900,443.30,444.40,443.30,443.80,443.68,1839,0,338193,0
Ok,08-09-2025 13:00:00,1757316600,442.80,443.85,442.35,443.65,442.92,8711,0,336354,0
Ok,08-09-2025 12:55:00,1757316300,442.05,442.85,442.00,442.70,443.70,1035,0,327643,0
Ok,08-09-2025 12:50:00,1757316000,442.15,442.20,441.85,442.20,443.70,265,0,326608,0
Ok,08-09-2025 12:45:00,1757315700,442.20,442.20,441.80,442.15,432.45,290,0,326343,0
Ok,08-09-2025 12:40:00,1757315400,442.05,443.90,442.00,442.25,443.34,8798,0,326053,0
Ok,08-09-2025 12:35:00,1757315100,442.35,442.70,442.00,442.35,439.51,754,0,317255,0
Ok,08-09-2025 12:30:00,1757314800,442.50,442.80,442.15,442.70,443.73,881,0,316501,0
Ok,08-09-2025 12:25:00,1757314500,442.35,442.80,442.05,442.75,442.09,1922,0,315620,0
Ok,08-09-2025 12:20:00,1757314200,439.85,442.95,439.00,442.55,439.73,16349,0,313698,0
Ok,08-09-2025 12:15:00,1757313900,440.90,440.90,439.50,440.00,440.06,11764,0,297349,0
Ok,08-09-2025 12:10:00,1757313600,441.60,441.75,440.40,440.85,441.09,5574,0,285585,0
Ok,08-09-2025 12:05:00,1757313300,441.40,441.85,440.95,441.35,440.54,1532,0,280011,0
Ok,08-09-2025 12:00:00,1757313000,441.10,441.55,440.90,441.00,440.18,692,0,278479,0
Ok,08-09-2025 11:55:00,1757312700,441.40,441.40,440.95,441.20,444.21,671,0,277787,0
Ok,08-09-2025 11:50:00,1757312400,440.50,441.95,440.50,441.45,441.24,3692,0,277116,0
Ok,08-09-2025 11:45:00,1757312100,440.95,441.35,440.00,440.85,440.20,15938,0,273424,0
Ok,08-09-2025 11:40:00,1757311800,441.50,441.50,440.50,440.85,439.68,2649,0,257486,0
Ok,08-09-2025 11:35:00,1757311500,441.00,441.60,440.85,441.10,441.86,1890,0,254837,0
Ok,08-09-2025 11:30:00,1757311200,441.20,441.20,440.50,441.15,441.65,866,0,252947,0
Ok,08-09-2025 11:25:00,1757310900,440.80,442.00,440.75,441.05,441.51,4055,0,252081,0
Ok,08-09-2025 11:20:00,1757310600,442.55,442.55,440.10,440.70,441.20,13705,0,248026,0
Ok,08-09-2025 11:15:00,1757310300,444.95,445.00,442.20,442.20,443.96,110210,0,234321,0
Ok,08-09-2025 11:10:00,1757310000,445.20,446.65,443.95,445.00,445.17,8390,0,124111,0
Ok,08-09-2025 11:05:00,1757309700,443.90,445.25,443.55,444.80,443.83,10094,0,115721,0
Ok,08-09-2025 11:00:00,1757309400,443.60,443.95,443.55,443.95,443.55,5401,0,105627,0
Ok,08-09-2025 10:55:00,1757309100,444.55,444.95,443.55,443.85,444.98,1080,0,100226,0
Ok,08-09-2025 10:50:00,1757308800,444.50,445.35,444.30,444.85,444.56,1441,0,99146,0
Ok,08-09-2025 10:45:00,1757308500,445.40,445.40,444.25,444.70,444.76,3215,0,97705,0
Ok,08-09-2025 10:40:00,1757308200,445.70,445.70,444.50,445.35,444.88,4916,0,94490,0
Ok,08-09-2025 10:35:00,1757307900,445.90,446.30,445.30,445.75,446.04,1461,0,89574,0
Ok,08-09-2025 10:30:00,1757307600,447.30,447.40,445.85,445.85,446.04,2981,0,88113,0
Ok,08-09-2025 10:25:00,1757307300,447.40,448.45,447.20,447.20,447.63,4540,0,85132,0
Ok,08-09-2025 10:20:00,1757307000,447.45,448.70,446.55,447.60,447.85,5504,0,80592,0
Ok,08-09-2025 10:15:00,1757306700,447.65,447.75,446.50,447.05,446.79,1484,0,75088,0
