stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,451.05,451.35,445.95,449.95,450.39,4238,0,334835,0
Ok,08-09-2025 15:20:00,1757325000,450.95,451.60,450.55,451.00,450.93,6929,0,330597,0
Ok,08-09-2025 15:15:00,1757324700,444.40,449.80,443.20,448.90,446.35,20583,0,323668,0
Ok,08-09-2025 15:10:00,1757324400,441.20,444.10,441.00,443.15,442.18,2460,0,303085,0
Ok,08-09-2025 15:05:00,1757324100,442.00,442.55,441.40,441.65,442.00,6661,0,300625,0
Ok,08-09-2025 15:00:00,1757323800,442.05,442.20,441.20,441.90,440.28,1325,0,293964,0
Ok,08-09-2025 14:55:00,1757323500,444.50,444.60,442.60,442.60,444.00,4020,0,292639,0
Ok,08-09-2025 14:50:00,1757323200,446.20,446.95,444.50,444.65,446.39,1731,0,288619,0
Ok,08-09-2025 14:45:00,1757322900,447.05,447.10,445.35,446.70,446.19,1949,0,286888,0
Ok,08-09-2025 14:40:00,1757322600,446.50,446.90,446.25,446.75,444.72,182,0,284939,0
Ok,08-09-2025 14:35:00,1757322300,446.15,447.20,446.00,446.25,446.79,1363,0,284757,0
Ok,08-09-2025 14:30:00,1757322000,445.50,447.00,444.10,446.20,444.71,2197,0,283394,0
Ok,08-09-2025 14:25:00,1757321700,444.20,445.75,444.20,445.75,450.75,464,0,281197,0
Ok,08-09-2025 14:20:00,1757321400,444.90,444.90,444.20,444.20,444.70,113,0,280733,0
Ok,08-09-2025 14:15:00,1757321100,444.95,445.10,444.20,444.20,444.70,140,0,280620,0
Ok,08-09-2025 14:10:00,1757320800,444.90,445.00,444.15,445.00,442.76,1442,0,280480,0
Ok,08-09-2025 14:05:00,1757320500,444.75,445.00,444.50,445.00,444.71,341,0,279038,0
Ok,08-09-2025 14:00:00,1757320200,445.00,445.00,444.65,444.65,444.71,234,0,278697,0
Ok,08-09-2025 13:55:00,1757319900,445.45,445.45,444.40,444.40,444.71,381,0,278463,0
Ok,08-09-2025 13:50:00,1757319600,445.15,445.45,444.25,445.45,447.56,971,0,278082,0
Ok,08-09-2025 13:45:00,1757319300,444.60,445.00,444.00,444.60,442.36,1184,0,277111,0
Ok,08-09-2025 13:40:00,1757319000,444.00,444.45,443.65,444.45,444.71,1317,0,275927,0
Ok,08-09-2025 13:35:00,1757318700,445.00,445.00,443.70,443.70,444.71,909,0,274610,0
Ok,08-09-2025 13:30:00,1757318400,443.50,444.90,443.50,444.90,444.71,1283,0,273701,0
Ok,08-09-2025 13:25:00,1757318100,443.05,444.40,443.00,443.70,442.85,1464,0,272418,0
Ok,08-09-2025 13:20:00,1757317800,441.30,444.25,440.75,444.20,442.47,1206,0,270954,0
Ok,08-09-2025 13:15:00,1757317500,441.85,441.85,441.00,441.30,444.73,126,0,269748,0
Ok,08-09-2025 13:10:00,1757317200,441.75,441.85,440.90,441.85,444.73,99,0,269622,0
Ok,08-09-2025 13:05:00,1757316900,441.65,442.15,440.80,441.30,440.58,649,0,269523,0
Ok,08-09-2025 13:00:00,1757316600,440.85,441.60,440.60,441.55,444.74,662,0,268874,0
Ok,08-09-2025 12:55:00,1757316300,442.20,442.75,441.30,441.45,440.52,9234,0,268212,0
Ok,08-09-2025 12:50:00,1757316000,438.80,442.55,438.65,441.20,439.52,12431,0,258978,0
Ok,08-09-2025 12:45:00,1757315700,438.40,438.70,438.40,438.70,441.61,695,0,246547,0
Ok,08-09-2025 12:40:00,1757315400,439.55,439.60,438.05,438.40,439.23,2057,0,245852,0
Ok,08-09-2025 12:35:00,1757315100,439.55,440.00,439.55,439.55,436.39,276,0,243795,0
Ok,08-09-2025 12:30:00,1757314800,439.75,439.75,439.50,439.50,436.97,295,0,243519,0
Ok,08-09-2025 12:25:00,1757314500,439.25,439.95,438.00,439.70,438.93,1535,0,243224,0
Ok,08-09-2025 12:20:00,1757314200,441.85,442.65,439.20,439.80,440.83,5328,0,241689,0
Ok,08-09-2025 12:15:00,1757313900,441.30,441.95,441.30,441.95,445.38,69,0,236361,0
Ok,08-09-2025 12:10:00,1757313600,441.60,441.95,441.15,441.25,445.38,256,0,236292,0
Ok,08-09-2025 12:05:00,1757313300,442.05,442.30,441.35,441.35,441.31,580,0,236036,0
Ok,08-09-2025 12:00:00,1757313000,442.95,443.00,442.45,442.55,442.75,1776,0,235456,0
Ok,08-09-2025 11:55:00,1757312700,442.95,442.95,441.10,442.80,441.73,2524,0,233680,0
Ok,08-09-2025 11:50:00,1757312400,442.50,443.35,442.50,443.00,445.45,276,0,231156,0
Ok,08-09-2025 11:45:00,1757312100,441.15,443.20,441.15,442.20,441.83,3158,0,230880,0
Ok,08-09-2025 11:40:00,1757311800,445.15,445.25,442.95,443.00,444.48,2232,0,227722,0
Ok,08-09-2025 11:35:00,1757311500,445.40,445.40,444.90,444.90,445.51,943,0,225490,0
Ok,08-09-2025 11:30:00,1757311200,445.90,445.90,444.75,445.20,445.51,600,0,224547,0
Ok,08-09-2025 11:25:00,1757310900,445.20,447.50,445.20,445.95,445.51,1584,0,223947,0
Ok,08-09-2025 11:20:00,1757310600,444.90,446.00,442.85,445.80,444.29,5401,0,222363,0
Ok,08-09-2025 11:15:00,1757310300,441.70,447.10,441.30,445.30,445.11,9765,0,216962,0
Ok,08-09-2025 11:10:00,1757310000,441.90,441.90,441.00,441.15,440.99,1355,0,207197,0
Ok,08-09-2025 11:05:00,1757309700,442.55,443.30,440.80,442.05,442.05,5671,0,205842,0
Ok,08-09-2025 11:00:00,1757309400,439.35,442.00,439.25,441.05,441.85,2066,0,200171,0
Ok,08-09-2025 10:55:00,1757309100,438.65,440.00,438.65,439.70,439.99,6358,0,198105,0
Ok,08-09-2025 10:50:00,1757308800,439.95,439.95,439.15,439.20,438.92,1091,0,191747,0
Ok,08-09-2025 10:45:00,1757308500,440.00,440.00,438.50,439.75,439.35,2284,0,190656,0
Ok,08-09-2025 10:40:00,1757308200,440.80,440.80,438.15,440.05,439.75,4967,0,188372,0
Ok,08-09-2025 10:35:00,1757307900,442.15,443.00,439.85,440.20,440.80,14410,0,183405,0
Ok,08-09-2025 10:30:00,1757307600,442.70,442.70,442.10,442.20,442.86,2631,0,168995,0
Ok,08-09-2025 10:25:00,1757307300,442.90,443.30,442.70,442.70,444.08,626,0,166364,0
Ok,08-09-2025 10:20:00,1757307000,443.35,444.00,442.55,442.75,444.00,4149,0,165738,0
Ok,08-09-2025 10:15:00,1757306700,442.05,443.35,442.00,443.35,442.84,812,0,161589,0
Ok,08-09-2025 10:10:00,1757306400,442.40,442.70,442.00,442.70,442.39,1796,0,160777,0
Ok,08-09-2025 10:05:00,1757306100,443.00,444.00,441.50,442.35,441.97,1923,0,158981,0
Ok,08-09-2025 10:00:00,1757305800,443.80,444.00,442.55,443.55,443.82,7223,0,157058,0
Ok,08-09-2025 09:55:00,1757305500,443.25,444.00,441.65,443.95,443.20,3398,0,149835,0
Ok,08-09-2025 09:50:00,1757305200,441.95,443.85,441.55,442.75,443.38,6641,0,146437,0
Ok,08-09-2025 09:45:00,1757304900,442.85,443.10,441.10,441.85,442.01,6013,0,139796,0
Ok,08-09-2025 09:40:00,1757304600,445.75,445.75,442.00,443.15,443.96,25342,0,133783,0
Ok,08-09-2025 09:35:00,1757304300,446.70,446.70,444.20,445.00,445.05,2193,0,108441,0
Ok,08-09-2025 09:30:00,1757304000,445.15,447.00,444.00,445.95,445.85,8802,0,106248,0
Ok,08-09-2025 09:25:00,1757303700,446.50,446.50,444.20,445.95,445.06,9097,0,97446,0
Ok,08-09-2025 09:20:00,1757303400,447.75,447.85,443.10,447.85,445.50,25471,0,88349,0
Ok,08-09-2025 09:15:00,1757303100,450.00,456.80,448.00,448.20,450.60,62878,0,62878,0
