stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,320.50,320.50,319.70,320.00,320.53,5616,0,256778,0
Ok,08-09-2025 15:20:00,1757325000,320.05,320.50,320.05,320.40,319.62,3023,0,251162,0
Ok,08-09-2025 15:15:00,1757324700,318.80,320.75,318.65,320.00,320.02,16963,0,248139,0
Ok,08-09-2025 15:10:00,1757324400,319.25,319.70,318.70,319.10,319.59,1683,0,231176,0
Ok,08-09-2025 15:05:00,1757324100,318.20,319.20,318.20,319.05,318.30,3534,0,229493,0
Ok,08-09-2025 15:00:00,1757323800,318.35,318.40,318.10,318.40,319.61,282,0,225959,0
Ok,08-09-2025 14:55:00,1757323500,318.40,319.00,318.10,318.10,319.61,390,0,225677,0
Ok,08-09-2025 14:50:00,1757323200,319.20,319.20,318.10,318.40,318.14,3048,0,225287,0
Ok,08-09-2025 14:45:00,1757322900,319.05,319.25,319.05,319.20,319.63,30,0,222239,0
Ok,08-09-2025 14:40:00,1757322600,318.90,319.10,318.90,319.05,319.63,20,0,222209,0
Ok,08-09-2025 14:35:00,1757322300,318.85,319.10,318.85,318.90,319.63,81,0,222189,0
Ok,08-09-2025 14:30:00,1757322000,318.95,319.25,318.70,318.85,319.63,434,0,222108,0
Ok,08-09-2025 14:25:00,1757321700,319.25,319.25,318.10,318.70,317.75,1180,0,221674,0
Ok,08-09-2025 14:20:00,1757321400,319.75,319.75,319.25,319.25,319.64,121,0,220494,0
Ok,08-09-2025 14:15:00,1757321100,319.25,319.25,319.25,319.25,319.64,1,0,220373,0
Ok,08-09-2025 14:10:00,1757320800,319.60,319.95,319.15,319.25,319.64,234,0,220372,0
Ok,08-09-2025 14:05:00,1757320500,319.20,319.60,319.20,319.60,319.64,30,0,220138,0
Ok,08-09-2025 14:00:00,1757320200,319.80,319.80,319.50,319.50,319.64,105,0,220108,0
Ok,08-09-2025 13:55:00,1757319900,320.00,320.00,319.80,320.00,319.64,24,0,220003,0
Ok,08-09-2025 13:50:00,1757319600,319.70,320.50,319.70,320.00,319.64,300,0,219979,0
Ok,08-09-2025 13:45:00,1757319300,320.50,320.65,319.65,319.70,320.42,2762,0,219679,0
Ok,08-09-2025 13:40:00,1757319000,319.95,320.35,319.40,320.35,320.47,18638,0,216917,0
Ok,08-09-2025 13:35:00,1757318700,320.05,320.05,320.00,320.00,319.55,49,0,198279,0
Ok,08-09-2025 13:30:00,1757318400,320.05,320.05,319.80,320.00,319.92,5074,0,198230,0
Ok,08-09-2025 13:25:00,1757318100,319.95,320.20,319.75,320.05,320.27,7554,0,193156,0
Ok,08-09-2025 13:20:00,1757317800,319.75,319.95,319.75,319.75,319.51,31,0,185602,0
Ok,08-09-2025 13:15:00,1757317500,320.20,320.35,319.50,319.75,319.51,6568,0,185571,0
Ok,08-09-2025 13:10:00,1757317200,319.80,320.20,319.80,320.20,319.51,12,0,179003,0
Ok,08-09-2025 13:05:00,1757316900,319.60,319.90,319.10,319.80,319.97,14006,0,178991,0
Ok,08-09-2025 13:00:00,1757316600,319.60,319.80,319.60,319.60,319.47,64,0,164985,0
Ok,08-09-2025 12:55:00,1757316300,319.50,319.85,319.50,319.85,319.47,8,0,164921,0
Ok,08-09-2025 12:50:00,1757316000,319.10,319.80,319.10,319.50,319.47,1722,0,164913,0
Ok,08-09-2025 12:45:00,1757315700,319.15,319.40,319.10,319.15,319.47,31,0,163191,0
Ok,08-09-2025 12:40:00,1757315400,319.25,319.40,319.10,319.35,319.47,78,0,163160,0
Ok,08-09-2025 12:35:00,1757315100,319.15,319.15,319.10,319.10,319.47,46,0,163082,0
Ok,08-09-2025 12:30:00,1757314800,319.10,319.40,319.10,319.15,319.47,28,0,163036,0
Ok,08-09-2025 12:25:00,1757314500,319.45,319.45,318.80,319.10,319.47,446,0,163008,0
Ok,08-09-2025 12:20:00,1757314200,320.30,320.30,319.10,319.20,317.06,673,0,162562,0
Ok,08-09-2025 12:15:00,1757313900,320.30,320.35,320.30,320.30,319.48,8,0,161889,0
Ok,08-09-2025 12:10:00,1757313600,320.90,320.90,320.30,320.30,321.02,7965,0,161881,0
Ok,08-09-2025 12:05:00,1757313300,320.35,321.80,320.30,321.00,321.12,9972,0,153916,0
Ok,08-09-2025 12:00:00,1757313000,319.50,320.00,319.50,320.00,319.79,5396,0,143944,0
Ok,08-09-2025 11:55:00,1757312700,319.25,319.50,319.15,319.50,319.26,185,0,138548,0
Ok,08-09-2025 11:50:00,1757312400,318.80,319.50,318.80,319.25,319.75,2691,0,138363,0
Ok,08-09-2025 11:45:00,1757312100,319.15,320.05,318.80,318.80,319.86,34289,0,135672,0
Ok,08-09-2025 11:40:00,1757311800,320.85,321.85,318.85,319.25,320.03,33351,0,101383,0
Ok,08-09-2025 11:35:00,1757311500,319.05,321.05,319.05,320.80,320.44,3075,0,68032,0
Ok,08-09-2025 11:30:00,1757311200,317.35,319.60,317.35,319.30,318.90,4105,0,64957,0
Ok,08-09-2025 11:25:00,1757310900,315.65,316.85,315.65,316.80,316.21,9508,0,60852,0
Ok,08-09-2025 11:20:00,1757310600,315.75,316.00,315.60,315.65,315.45,748,0,51344,0
Ok,08-09-2025 11:15:00,1757310300,315.65,316.15,315.55,316.00,316.84,247,0,50596,0
Ok,08-09-2025 11:10:00,1757310000,315.70,316.00,315.45,315.60,315.62,306,0,50349,0
Ok,08-09-2025 11:05:00,1757309700,315.55,315.90,315.35,315.70,315.26,273,0,50043,0
Ok,08-09-2025 11:00:00,1757309400,316.40,316.40,315.65,315.65,313.75,96,0,49770,0
Ok,08-09-2025 10:55:00,1757309100,315.85,316.50,315.65,316.25,316.29,1458,0,49674,0
Ok,08-09-2025 10:50:00,1757308800,316.35,316.70,315.40,316.10,315.96,8007,0,48216,0
Ok,08-09-2025 10:45:00,1757308500,317.90,317.90,316.30,316.30,317.35,2633,0,40209,0
Ok,08-09-2025 10:40:00,1757308200,317.70,317.95,317.70,317.95,317.54,166,0,37576,0
Ok,08-09-2025 10:35:00,1757307900,318.20,318.20,317.50,317.75,317.99,1004,0,37410,0
Ok,08-09-2025 10:30:00,1757307600,318.15,318.20,317.50,317.50,317.79,2765,0,36406,0
Ok,08-09-2025 10:25:00,1757307300,318.80,318.80,318.45,318.45,320.03,170,0,33641,0
Ok,08-09-2025 10:20:00,1757307000,318.50,319.00,318.50,318.55,318.64,241,0,33471,0
Ok,08-09-2025 10:15:00,1757306700,319.35,319.35,318.50,318.55,316.18,86,0,33230,0
Ok,08-09-2025 10:10:00,1757306400,319.15,319.85,319.00,319.00,320.05,413,0,33144,0
Ok,08-09-2025 10:05:00,1757306100,319.40,319.60,319.10,319.15,319.17,369,0,32731,0
Ok,08-09-2025 10:00:00,1757305800,318.70,318.90,318.50,318.90,318.60,1894,0,32362,0
Ok,08-09-2025 09:55:00,1757305500,319.85,320.00,318.25,318.80,319.32,2382,0,30468,0
Ok,08-09-2025 09:50:00,1757305200,320.00,320.00,319.85,319.85,319.18,270,0,28086,0
Ok,08-09-2025 09:45:00,1757304900,319.85,320.00,319.85,319.85,320.23,764,0,27816,0
Ok,08-09-2025 09:40:00,1757304600,319.65,320.00,319.65,320.00,319.97,1978,0,27052,0
Ok,08-09-2025 09:35:00,1757304300,319.85,320.00,319.65,319.65,319.24,248,0,25074,0
Ok,08-09-2025 09:30:00,1757304000,320.20,320.50,319.05,320.00,320.00,8550,0,24826,0
Ok,08-09-2025 09:25:00,1757303700,319.85,320.00,319.40,319.85,319.81,3027,0,16276,0
Ok,08-09-2025 09:20:00,1757303400,319.30,320.00,318.95,319.05,319.47,2821,0,13249,0
Ok,08-09-2025 09:15:00,1757303100,322.30,324.70,319.20,319.70,320.79,10428,0,10428,0
