stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,08-09-2025 15:25:00,1757325300,597.80,598.50,597.00,597.00,597.88,4548,0,230071,0
Ok,08-09-2025 15:20:00,1757325000,597.00,597.95,594.75,597.50,595.60,6006,0,225523,0
Ok,08-09-2025 15:15:00,1757324700,595.00,598.00,594.15,597.05,597.01,3288,0,219517,0
Ok,08-09-2025 15:10:00,1757324400,596.65,596.65,591.55,594.90,593.90,1261,0,216229,0
Ok,08-09-2025 15:05:00,1757324100,595.20,596.70,594.00,596.70,595.58,1236,0,214968,0
Ok,08-09-2025 15:00:00,1757323800,597.10,597.20,594.30,596.75,596.88,976,0,213732,0
Ok,08-09-2025 14:55:00,1757323500,593.90,597.75,593.00,597.00,595.32,1689,0,212756,0
Ok,08-09-2025 14:50:00,1757323200,593.65,594.05,591.05,594.00,592.11,602,0,211067,0
Ok,08-09-2025 14:45:00,1757322900,594.10,597.40,593.45,593.45,593.66,768,0,210465,0
Ok,08-09-2025 14:40:00,1757322600,595.30,598.50,593.25,595.45,596.34,1487,0,209697,0
Ok,08-09-2025 14:35:00,1757322300,592.75,593.95,590.10,592.25,594.28,425,0,208210,0
Ok,08-09-2025 14:30:00,1757322000,594.30,596.00,590.30,590.65,593.37,1421,0,207785,0
Ok,08-09-2025 14:25:00,1757321700,596.25,596.50,595.80,595.80,599.22,24,0,206364,0
Ok,08-09-2025 14:20:00,1757321400,596.60,598.00,593.75,595.95,594.77,1844,0,206340,0
Ok,08-09-2025 14:15:00,1757321100,597.20,598.70,595.00,595.05,597.36,1075,0,204496,0
Ok,08-09-2025 14:10:00,1757320800,597.95,598.85,597.95,597.95,590.65,236,0,203421,0
Ok,08-09-2025 14:05:00,1757320500,597.00,598.35,596.00,596.00,599.28,317,0,203185,0
Ok,08-09-2025 14:00:00,1757320200,598.20,599.40,596.75,599.40,599.28,510,0,202868,0
Ok,08-09-2025 13:55:00,1757319900,594.15,597.00,594.15,597.00,589.65,210,0,202358,0
Ok,08-09-2025 13:50:00,1757319600,598.15,598.15,593.80,595.15,597.09,916,0,202148,0
Ok,08-09-2025 13:45:00,1757319300,596.50,598.60,595.10,597.55,598.01,1550,0,201232,0
