stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,491.90,493.00,490.60,491.10,491.12,5061,0,267756,0
Ok,09-09-2025 15:20:00,1757411400,492.00,493.85,491.00,491.25,493.64,6445,0,262695,0
Ok,09-09-2025 15:15:00,1757411100,491.55,495.00,490.85,490.85,492.77,11082,0,256250,0
Ok,09-09-2025 15:10:00,1757410800,491.80,492.25,490.00,491.30,491.56,5601,0,245168,0
Ok,09-09-2025 15:05:00,1757410500,491.50,492.05,491.30,492.05,492.14,3476,0,239567,0
Ok,09-09-2025 15:00:00,1757410200,491.45,491.55,490.50,491.20,490.78,1686,0,236091,0
Ok,09-09-2025 14:55:00,1757409900,491.90,491.90,491.30,491.30,487.99,141,0,234405,0
Ok,09-09-2025 14:50:00,1757409600,492.50,492.95,490.80,491.90,491.41,2029,0,234264,0
Ok,09-09-2025 14:45:00,1757409300,491.55,493.45,491.45,492.55,492.02,7195,0,232235,0
Ok,09-09-2025 14:40:00,1757409000,491.10,491.65,491.10,491.50,490.31,1795,0,225040,0
Ok,09-09-2025 14:35:00,1757408700,492.00,493.20,490.55,490.55,492.51,2347,0,223245,0
Ok,09-09-2025 14:30:00,1757408400,490.60,494.00,490.55,492.50,492.58,5351,0,220898,0
Ok,09-09-2025 14:25:00,1757408100,490.75,490.75,490.40,490.55,487.64,594,0,215547,0
Ok,09-09-2025 14:20:00,1757407800,491.80,491.80,490.00,490.55,491.23,2945,0,214953,0
Ok,09-09-2025 14:15:00,1757407500,491.40,492.95,491.30,491.80,491.34,3327,0,212008,0
Ok,09-09-2025 14:10:00,1757407200,490.65,491.10,490.55,490.85,490.91,3628,0,208681,0
Ok,09-09-2025 14:05:00,1757406900,492.75,492.80,490.00,490.00,491.48,2022,0,205053,0
Ok,09-09-2025 14:00:00,1757406600,493.75,493.75,492.30,492.35,492.96,1816,0,203031,0
Ok,09-09-2025 13:55:00,1757406300,492.60,493.80,492.00,493.25,492.22,2459,0,201215,0
Ok,09-09-2025 13:50:00,1757406000,495.25,496.30,492.20,492.20,494.09,8954,0,198756,0
Ok,09-09-2025 13:45:00,1757405700,493.00,496.40,493.00,495.90,495.15,24160,0,189802,0
Ok,09-09-2025 13:40:00,1757405400,491.25,493.40,490.70,492.75,492.08,6832,0,165642,0
Ok,09-09-2025 13:35:00,1757405100,491.30,491.40,490.80,490.80,490.47,641,0,158810,0
Ok,09-09-2025 13:30:00,1757404800,491.05,491.50,490.80,491.20,490.63,921,0,158169,0
Ok,09-09-2025 13:25:00,1757404500,490.80,491.00,490.80,490.80,491.05,1122,0,157248,0
Ok,09-09-2025 13:20:00,1757404200,491.35,491.35,490.80,490.85,490.48,1229,0,156126,0
Ok,09-09-2025 13:15:00,1757403900,491.30,491.35,491.30,491.30,491.04,819,0,154897,0
Ok,09-09-2025 13:10:00,1757403600,491.50,491.90,491.30,491.30,492.11,1135,0,154078,0
Ok,09-09-2025 13:05:00,1757403300,490.35,491.40,490.15,491.30,490.00,1296,0,152943,0
Ok,09-09-2025 13:00:00,1757403000,491.40,491.40,490.55,490.55,490.77,1638,0,151647,0
Ok,09-09-2025 12:55:00,1757402700,491.60,491.60,490.25,491.25,490.96,4312,0,150009,0
Ok,09-09-2025 12:50:00,1757402400,489.05,491.90,489.05,491.60,490.67,4766,0,145697,0
Ok,09-09-2025 12:45:00,1757402100,489.05,489.25,488.85,489.25,489.27,319,0,140931,0
Ok,09-09-2025 12:40:00,1757401800,489.55,489.55,489.20,489.20,491.97,394,0,140612,0
Ok,09-09-2025 12:35:00,1757401500,489.15,489.55,488.85,489.55,488.39,784,0,140218,0
Ok,09-09-2025 12:30:00,1757401200,491.75,491.85,488.75,489.20,489.57,3981,0,139434,0
Ok,09-09-2025 12:25:00,1757400900,488.50,491.85,488.00,491.25,490.54,2493,0,135453,0
Ok,09-09-2025 12:20:00,1757400600,489.80,491.20,488.50,488.50,490.47,7234,0,132960,0
Ok,09-09-2025 12:15:00,1757400300,488.70,490.00,488.20,490.00,489.00,4073,0,125726,0
Ok,09-09-2025 12:10:00,1757400000,486.35,488.75,486.35,488.75,487.81,2231,0,121653,0
Ok,09-09-2025 12:05:00,1757399700,487.00,487.00,486.35,486.40,489.27,226,0,119422,0
Ok,09-09-2025 12:00:00,1757399400,486.15,486.65,485.35,486.35,486.14,2169,0,119196,0
Ok,09-09-2025 11:55:00,1757399100,486.10,487.10,485.55,486.35,485.70,6293,0,117027,0
Ok,09-09-2025 11:50:00,1757398800,486.85,487.00,485.55,486.10,487.69,1141,0,110734,0
Ok,09-09-2025 11:45:00,1757398500,487.85,487.85,486.75,486.75,487.17,1286,0,109593,0
Ok,09-09-2025 11:40:00,1757398200,487.00,488.00,486.50,487.50,487.09,3158,0,108307,0
Ok,09-09-2025 11:35:00,1757397900,486.50,488.00,486.50,487.40,487.57,2883,0,105149,0
Ok,09-09-2025 11:30:00,1757397600,486.35,486.35,486.00,486.35,486.38,1073,0,102266,0
Ok,09-09-2025 11:25:00,1757397300,485.15,486.80,485.15,486.80,485.95,1235,0,101193,0
Ok,09-09-2025 11:20:00,1757397000,484.15,485.50,484.15,485.05,484.62,878,0,99958,0
Ok,09-09-2025 11:15:00,1757396700,482.80,484.05,482.60,484.05,483.49,869,0,99080,0
Ok,09-09-2025 11:10:00,1757396400,481.50,483.65,481.50,483.45,482.09,2735,0,98211,0
Ok,09-09-2025 11:05:00,1757396100,481.70,482.20,481.50,481.50,483.53,209,0,95476,0
Ok,09-09-2025 11:00:00,1757395800,481.80,482.15,481.45,482.10,480.29,294,0,95267,0
Ok,09-09-2025 10:55:00,1757395500,481.70,481.80,481.20,481.80,483.54,75,0,94973,0
Ok,09-09-2025 10:50:00,1757395200,482.45,482.50,481.30,481.70,481.26,415,0,94898,0
Ok,09-09-2025 10:45:00,1757394900,483.00,483.05,482.45,482.85,483.55,736,0,94483,0
Ok,09-09-2025 10:40:00,1757394600,481.80,483.00,481.00,483.00,481.22,3885,0,93747,0
Ok,09-09-2025 10:35:00,1757394300,483.00,483.30,481.50,482.35,482.13,1751,0,89862,0
Ok,09-09-2025 10:30:00,1757394000,484.50,484.50,480.80,483.35,483.00,19427,0,88111,0
Ok,09-09-2025 10:25:00,1757393700,486.50,486.50,484.30,484.30,485.24,4658,0,68684,0
Ok,09-09-2025 10:20:00,1757393400,485.80,486.70,485.80,486.40,486.07,823,0,64026,0
Ok,09-09-2025 10:15:00,1757393100,487.85,488.30,485.60,485.60,487.01,2584,0,63203,0
Ok,09-09-2025 10:10:00,1757392800,485.00,491.90,485.00,487.90,489.03,13632,0,60619,0
Ok,09-09-2025 10:05:00,1757392500,482.65,487.00,481.15,485.95,484.28,5647,0,46987,0
Ok,09-09-2025 10:00:00,1757392200,485.15,485.15,482.55,483.00,483.18,822,0,41340,0
Ok,09-09-2025 09:55:00,1757391900,487.30,487.30,484.35,484.75,486.27,4112,0,40518,0
Ok,09-09-2025 09:50:00,1757391600,482.65,487.40,482.65,486.10,485.14,7065,0,36406,0
Ok,09-09-2025 09:45:00,1757391300,480.85,483.00,480.50,482.00,481.78,1901,0,29341,0
Ok,09-09-2025 09:40:00,1757391000,479.00,482.30,479.00,481.30,482.23,6583,0,27440,0
Ok,09-09-2025 09:35:00,1757390700,479.65,481.50,478.95,478.95,481.26,5640,0,20857,0
Ok,09-09-2025 09:30:00,1757390400,480.00,480.00,478.60,478.60,479.44,1162,0,15217,0
Ok,09-09-2025 09:25:00,1757390100,478.60,479.75,476.60,479.00,478.40,1529,0,14055,0
Ok,09-09-2025 09:20:00,1757389800,476.75,480.95,475.20,480.95,477.97,8036,0,12526,0
Ok,09-09-2025 09:15:00,1757389500,478.85,479.50,476.80,477.50,480.00,4403,0,4490,0
