stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,364.50,364.80,364.35,364.35,364.50,32577,0,817874,0
Ok,09-09-2025 15:20:00,1757411400,364.65,364.70,364.50,364.65,364.76,21917,0,785297,0
Ok,09-09-2025 15:15:00,1757411100,364.55,364.85,364.40,364.70,364.49,28351,0,763380,0
Ok,09-09-2025 15:10:00,1757410800,364.25,364.75,364.25,364.70,364.51,28109,0,735029,0
Ok,09-09-2025 15:05:00,1757410500,364.60,364.70,364.25,364.45,364.26,26801,0,706920,0
Ok,09-09-2025 15:00:00,1757410200,364.30,364.70,364.15,364.70,364.47,20148,0,680119,0
Ok,09-09-2025 14:55:00,1757409900,363.80,364.50,363.70,364.40,364.20,31458,0,659971,0
Ok,09-09-2025 14:50:00,1757409600,364.75,364.75,363.60,363.90,363.90,13245,0,628513,0
Ok,09-09-2025 14:45:00,1757409300,365.00,365.25,364.35,364.60,364.86,17634,0,615268,0
Ok,09-09-2025 14:40:00,1757409000,365.10,365.20,364.95,365.15,366.55,3499,0,597634,0
Ok,09-09-2025 14:35:00,1757408700,365.15,365.35,364.60,365.15,364.85,19671,0,594135,0
Ok,09-09-2025 14:30:00,1757408400,365.25,365.60,365.20,365.40,364.85,4769,0,574464,0
Ok,09-09-2025 14:25:00,1757408100,365.15,365.50,365.10,365.50,365.55,7966,0,569695,0
Ok,09-09-2025 14:20:00,1757407800,365.10,365.35,365.10,365.35,364.84,6351,0,561729,0
Ok,09-09-2025 14:15:00,1757407500,365.65,365.65,365.10,365.30,366.12,4294,0,555378,0
Ok,09-09-2025 14:10:00,1757407200,365.55,365.75,365.30,365.70,364.83,3033,0,551084,0
Ok,09-09-2025 14:05:00,1757406900,365.55,365.60,365.15,365.60,365.94,4877,0,548051,0
Ok,09-09-2025 14:00:00,1757406600,365.30,365.55,365.00,365.50,364.82,10735,0,543174,0
Ok,09-09-2025 13:55:00,1757406300,365.85,365.90,365.15,365.50,365.64,18647,0,532439,0
Ok,09-09-2025 13:50:00,1757406000,365.55,365.85,365.55,365.80,364.79,5178,0,513792,0
Ok,09-09-2025 13:45:00,1757405700,365.55,365.70,365.45,365.65,365.74,5240,0,508614,0
Ok,09-09-2025 13:40:00,1757405400,365.85,366.00,365.45,365.70,366.21,3480,0,503374,0
Ok,09-09-2025 13:35:00,1757405100,365.45,366.00,365.45,366.00,366.25,6633,0,499894,0
Ok,09-09-2025 13:30:00,1757404800,365.85,365.95,365.50,365.80,364.75,4242,0,493261,0
Ok,09-09-2025 13:25:00,1757404500,366.00,366.00,365.80,365.95,367.30,1908,0,489019,0
Ok,09-09-2025 13:20:00,1757404200,365.60,366.00,365.60,365.95,365.53,6050,0,487111,0
Ok,09-09-2025 13:15:00,1757403900,366.00,366.00,365.30,365.30,366.43,5567,0,481061,0
Ok,09-09-2025 13:10:00,1757403600,366.00,366.00,365.85,366.00,364.71,3739,0,475494,0
Ok,09-09-2025 13:05:00,1757403300,365.95,366.00,365.80,365.90,365.92,3856,0,471755,0
Ok,09-09-2025 13:00:00,1757403000,366.00,366.15,365.90,366.00,365.95,3700,0,467899,0
Ok,09-09-2025 12:55:00,1757402700,365.90,366.15,365.75,366.05,366.48,5102,0,464199,0
Ok,09-09-2025 12:50:00,1757402400,365.70,366.35,365.60,366.05,365.70,12932,0,459097,0
Ok,09-09-2025 12:45:00,1757402100,365.75,365.95,365.60,365.90,365.69,4174,0,446165,0
Ok,09-09-2025 12:40:00,1757401800,365.50,365.90,365.35,365.80,365.83,3627,0,441991,0
Ok,09-09-2025 12:35:00,1757401500,365.05,365.60,365.00,365.40,365.33,11931,0,438364,0
Ok,09-09-2025 12:30:00,1757401200,365.30,365.35,364.90,365.10,365.31,5848,0,426433,0
Ok,09-09-2025 12:25:00,1757400900,365.40,365.45,365.10,365.40,364.59,3206,0,420585,0
Ok,09-09-2025 12:20:00,1757400600,365.25,365.50,365.00,365.15,365.34,5442,0,417379,0
Ok,09-09-2025 12:15:00,1757400300,365.00,365.25,365.00,365.20,366.91,1760,0,411937,0
Ok,09-09-2025 12:10:00,1757400000,365.00,365.20,364.95,365.20,364.57,1291,0,410177,0
Ok,09-09-2025 12:05:00,1757399700,365.50,365.50,364.95,365.10,364.57,3424,0,408886,0
Ok,09-09-2025 12:00:00,1757399400,365.50,365.55,365.15,365.35,365.30,10672,0,405462,0
Ok,09-09-2025 11:55:00,1757399100,365.70,365.70,365.55,365.55,367.34,1405,0,394790,0
Ok,09-09-2025 11:50:00,1757398800,365.45,365.90,365.35,365.85,364.54,2576,0,393385,0
Ok,09-09-2025 11:45:00,1757398500,365.75,365.85,365.30,365.60,365.97,7997,0,390809,0
Ok,09-09-2025 11:40:00,1757398200,365.95,366.20,365.85,365.85,365.67,9602,0,382812,0
Ok,09-09-2025 11:35:00,1757397900,365.90,366.05,365.80,366.00,366.15,4401,0,373210,0
Ok,09-09-2025 11:30:00,1757397600,365.85,365.95,365.50,365.95,365.59,3227,0,368809,0
Ok,09-09-2025 11:25:00,1757397300,366.05,366.35,365.85,366.00,365.89,4969,0,365582,0
Ok,09-09-2025 11:20:00,1757397000,366.00,366.55,366.00,366.00,366.46,18414,0,360613,0
Ok,09-09-2025 11:15:00,1757396700,365.90,366.15,365.75,366.15,365.91,10379,0,342199,0
Ok,09-09-2025 11:10:00,1757396400,366.00,366.00,365.80,366.00,365.37,2983,0,331820,0
Ok,09-09-2025 11:05:00,1757396100,365.80,366.05,365.70,365.80,366.06,12260,0,328837,0
Ok,09-09-2025 11:00:00,1757395800,365.55,366.00,365.55,365.90,365.49,7119,0,316577,0
Ok,09-09-2025 10:55:00,1757395500,364.70,365.70,364.60,365.70,365.04,22437,0,309458,0
Ok,09-09-2025 10:50:00,1757395200,365.35,365.40,364.75,364.85,365.15,7832,0,287021,0
Ok,09-09-2025 10:45:00,1757394900,365.30,365.50,365.05,365.20,365.41,6035,0,279189,0
Ok,09-09-2025 10:40:00,1757394600,365.25,365.40,365.00,365.35,365.14,13936,0,273154,0
Ok,09-09-2025 10:35:00,1757394300,365.60,365.90,365.25,365.30,365.67,10191,0,259218,0
Ok,09-09-2025 10:30:00,1757394000,365.30,365.80,365.00,365.80,365.35,21761,0,249027,0
Ok,09-09-2025 10:25:00,1757393700,365.50,365.50,365.10,365.40,365.41,11690,0,227266,0
Ok,09-09-2025 10:20:00,1757393400,364.10,365.60,364.10,365.40,365.11,30520,0,215576,0
Ok,09-09-2025 10:15:00,1757393100,364.00,364.40,363.80,364.20,364.25,16258,0,185056,0
Ok,09-09-2025 10:10:00,1757392800,363.80,364.45,363.65,364.10,363.98,7561,0,168798,0
Ok,09-09-2025 10:05:00,1757392500,363.55,363.65,363.45,363.65,363.68,8269,0,161237,0
Ok,09-09-2025 10:00:00,1757392200,362.60,363.90,362.60,363.40,363.42,11479,0,152968,0
Ok,09-09-2025 09:55:00,1757391900,363.15,363.15,362.45,362.65,362.73,9586,0,141489,0
Ok,09-09-2025 09:50:00,1757391600,363.25,363.50,362.80,363.25,363.13,6380,0,131903,0
Ok,09-09-2025 09:45:00,1757391300,363.25,363.30,362.95,363.25,363.03,7834,0,125523,0
Ok,09-09-2025 09:40:00,1757391000,362.20,363.35,362.10,363.35,362.94,10396,0,117689,0
Ok,09-09-2025 09:35:00,1757390700,361.95,362.75,361.50,362.40,362.00,14696,0,107293,0
Ok,09-09-2025 09:30:00,1757390400,363.30,363.30,361.65,361.70,362.72,20364,0,92597,0
Ok,09-09-2025 09:25:00,1757390100,363.50,363.65,362.60,363.35,363.12,13533,0,72233,0
Ok,09-09-2025 09:20:00,1757389800,363.55,364.45,363.45,363.75,364.05,21011,0,58700,0
Ok,09-09-2025 09:15:00,1757389500,364.10,364.65,363.40,363.50,364.02,36219,0,37689,0
