stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,662.35,663.90,661.75,663.00,663.94,31254,0,10165146,0
Ok,09-09-2025 15:20:00,1757411400,661.15,663.40,658.00,662.00,660.13,116587,0,10133892,0
Ok,09-09-2025 15:15:00,1757411100,667.55,667.90,657.70,661.25,663.30,149521,0,10017305,0
Ok,09-09-2025 15:10:00,1757410800,669.25,669.95,666.30,667.00,667.66,64976,0,9867784,0
Ok,09-09-2025 15:05:00,1757410500,668.35,669.70,664.25,669.70,666.59,71167,0,9802808,0
Ok,09-09-2025 15:00:00,1757410200,665.50,668.85,664.20,668.50,666.72,48459,0,9731641,0
Ok,09-09-2025 14:55:00,1757409900,664.60,667.00,662.00,665.00,664.58,62467,0,9683182,0
Ok,09-09-2025 14:50:00,1757409600,668.25,674.00,663.60,664.65,667.76,125684,0,9620715,0
Ok,09-09-2025 14:45:00,1757409300,662.50,670.00,662.35,668.60,666.99,170338,0,9495031,0
Ok,09-09-2025 14:40:00,1757409000,660.00,664.00,656.35,662.40,659.76,172681,0,9324693,0
Ok,09-09-2025 14:35:00,1757408700,666.25,670.00,658.55,661.35,664.31,93345,0,9152012,0
Ok,09-09-2025 14:30:00,1757408400,663.45,670.00,662.75,666.00,667.46,96481,0,9058667,0
Ok,09-09-2025 14:25:00,1757408100,669.80,671.70,661.35,663.95,667.70,125904,0,8962186,0
Ok,09-09-2025 14:20:00,1757407800,668.55,669.65,665.00,669.65,667.09,145738,0,8836282,0
Ok,09-09-2025 14:15:00,1757407500,679.90,679.90,668.15,668.15,671.81,177580,0,8690544,0
Ok,09-09-2025 14:10:00,1757407200,681.30,683.40,675.00,679.75,679.54,182375,0,8512964,0
Ok,09-09-2025 14:05:00,1757406900,677.60,681.90,677.00,680.90,679.09,144064,0,8330589,0
Ok,09-09-2025 14:00:00,1757406600,686.45,686.50,675.10,677.95,680.70,173522,0,8186525,0
Ok,09-09-2025 13:55:00,1757406300,692.50,692.50,682.50,686.25,686.27,196864,0,8013003,0
Ok,09-09-2025 13:50:00,1757406000,693.00,695.00,688.00,692.25,690.50,145043,0,7816139,0
Ok,09-09-2025 13:45:00,1757405700,693.80,694.80,690.90,693.50,694.05,41270,0,7671096,0
Ok,09-09-2025 13:40:00,1757405400,692.25,700.00,691.75,694.15,695.26,130074,0,7629826,0
Ok,09-09-2025 13:35:00,1757405100,691.80,692.00,687.00,692.00,689.22,220930,0,7499752,0
Ok,09-09-2025 13:30:00,1757404800,696.45,699.80,692.00,692.00,695.99,162577,0,7278822,0
Ok,09-09-2025 13:25:00,1757404500,698.75,701.75,695.50,696.30,697.88,184671,0,7116245,0
Ok,09-09-2025 13:20:00,1757404200,687.25,707.10,686.00,699.50,699.79,1018080,0,6931574,0
Ok,09-09-2025 13:15:00,1757403900,687.40,688.00,684.00,687.45,686.13,161209,0,5913494,0
Ok,09-09-2025 13:10:00,1757403600,685.10,688.50,685.00,686.75,686.74,157626,0,5752285,0
Ok,09-09-2025 13:05:00,1757403300,687.10,690.00,683.45,685.00,687.95,500493,0,5594659,0
Ok,09-09-2025 13:00:00,1757403000,672.60,689.85,672.10,687.05,681.59,549485,0,5094166,0
Ok,09-09-2025 12:55:00,1757402700,672.00,674.75,667.60,672.50,670.73,244361,0,4544681,0
Ok,09-09-2025 12:50:00,1757402400,676.30,677.50,671.65,672.20,674.63,162365,0,4300320,0
Ok,09-09-2025 12:45:00,1757402100,676.60,678.25,672.00,676.10,674.91,176873,0,4137955,0
Ok,09-09-2025 12:40:00,1757401800,673.55,679.75,673.00,676.30,676.55,165279,0,3961082,0
Ok,09-09-2025 12:35:00,1757401500,671.75,679.45,671.75,673.10,675.47,223302,0,3795803,0
Ok,09-09-2025 12:30:00,1757401200,665.50,674.90,665.25,672.00,671.72,246950,0,3572501,0
Ok,09-09-2025 12:25:00,1757400900,665.00,667.80,663.40,665.30,665.58,86515,0,3325551,0
Ok,09-09-2025 12:20:00,1757400600,663.70,665.00,658.30,664.90,661.68,93269,0,3239036,0
Ok,09-09-2025 12:15:00,1757400300,663.00,664.90,661.00,663.35,662.96,81158,0,3145767,0
Ok,09-09-2025 12:10:00,1757400000,668.85,669.00,661.00,662.70,663.89,171431,0,3064609,0
Ok,09-09-2025 12:05:00,1757399700,662.40,673.00,662.05,669.00,666.96,283064,0,2893178,0
Ok,09-09-2025 12:00:00,1757399400,655.75,665.00,654.00,663.00,661.22,216898,0,2610114,0
Ok,09-09-2025 11:55:00,1757399100,649.80,659.90,649.00,655.90,656.51,208506,0,2393216,0
Ok,09-09-2025 11:50:00,1757398800,650.70,651.50,647.55,649.30,649.41,74337,0,2184710,0
Ok,09-09-2025 11:45:00,1757398500,652.05,655.65,650.00,650.85,652.83,82224,0,2110373,0
Ok,09-09-2025 11:40:00,1757398200,649.70,657.00,649.05,652.85,653.61,106080,0,2028149,0
Ok,09-09-2025 11:35:00,1757397900,648.35,654.00,647.50,649.45,650.83,167712,0,1922069,0
Ok,09-09-2025 11:30:00,1757397600,644.30,650.00,644.30,648.00,648.92,145680,0,1754357,0
Ok,09-09-2025 11:25:00,1757397300,639.05,645.90,639.00,644.50,642.66,33271,0,1608677,0
Ok,09-09-2025 11:20:00,1757397000,640.10,642.80,638.35,639.50,640.98,16941,0,1575406,0
Ok,09-09-2025 11:15:00,1757396700,645.15,648.90,639.75,640.90,643.70,72566,0,1558465,0
Ok,09-09-2025 11:10:00,1757396400,638.60,647.50,637.25,645.10,643.70,86816,0,1485899,0
Ok,09-09-2025 11:05:00,1757396100,636.50,639.00,635.50,638.45,636.85,10204,0,1399083,0
Ok,09-09-2025 11:00:00,1757395800,634.80,638.00,632.85,636.00,635.49,29060,0,1388879,0
Ok,09-09-2025 10:55:00,1757395500,630.60,634.70,628.00,634.70,630.89,51356,0,1359819,0
Ok,09-09-2025 10:50:00,1757395200,632.35,632.85,630.50,631.00,631.90,10352,0,1308463,0
Ok,09-09-2025 10:45:00,1757394900,637.00,637.70,631.50,633.00,634.19,25404,0,1298111,0
Ok,09-09-2025 10:40:00,1757394600,633.45,639.90,633.15,637.50,637.52,41052,0,1272707,0
Ok,09-09-2025 10:35:00,1757394300,633.50,633.65,630.05,633.10,631.84,25262,0,1231655,0
Ok,09-09-2025 10:30:00,1757394000,636.05,636.05,633.00,633.00,634.53,9816,0,1206393,0
Ok,09-09-2025 10:25:00,1757393700,637.00,637.00,632.60,634.85,634.10,14289,0,1196577,0
Ok,09-09-2025 10:20:00,1757393400,637.75,639.00,634.15,636.25,637.19,32305,0,1182288,0
Ok,09-09-2025 10:15:00,1757393100,633.00,637.80,632.55,637.65,633.99,50350,0,1149983,0
Ok,09-09-2025 10:10:00,1757392800,633.60,634.85,630.70,633.50,632.39,43196,0,1099633,0
Ok,09-09-2025 10:05:00,1757392500,638.75,640.00,632.50,633.55,635.81,72143,0,1056437,0
Ok,09-09-2025 10:00:00,1757392200,644.60,644.75,635.10,638.25,638.91,71264,0,984294,0
