stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,404.85,405.00,404.30,404.45,404.71,2301,0,110768,0
Ok,09-09-2025 15:20:00,1757411400,404.40,404.80,404.10,404.80,404.40,6762,0,108467,0
Ok,09-09-2025 15:15:00,1757411100,404.20,404.85,404.10,404.35,404.07,3032,0,101705,0
Ok,09-09-2025 15:10:00,1757410800,404.35,405.00,404.10,404.80,404.75,1848,0,98673,0
Ok,09-09-2025 15:05:00,1757410500,404.65,404.65,404.30,404.65,404.19,3396,0,96825,0
Ok,09-09-2025 15:00:00,1757410200,404.45,404.80,404.10,404.10,404.38,2344,0,93429,0
Ok,09-09-2025 14:55:00,1757409900,404.40,404.60,404.10,404.15,404.78,697,0,91085,0
Ok,09-09-2025 14:50:00,1757409600,404.10,404.40,404.10,404.10,402.83,464,0,90388,0
Ok,09-09-2025 14:45:00,1757409300,404.10,404.45,404.05,404.15,404.03,2349,0,89924,0
Ok,09-09-2025 14:40:00,1757409000,404.35,404.45,404.10,404.45,404.81,1035,0,87575,0
Ok,09-09-2025 14:35:00,1757408700,404.40,404.40,404.10,404.10,403.54,681,0,86540,0
Ok,09-09-2025 14:30:00,1757408400,404.10,404.10,404.10,404.10,404.82,369,0,85859,0
Ok,09-09-2025 14:25:00,1757408100,404.30,404.50,404.20,404.20,404.82,451,0,85490,0
Ok,09-09-2025 14:20:00,1757407800,404.10,404.55,404.05,404.30,403.56,675,0,85039,0
Ok,09-09-2025 14:15:00,1757407500,404.40,404.55,404.10,404.10,404.83,259,0,84364,0
Ok,09-09-2025 14:10:00,1757407200,404.35,404.60,404.10,404.10,404.83,528,0,84105,0
Ok,09-09-2025 14:05:00,1757406900,403.60,404.35,403.55,404.35,403.85,845,0,83577,0
Ok,09-09-2025 14:00:00,1757406600,403.80,403.80,403.65,403.65,404.84,212,0,82732,0
Ok,09-09-2025 13:55:00,1757406300,403.80,403.80,403.80,403.80,0.00,0,0,82520,0
Ok,09-09-2025 13:50:00,1757406000,403.85,403.85,403.45,403.80,400.45,188,0,82520,0
Ok,09-09-2025 13:45:00,1757405700,404.35,404.35,403.55,403.55,404.85,135,0,82332,0
Ok,09-09-2025 13:40:00,1757405400,403.75,404.35,403.75,404.35,404.10,1085,0,82197,0
Ok,09-09-2025 13:35:00,1757405100,403.30,403.75,403.25,403.65,402.86,405,0,81112,0
Ok,09-09-2025 13:30:00,1757404800,404.60,404.60,403.30,403.30,404.28,1383,0,80707,0
Ok,09-09-2025 13:25:00,1757404500,404.35,404.35,404.35,404.35,404.88,29,0,79324,0
Ok,09-09-2025 13:20:00,1757404200,404.20,404.50,404.20,404.50,404.88,264,0,79295,0
Ok,09-09-2025 13:15:00,1757403900,403.70,404.40,403.70,404.20,403.88,787,0,79031,0
Ok,09-09-2025 13:10:00,1757403600,403.65,403.70,403.60,403.70,402.10,280,0,78244,0
Ok,09-09-2025 13:05:00,1757403300,403.65,403.65,403.55,403.60,404.90,57,0,77964,0
Ok,09-09-2025 13:00:00,1757403000,402.55,403.65,402.55,403.65,402.95,792,0,77907,0
Ok,09-09-2025 12:55:00,1757402700,401.95,401.95,401.10,401.80,401.85,501,0,77115,0
Ok,09-09-2025 12:50:00,1757402400,402.10,402.10,401.45,401.95,401.38,429,0,76614,0
Ok,09-09-2025 12:45:00,1757402100,402.15,402.20,401.65,401.65,402.08,528,0,76185,0
Ok,09-09-2025 12:40:00,1757401800,401.85,401.85,401.85,401.85,399.21,131,0,75657,0
Ok,09-09-2025 12:35:00,1757401500,402.00,402.25,401.05,401.85,402.34,850,0,75526,0
Ok,09-09-2025 12:30:00,1757401200,402.00,402.60,401.85,402.15,400.78,351,0,74676,0
Ok,09-09-2025 12:25:00,1757400900,402.40,403.55,402.40,402.60,403.87,634,0,74325,0
Ok,09-09-2025 12:20:00,1757400600,402.95,403.45,402.70,402.70,401.51,208,0,73691,0
Ok,09-09-2025 12:15:00,1757400300,402.80,403.65,402.60,402.95,402.88,337,0,73483,0
Ok,09-09-2025 12:10:00,1757400000,402.00,402.70,402.00,402.70,405.07,92,0,73146,0
Ok,09-09-2025 12:05:00,1757399700,401.70,402.35,401.70,402.00,402.20,1008,0,73054,0
Ok,09-09-2025 12:00:00,1757399400,404.00,404.00,402.50,402.50,402.81,932,0,72046,0
Ok,09-09-2025 11:55:00,1757399100,403.60,404.35,403.60,404.30,404.04,644,0,71114,0
Ok,09-09-2025 11:50:00,1757398800,402.35,405.30,402.35,403.30,404.88,23936,0,70470,0
Ok,09-09-2025 11:45:00,1757398500,402.45,403.00,402.20,402.35,403.63,559,0,46534,0
Ok,09-09-2025 11:40:00,1757398200,401.75,403.15,401.75,402.80,402.76,1576,0,45975,0
Ok,09-09-2025 11:35:00,1757397900,401.75,401.75,401.75,401.75,0.00,0,0,44399,0
Ok,09-09-2025 11:30:00,1757397600,401.90,401.90,401.80,401.80,401.83,125,0,44399,0
Ok,09-09-2025 11:25:00,1757397300,402.35,402.35,402.00,402.20,402.44,592,0,44274,0
Ok,09-09-2025 11:20:00,1757397000,403.15,403.15,402.65,402.65,401.11,201,0,43682,0
Ok,09-09-2025 11:15:00,1757396700,402.50,403.00,402.35,402.85,403.79,260,0,43481,0
Ok,09-09-2025 11:10:00,1757396400,402.65,402.90,402.45,402.55,401.93,484,0,43221,0
Ok,09-09-2025 11:05:00,1757396100,402.05,402.65,402.00,402.65,404.25,4584,0,42737,0
Ok,09-09-2025 11:00:00,1757395800,402.20,402.60,402.05,402.20,401.70,192,0,38153,0
Ok,09-09-2025 10:55:00,1757395500,401.50,402.05,401.50,402.05,396.97,260,0,37961,0
Ok,09-09-2025 10:50:00,1757395200,402.90,402.90,401.25,401.60,404.74,375,0,37701,0
Ok,09-09-2025 10:45:00,1757394900,402.65,402.90,402.60,402.90,405.75,25,0,37326,0
Ok,09-09-2025 10:40:00,1757394600,403.10,403.10,402.65,402.65,403.03,274,0,37301,0
Ok,09-09-2025 10:35:00,1757394300,403.30,403.45,403.25,403.25,405.77,66,0,37027,0
Ok,09-09-2025 10:30:00,1757394000,402.45,403.35,402.45,403.35,403.02,400,0,36961,0
Ok,09-09-2025 10:25:00,1757393700,402.80,402.80,402.15,402.45,402.22,605,0,36561,0
Ok,09-09-2025 10:20:00,1757393400,402.80,403.25,402.80,402.80,403.14,393,0,35956,0
Ok,09-09-2025 10:15:00,1757393100,403.15,403.15,400.95,402.80,401.56,5140,0,35563,0
Ok,09-09-2025 10:10:00,1757392800,404.55,405.00,403.40,403.40,404.40,3419,0,30423,0
Ok,09-09-2025 10:05:00,1757392500,404.55,404.95,404.55,404.90,405.03,428,0,27004,0
Ok,09-09-2025 10:00:00,1757392200,404.70,404.95,404.50,404.75,404.65,346,0,26576,0
Ok,09-09-2025 09:55:00,1757391900,404.95,405.10,404.70,404.75,404.77,472,0,26230,0
Ok,09-09-2025 09:50:00,1757391600,404.90,405.00,404.70,405.00,404.82,1242,0,25758,0
Ok,09-09-2025 09:45:00,1757391300,405.50,405.95,404.50,404.90,405.05,2670,0,24516,0
Ok,09-09-2025 09:40:00,1757391000,405.55,405.90,404.90,405.50,405.52,1023,0,21846,0
Ok,09-09-2025 09:35:00,1757390700,404.50,406.00,404.45,405.70,404.81,540,0,20823,0
Ok,09-09-2025 09:30:00,1757390400,405.10,405.75,404.75,404.90,405.10,2109,0,20283,0
Ok,09-09-2025 09:25:00,1757390100,404.15,405.20,404.15,405.20,404.87,425,0,18174,0
Ok,09-09-2025 09:20:00,1757389800,407.90,408.25,405.20,405.20,406.01,7157,0,17749,0
Ok,09-09-2025 09:15:00,1757389500,408.10,410.75,407.50,407.50,409.19,10158,0,10592,0
