stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,383.20,386.40,383.00,385.00,384.79,26771,0,479685,0
Ok,09-09-2025 15:20:00,1757411400,386.30,386.60,384.00,384.80,385.15,16446,0,452914,0
Ok,09-09-2025 15:15:00,1757411100,381.00,386.40,380.40,386.00,385.09,55347,0,436468,0
Ok,09-09-2025 15:10:00,1757410800,381.50,381.60,380.50,380.95,382.19,4600,0,381121,0
Ok,09-09-2025 15:05:00,1757410500,381.60,381.70,380.30,381.00,380.15,3817,0,376521,0
Ok,09-09-2025 15:00:00,1757410200,381.45,381.70,380.65,381.00,379.68,1493,0,372704,0
Ok,09-09-2025 14:55:00,1757409900,382.80,382.80,380.60,381.40,381.05,15635,0,371211,0
Ok,09-09-2025 14:50:00,1757409600,381.10,383.00,380.70,382.30,381.90,7817,0,355576,0
Ok,09-09-2025 14:45:00,1757409300,382.55,383.20,381.00,381.80,381.84,4860,0,347759,0
Ok,09-09-2025 14:40:00,1757409000,383.05,383.30,381.00,383.10,382.35,6105,0,342899,0
Ok,09-09-2025 14:35:00,1757408700,383.00,383.90,382.50,382.95,382.77,7091,0,336794,0
Ok,09-09-2025 14:30:00,1757408400,383.55,384.00,382.20,382.95,383.77,6319,0,329703,0
Ok,09-09-2025 14:25:00,1757408100,382.60,385.00,382.05,383.35,384.14,21612,0,323384,0
Ok,09-09-2025 14:20:00,1757407800,382.20,383.50,381.80,383.00,383.01,7860,0,301772,0
Ok,09-09-2025 14:15:00,1757407500,383.00,384.00,380.10,382.90,382.35,16341,0,293912,0
Ok,09-09-2025 14:10:00,1757407200,382.20,383.90,381.25,382.60,382.20,17410,0,277571,0
Ok,09-09-2025 14:05:00,1757406900,381.85,384.95,381.00,382.00,383.44,36992,0,260161,0
Ok,09-09-2025 14:00:00,1757406600,377.70,382.00,377.65,381.30,380.45,48612,0,223169,0
Ok,09-09-2025 13:55:00,1757406300,378.00,379.00,377.20,378.05,378.23,5525,0,174557,0
