stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,557.40,558.80,557.40,558.80,557.51,26339,0,436734,0
Ok,09-09-2025 15:20:00,1757411400,557.45,558.00,557.40,557.50,557.58,49002,0,410395,0
Ok,09-09-2025 15:15:00,1757411100,557.45,557.65,557.45,557.60,557.54,27426,0,361393,0
Ok,09-09-2025 15:10:00,1757410800,557.45,557.80,557.35,557.70,557.52,31994,0,333967,0
Ok,09-09-2025 15:05:00,1757410500,557.45,557.75,557.30,557.65,557.69,14377,0,301973,0
Ok,09-09-2025 15:00:00,1757410200,557.40,557.60,557.00,557.60,557.22,17571,0,287596,0
Ok,09-09-2025 14:55:00,1757409900,557.65,557.70,557.40,557.45,558.41,2417,0,270025,0
Ok,09-09-2025 14:50:00,1757409600,558.00,558.10,557.35,557.40,557.51,12687,0,267608,0
Ok,09-09-2025 14:45:00,1757409300,557.90,558.10,557.90,558.05,558.05,3214,0,254921,0
Ok,09-09-2025 14:40:00,1757409000,558.15,558.20,557.85,557.95,558.47,2124,0,251707,0
Ok,09-09-2025 14:35:00,1757408700,558.40,558.60,558.05,558.20,558.36,1914,0,249583,0
Ok,09-09-2025 14:30:00,1757408400,558.70,558.80,558.40,558.70,558.49,10172,0,247669,0
Ok,09-09-2025 14:25:00,1757408100,558.40,558.80,558.40,558.75,558.18,3060,0,237497,0
Ok,09-09-2025 14:20:00,1757407800,558.05,558.50,558.05,558.50,558.21,1536,0,234437,0
Ok,09-09-2025 14:15:00,1757407500,558.30,558.50,558.05,558.30,558.28,1584,0,232901,0
Ok,09-09-2025 14:10:00,1757407200,558.30,558.50,558.30,558.50,559.76,939,0,231317,0
Ok,09-09-2025 14:05:00,1757406900,558.25,558.50,558.15,558.50,558.07,4025,0,230378,0
Ok,09-09-2025 14:00:00,1757406600,558.00,558.45,558.00,558.25,558.16,5446,0,226353,0
Ok,09-09-2025 13:55:00,1757406300,558.40,558.40,558.15,558.40,557.84,1106,0,220907,0
Ok,09-09-2025 13:50:00,1757406000,557.95,558.40,557.75,558.40,558.03,2411,0,219801,0
Ok,09-09-2025 13:45:00,1757405700,558.00,558.00,557.75,557.75,558.11,2475,0,217390,0
Ok,09-09-2025 13:40:00,1757405400,558.25,558.35,557.80,557.90,558.34,2776,0,214915,0
Ok,09-09-2025 13:35:00,1757405100,558.00,558.20,557.90,558.15,557.07,749,0,212139,0
Ok,09-09-2025 13:30:00,1757404800,558.00,558.15,557.75,558.15,558.06,3388,0,211390,0
Ok,09-09-2025 13:25:00,1757404500,558.00,558.30,558.00,558.05,556.20,555,0,208002,0
Ok,09-09-2025 13:20:00,1757404200,558.45,558.50,558.35,558.35,558.67,3215,0,207447,0
Ok,09-09-2025 13:15:00,1757403900,558.45,558.50,558.00,558.20,557.75,2729,0,204232,0
Ok,09-09-2025 13:10:00,1757403600,558.55,558.60,558.20,558.50,558.77,1627,0,201503,0
Ok,09-09-2025 13:05:00,1757403300,558.20,558.60,558.05,558.25,558.43,3741,0,199876,0
Ok,09-09-2025 13:00:00,1757403000,558.05,558.30,558.00,558.30,557.77,2566,0,196135,0
Ok,09-09-2025 12:55:00,1757402700,558.20,558.30,557.65,558.30,557.96,1827,0,193569,0
Ok,09-09-2025 12:50:00,1757402400,558.40,558.50,558.25,558.30,559.16,2055,0,191742,0
Ok,09-09-2025 12:45:00,1757402100,558.50,558.50,558.30,558.50,558.29,2087,0,189687,0
Ok,09-09-2025 12:40:00,1757401800,558.70,558.90,558.30,558.45,558.61,2461,0,187600,0
Ok,09-09-2025 12:35:00,1757401500,558.85,559.20,558.35,558.65,558.30,4913,0,185139,0
Ok,09-09-2025 12:30:00,1757401200,558.45,559.05,558.40,558.60,558.71,1214,0,180226,0
Ok,09-09-2025 12:25:00,1757400900,558.60,558.65,558.20,558.65,559.23,1832,0,179012,0
Ok,09-09-2025 12:20:00,1757400600,558.25,558.85,558.25,558.75,558.21,884,0,177180,0
Ok,09-09-2025 12:15:00,1757400300,558.20,558.55,558.05,558.40,558.29,1815,0,176296,0
Ok,09-09-2025 12:10:00,1757400000,557.25,558.30,557.25,558.25,557.81,2135,0,174481,0
Ok,09-09-2025 12:05:00,1757399700,558.75,559.00,557.55,557.75,557.79,7993,0,172346,0
