stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,515.00,519.00,515.00,519.00,515.34,6402,0,213763,0
Ok,09-09-2025 15:20:00,1757411400,515.00,515.20,514.10,515.20,514.95,5951,0,207361,0
Ok,09-09-2025 15:15:00,1757411100,515.30,515.65,514.35,515.25,514.80,9316,0,201410,0
Ok,09-09-2025 15:10:00,1757410800,516.10,516.55,515.35,515.65,516.16,5289,0,192094,0
Ok,09-09-2025 15:05:00,1757410500,515.50,516.45,515.20,516.45,515.67,4843,0,186805,0
Ok,09-09-2025 15:00:00,1757410200,515.60,515.95,515.00,515.45,514.95,8337,0,181962,0
Ok,09-09-2025 14:55:00,1757409900,516.40,516.75,515.20,515.50,516.15,3775,0,173625,0
Ok,09-09-2025 14:50:00,1757409600,515.65,516.45,515.05,516.00,516.25,1412,0,169850,0
Ok,09-09-2025 14:45:00,1757409300,515.50,516.20,515.30,515.30,516.30,940,0,168438,0
Ok,09-09-2025 14:40:00,1757409000,515.70,516.30,515.00,515.50,514.08,1146,0,167498,0
Ok,09-09-2025 14:35:00,1757408700,516.00,516.20,515.75,515.75,516.81,1588,0,166352,0
Ok,09-09-2025 14:30:00,1757408400,516.40,516.50,515.90,516.10,516.44,1397,0,164764,0
Ok,09-09-2025 14:25:00,1757408100,515.50,516.10,515.10,516.05,515.17,1680,0,163367,0
Ok,09-09-2025 14:20:00,1757407800,515.70,515.80,515.10,515.10,516.62,472,0,161687,0
Ok,09-09-2025 14:15:00,1757407500,515.40,515.85,515.10,515.30,515.92,1548,0,161215,0
Ok,09-09-2025 14:10:00,1757407200,515.50,516.05,515.35,515.60,512.73,433,0,159667,0
Ok,09-09-2025 14:05:00,1757406900,515.75,516.05,515.40,515.85,515.20,324,0,159234,0
Ok,09-09-2025 14:00:00,1757406600,515.35,516.30,515.10,516.20,516.32,418,0,158910,0
Ok,09-09-2025 13:55:00,1757406300,515.80,516.15,515.40,515.40,516.04,387,0,158492,0
Ok,09-09-2025 13:50:00,1757406000,516.00,516.30,515.60,516.10,514.06,260,0,158105,0
Ok,09-09-2025 13:45:00,1757405700,516.45,516.50,516.00,516.00,520.15,252,0,157845,0
Ok,09-09-2025 13:40:00,1757405400,516.95,517.15,516.15,516.50,515.41,332,0,157593,0
Ok,09-09-2025 13:35:00,1757405100,517.30,517.30,516.30,516.70,517.23,1071,0,157261,0
Ok,09-09-2025 13:30:00,1757404800,517.40,517.90,517.40,517.85,517.64,615,0,156190,0
Ok,09-09-2025 13:25:00,1757404500,516.45,517.50,516.20,517.50,516.27,1185,0,155575,0
Ok,09-09-2025 13:20:00,1757404200,517.10,517.10,516.70,516.70,518.45,870,0,154390,0
Ok,09-09-2025 13:15:00,1757403900,516.75,517.05,516.75,517.05,514.59,272,0,153520,0
Ok,09-09-2025 13:10:00,1757403600,516.65,517.35,516.65,516.80,517.34,527,0,153248,0
Ok,09-09-2025 13:05:00,1757403300,515.90,517.00,515.00,516.75,515.56,2248,0,152721,0
Ok,09-09-2025 13:00:00,1757403000,515.25,515.70,515.05,515.50,514.50,516,0,150473,0
Ok,09-09-2025 12:55:00,1757402700,515.90,515.95,515.10,515.25,515.98,687,0,149957,0
Ok,09-09-2025 12:50:00,1757402400,516.60,516.90,515.50,515.85,515.28,586,0,149270,0
Ok,09-09-2025 12:45:00,1757402100,516.25,516.95,516.20,516.95,516.38,1110,0,148684,0
