stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,644.00,645.05,643.00,644.55,644.14,7453,0,194700,0
Ok,09-09-2025 15:20:00,1757411400,645.40,645.90,642.00,643.75,643.95,13944,0,187247,0
Ok,09-09-2025 15:15:00,1757411100,644.40,646.35,644.40,645.00,645.46,4464,0,173303,0
Ok,09-09-2025 15:10:00,1757410800,647.10,647.30,644.30,644.30,646.11,3199,0,168839,0
Ok,09-09-2025 15:05:00,1757410500,644.20,647.65,643.70,647.65,644.79,6503,0,165640,0
Ok,09-09-2025 15:00:00,1757410200,644.50,644.85,644.00,644.00,644.03,1457,0,159137,0
Ok,09-09-2025 14:55:00,1757409900,644.15,644.90,644.00,644.20,644.35,1158,0,157680,0
Ok,09-09-2025 14:50:00,1757409600,645.00,645.50,644.50,644.50,644.48,1568,0,156522,0
Ok,09-09-2025 14:45:00,1757409300,644.65,645.45,644.10,644.95,645.83,1164,0,154954,0
Ok,09-09-2025 14:40:00,1757409000,645.20,645.50,644.50,644.80,644.76,1632,0,153790,0
Ok,09-09-2025 14:35:00,1757408700,646.30,646.30,645.20,645.30,645.64,1047,0,152158,0
Ok,09-09-2025 14:30:00,1757408400,646.45,646.80,646.25,646.25,646.55,1491,0,151111,0
Ok,09-09-2025 14:25:00,1757408100,645.00,646.15,645.00,646.05,646.05,590,0,149620,0
Ok,09-09-2025 14:20:00,1757407800,645.25,645.40,645.00,645.20,643.85,627,0,149030,0
Ok,09-09-2025 14:15:00,1757407500,645.75,646.15,645.40,645.50,645.47,941,0,148403,0
Ok,09-09-2025 14:10:00,1757407200,645.05,645.70,644.00,645.50,644.80,3025,0,147462,0
Ok,09-09-2025 14:05:00,1757406900,645.40,645.75,644.35,644.85,644.06,620,0,144437,0
Ok,09-09-2025 14:00:00,1757406600,645.10,645.90,644.05,645.30,645.15,4305,0,143817,0
Ok,09-09-2025 13:55:00,1757406300,645.15,645.15,645.05,645.15,645.19,382,0,139512,0
Ok,09-09-2025 13:50:00,1757406000,645.10,645.95,645.00,645.15,643.74,813,0,139130,0
Ok,09-09-2025 13:45:00,1757405700,645.90,645.90,645.00,645.00,645.33,389,0,138317,0
Ok,09-09-2025 13:40:00,1757405400,645.00,645.90,645.00,645.85,645.09,1439,0,137928,0
Ok,09-09-2025 13:35:00,1757405100,645.50,645.55,645.00,645.20,645.25,739,0,136489,0
Ok,09-09-2025 13:30:00,1757404800,645.90,646.20,645.30,645.30,642.98,454,0,135750,0
Ok,09-09-2025 13:25:00,1757404500,645.35,646.10,645.35,645.90,648.97,612,0,135296,0
Ok,09-09-2025 13:20:00,1757404200,645.20,646.10,645.15,646.10,643.93,533,0,134684,0
Ok,09-09-2025 13:15:00,1757403900,645.10,645.65,645.10,645.55,648.99,315,0,134151,0
Ok,09-09-2025 13:10:00,1757403600,645.70,645.70,645.10,645.55,644.05,810,0,133836,0
Ok,09-09-2025 13:05:00,1757403300,646.10,646.55,645.30,645.70,645.86,420,0,133026,0
