stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,389.10,390.00,388.80,390.00,389.57,32642,0,952231,0
Ok,09-09-2025 15:20:00,1757411400,388.90,389.30,388.35,389.20,388.80,43102,0,919589,0
Ok,09-09-2025 15:15:00,1757411100,389.85,389.90,388.15,388.80,388.81,70317,0,876487,0
Ok,09-09-2025 15:10:00,1757410800,390.70,390.80,389.85,389.90,390.11,68455,0,806170,0
Ok,09-09-2025 15:05:00,1757410500,390.75,390.85,390.30,390.75,390.50,28357,0,737715,0
Ok,09-09-2025 15:00:00,1757410200,391.25,391.25,390.35,390.70,390.68,33210,0,709358,0
Ok,09-09-2025 14:55:00,1757409900,391.50,391.60,391.00,391.10,391.22,27314,0,676148,0
Ok,09-09-2025 14:50:00,1757409600,391.10,391.50,391.00,391.40,391.07,9469,0,648834,0
Ok,09-09-2025 14:45:00,1757409300,391.00,391.25,390.95,391.20,391.56,6467,0,639365,0
Ok,09-09-2025 14:40:00,1757409000,390.90,391.25,390.85,391.05,390.50,7784,0,632898,0
Ok,09-09-2025 14:35:00,1757408700,390.90,391.15,390.85,391.15,391.15,8992,0,625114,0
Ok,09-09-2025 14:30:00,1757408400,390.90,391.35,390.65,390.85,390.70,13830,0,616122,0
Ok,09-09-2025 14:25:00,1757408100,391.50,391.70,390.95,390.95,391.16,33655,0,602292,0
Ok,09-09-2025 14:20:00,1757407800,391.70,391.85,391.50,391.55,391.47,6502,0,568637,0
Ok,09-09-2025 14:15:00,1757407500,391.75,391.95,391.55,391.80,392.29,6244,0,562135,0
Ok,09-09-2025 14:10:00,1757407200,392.15,392.40,391.75,391.80,391.62,16039,0,555891,0
Ok,09-09-2025 14:05:00,1757406900,392.45,392.55,392.00,392.00,392.17,7292,0,539852,0
Ok,09-09-2025 14:00:00,1757406600,391.90,393.25,391.80,392.25,392.68,10648,0,532560,0
Ok,09-09-2025 13:55:00,1757406300,391.95,392.10,391.75,391.95,391.71,5952,0,521912,0
Ok,09-09-2025 13:50:00,1757406000,392.15,392.50,391.85,392.00,392.38,7169,0,515960,0
Ok,09-09-2025 13:45:00,1757405700,391.85,392.35,391.75,392.25,391.54,9395,0,508791,0
Ok,09-09-2025 13:40:00,1757405400,391.85,392.00,391.55,391.75,392.50,5241,0,499396,0
Ok,09-09-2025 13:35:00,1757405100,391.70,391.95,391.50,391.60,391.32,8413,0,494155,0
Ok,09-09-2025 13:30:00,1757404800,392.00,392.45,391.70,391.75,391.84,13154,0,485742,0
Ok,09-09-2025 13:25:00,1757404500,392.20,392.40,391.80,392.15,392.00,6607,0,472588,0
Ok,09-09-2025 13:20:00,1757404200,392.20,392.55,392.00,392.10,392.99,5335,0,465981,0
Ok,09-09-2025 13:15:00,1757403900,392.20,392.45,392.00,392.10,391.65,9135,0,460646,0
Ok,09-09-2025 13:10:00,1757403600,392.35,392.65,392.00,392.00,392.40,8074,0,451511,0
Ok,09-09-2025 13:05:00,1757403300,392.45,392.80,392.10,392.10,392.09,5978,0,443437,0
Ok,09-09-2025 13:00:00,1757403000,393.00,393.00,392.40,392.50,393.21,5008,0,437459,0
Ok,09-09-2025 12:55:00,1757402700,393.25,393.25,392.50,392.90,392.71,14720,0,432451,0
Ok,09-09-2025 12:50:00,1757402400,392.90,393.45,392.75,393.00,393.04,5686,0,417731,0
Ok,09-09-2025 12:45:00,1757402100,392.55,393.00,392.50,393.00,392.32,5549,0,412045,0
Ok,09-09-2025 12:40:00,1757401800,392.75,393.00,392.55,392.85,392.57,2336,0,406496,0
Ok,09-09-2025 12:35:00,1757401500,392.90,393.00,392.50,392.80,392.76,4850,0,404160,0
Ok,09-09-2025 12:30:00,1757401200,393.00,393.00,392.65,392.65,392.53,3339,0,399310,0
Ok,09-09-2025 12:25:00,1757400900,393.30,393.55,392.80,392.80,393.08,3869,0,395971,0
Ok,09-09-2025 12:20:00,1757400600,393.15,393.60,392.80,393.40,393.14,6409,0,392102,0
Ok,09-09-2025 12:15:00,1757400300,393.30,393.30,392.80,393.00,393.31,9117,0,385693,0
Ok,09-09-2025 12:10:00,1757400000,393.05,393.30,393.00,393.05,392.55,4007,0,376576,0
Ok,09-09-2025 12:05:00,1757399700,393.35,393.65,393.00,393.00,393.30,11992,0,372569,0
Ok,09-09-2025 12:00:00,1757399400,393.45,393.85,393.35,393.50,393.66,7688,0,360577,0
Ok,09-09-2025 11:55:00,1757399100,393.50,393.70,393.35,393.35,393.28,9673,0,352889,0
Ok,09-09-2025 11:50:00,1757398800,393.40,393.80,393.40,393.45,393.88,5031,0,343216,0
Ok,09-09-2025 11:45:00,1757398500,393.40,393.70,393.35,393.45,393.28,4020,0,338185,0
Ok,09-09-2025 11:40:00,1757398200,393.40,393.70,393.35,393.35,393.13,4687,0,334165,0
Ok,09-09-2025 11:35:00,1757397900,393.45,393.70,393.35,393.45,393.88,4625,0,329478,0
Ok,09-09-2025 11:30:00,1757397600,393.95,394.00,393.35,393.50,393.30,8317,0,324853,0
Ok,09-09-2025 11:25:00,1757397300,393.90,394.00,393.30,393.90,393.97,24581,0,316536,0
Ok,09-09-2025 11:20:00,1757397000,393.95,394.25,393.80,394.00,393.72,6832,0,291955,0
Ok,09-09-2025 11:15:00,1757396700,393.95,394.00,393.50,394.00,393.87,16417,0,285123,0
Ok,09-09-2025 11:10:00,1757396400,395.40,395.65,393.80,394.00,394.51,38336,0,268706,0
Ok,09-09-2025 11:05:00,1757396100,396.30,396.30,395.60,395.70,395.79,5566,0,230370,0
Ok,09-09-2025 11:00:00,1757395800,395.95,396.30,395.70,396.00,396.14,2580,0,224804,0
Ok,09-09-2025 10:55:00,1757395500,396.55,396.55,395.50,395.70,396.10,4886,0,222224,0
Ok,09-09-2025 10:50:00,1757395200,396.00,396.55,395.65,396.30,396.03,6677,0,217338,0
Ok,09-09-2025 10:45:00,1757394900,396.05,396.40,396.00,396.05,396.03,7298,0,210661,0
Ok,09-09-2025 10:40:00,1757394600,396.90,396.90,396.10,396.10,396.32,4602,0,203363,0
Ok,09-09-2025 10:35:00,1757394300,396.30,397.00,396.20,396.55,396.91,3296,0,198761,0
Ok,09-09-2025 10:30:00,1757394000,396.10,396.85,395.90,396.35,396.09,27489,0,195465,0
Ok,09-09-2025 10:25:00,1757393700,396.95,396.95,396.00,396.05,396.45,11029,0,167976,0
Ok,09-09-2025 10:20:00,1757393400,397.35,397.70,396.90,397.00,397.15,3222,0,156947,0
Ok,09-09-2025 10:15:00,1757393100,398.25,398.55,397.30,397.40,398.05,10212,0,153725,0
Ok,09-09-2025 10:10:00,1757392800,398.75,399.00,398.00,398.00,398.08,2451,0,143513,0
Ok,09-09-2025 10:05:00,1757392500,399.80,399.80,398.50,399.15,399.06,3501,0,141062,0
Ok,09-09-2025 10:00:00,1757392200,400.80,400.80,399.30,399.70,399.46,7938,0,137561,0
Ok,09-09-2025 09:55:00,1757391900,401.05,401.20,400.10,400.50,400.92,6894,0,129623,0
Ok,09-09-2025 09:50:00,1757391600,399.10,401.70,399.00,401.00,400.55,18948,0,122729,0
Ok,09-09-2025 09:45:00,1757391300,399.00,399.40,398.50,399.30,398.82,6691,0,103781,0
Ok,09-09-2025 09:40:00,1757391000,398.65,399.55,398.05,398.70,398.81,7019,0,97090,0
Ok,09-09-2025 09:35:00,1757390700,398.40,398.85,397.35,398.25,398.06,9793,0,90071,0
Ok,09-09-2025 09:30:00,1757390400,398.55,399.10,398.00,398.35,398.57,9494,0,80278,0
Ok,09-09-2025 09:25:00,1757390100,396.20,398.50,395.75,398.50,396.75,15490,0,70784,0
Ok,09-09-2025 09:20:00,1757389800,397.70,398.00,396.10,396.50,397.10,30750,0,55294,0
Ok,09-09-2025 09:15:00,1757389500,398.10,400.65,398.10,398.80,399.81,21687,0,24544,0
