stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,09-09-2025 15:25:00,1757411700,384.80,385.55,384.35,385.00,385.25,111414,0,3129031,0
Ok,09-09-2025 15:20:00,1757411400,384.60,384.95,384.60,384.90,384.57,155961,0,3017617,0
Ok,09-09-2025 15:15:00,1757411100,384.30,384.50,384.15,384.50,384.30,101526,0,2861656,0
Ok,09-09-2025 15:10:00,1757410800,384.40,384.65,384.20,384.25,384.53,59585,0,2760130,0
Ok,09-09-2025 15:05:00,1757410500,384.00,384.55,384.00,384.30,384.52,131127,0,2700545,0
Ok,09-09-2025 15:00:00,1757410200,384.10,384.50,383.80,383.80,384.47,53927,0,2569418,0
Ok,09-09-2025 14:55:00,1757409900,384.45,384.70,383.65,384.05,383.67,39455,0,2515491,0
Ok,09-09-2025 14:50:00,1757409600,383.75,384.00,383.50,383.75,384.10,22916,0,2476036,0
Ok,09-09-2025 14:45:00,1757409300,383.65,383.85,383.50,383.55,383.03,10329,0,2453120,0
Ok,09-09-2025 14:40:00,1757409000,383.75,384.25,383.65,383.75,384.25,58502,0,2442791,0
Ok,09-09-2025 14:35:00,1757408700,384.00,384.00,383.40,383.60,383.00,17519,0,2384289,0
Ok,09-09-2025 14:30:00,1757408400,384.00,384.30,383.75,383.80,384.75,13365,0,2366770,0
Ok,09-09-2025 14:25:00,1757408100,383.95,384.40,383.90,383.90,384.30,17681,0,2353405,0
Ok,09-09-2025 14:20:00,1757407800,384.10,384.40,383.95,384.10,382.98,10699,0,2335724,0
Ok,09-09-2025 14:15:00,1757407500,384.00,384.70,383.90,384.25,384.46,60775,0,2325025,0
Ok,09-09-2025 14:10:00,1757407200,384.00,384.25,383.95,384.20,383.94,22325,0,2264250,0
Ok,09-09-2025 14:05:00,1757406900,383.55,384.25,383.40,384.10,383.86,47150,0,2241925,0
Ok,09-09-2025 14:00:00,1757406600,383.35,383.60,383.10,383.40,384.16,17376,0,2194775,0
Ok,09-09-2025 13:55:00,1757406300,383.55,383.60,383.10,383.15,382.90,19558,0,2177399,0
Ok,09-09-2025 13:50:00,1757406000,383.40,383.70,383.25,383.40,383.89,21398,0,2157841,0
Ok,09-09-2025 13:45:00,1757405700,383.35,384.00,383.05,383.70,383.74,242133,0,2136443,0
Ok,09-09-2025 13:40:00,1757405400,383.25,383.40,383.05,383.20,382.78,21848,0,1894310,0
Ok,09-09-2025 13:35:00,1757405100,383.15,383.40,383.00,383.40,383.41,28795,0,1872462,0
Ok,09-09-2025 13:30:00,1757404800,383.05,383.30,383.00,383.00,383.44,26678,0,1843667,0
Ok,09-09-2025 13:25:00,1757404500,382.20,383.25,382.20,383.10,382.76,45555,0,1816989,0
Ok,09-09-2025 13:20:00,1757404200,382.25,382.55,382.10,382.30,382.04,24516,0,1771434,0
Ok,09-09-2025 13:15:00,1757403900,383.05,383.10,382.15,382.35,382.77,47054,0,1746918,0
Ok,09-09-2025 13:10:00,1757403600,383.20,383.25,383.00,383.00,383.48,23310,0,1699864,0
Ok,09-09-2025 13:05:00,1757403300,383.15,383.25,383.00,383.25,382.76,18369,0,1676554,0
Ok,09-09-2025 13:00:00,1757403000,383.05,383.15,383.00,383.00,382.76,23570,0,1658185,0
Ok,09-09-2025 12:55:00,1757402700,383.05,383.10,382.90,383.00,383.01,61136,0,1634615,0
Ok,09-09-2025 12:50:00,1757402400,383.10,383.15,382.95,382.95,383.22,32119,0,1573479,0
Ok,09-09-2025 12:45:00,1757402100,382.60,383.10,382.50,383.05,382.74,57708,0,1541360,0
Ok,09-09-2025 12:40:00,1757401800,382.15,382.75,382.05,382.75,382.40,43748,0,1483652,0
Ok,09-09-2025 12:35:00,1757401500,382.20,382.45,382.05,382.30,381.46,22139,0,1439904,0
Ok,09-09-2025 12:30:00,1757401200,381.25,382.45,381.15,382.30,381.65,83992,0,1417765,0
Ok,09-09-2025 12:25:00,1757400900,381.45,381.55,381.25,381.40,381.48,19419,0,1333773,0
Ok,09-09-2025 12:20:00,1757400600,381.35,381.50,381.30,381.35,381.45,18516,0,1314354,0
Ok,09-09-2025 12:15:00,1757400300,381.45,381.75,381.35,381.40,381.48,36222,0,1295838,0
Ok,09-09-2025 12:10:00,1757400000,381.90,381.90,381.30,381.40,381.44,87501,0,1259616,0
Ok,09-09-2025 12:05:00,1757399700,382.20,382.40,381.75,381.80,382.16,26658,0,1172115,0
Ok,09-09-2025 12:00:00,1757399400,383.25,383.30,382.15,382.25,382.80,44550,0,1145457,0
Ok,09-09-2025 11:55:00,1757399100,383.05,383.40,383.00,383.05,383.48,25033,0,1100907,0
Ok,09-09-2025 11:50:00,1757398800,383.00,383.40,383.00,383.25,383.05,28467,0,1075874,0
Ok,09-09-2025 11:45:00,1757398500,383.10,383.20,382.70,383.10,383.05,26990,0,1047407,0
Ok,09-09-2025 11:40:00,1757398200,383.10,383.50,382.60,383.00,383.04,53531,0,1020417,0
Ok,09-09-2025 11:35:00,1757397900,383.05,383.15,382.95,383.00,383.05,19158,0,966886,0
Ok,09-09-2025 11:30:00,1757397600,383.10,383.25,382.55,383.10,383.05,79351,0,947728,0
Ok,09-09-2025 11:25:00,1757397300,383.10,383.25,383.00,383.00,383.05,19376,0,868377,0
Ok,09-09-2025 11:20:00,1757397000,383.15,383.40,383.00,383.00,383.05,28437,0,849001,0
Ok,09-09-2025 11:15:00,1757396700,383.25,383.25,383.00,383.00,383.05,21645,0,820564,0
Ok,09-09-2025 11:10:00,1757396400,383.00,383.40,383.00,383.15,383.05,21565,0,798919,0
Ok,09-09-2025 11:05:00,1757396100,382.60,383.45,382.25,383.15,382.65,37519,0,777354,0
Ok,09-09-2025 11:00:00,1757395800,382.70,382.95,382.45,382.45,382.81,27997,0,739835,0
Ok,09-09-2025 10:55:00,1757395500,382.30,382.50,382.20,382.50,382.16,29849,0,711838,0
Ok,09-09-2025 10:50:00,1757395200,382.20,382.45,382.00,382.20,382.37,26406,0,681989,0
Ok,09-09-2025 10:45:00,1757394900,382.05,382.25,381.85,382.00,381.96,21488,0,655583,0
Ok,09-09-2025 10:40:00,1757394600,382.10,382.25,382.00,382.10,381.96,20053,0,634095,0
Ok,09-09-2025 10:35:00,1757394300,381.90,382.30,381.75,382.20,382.06,20497,0,614042,0
Ok,09-09-2025 10:30:00,1757394000,382.20,382.25,381.70,382.00,381.86,39515,0,593545,0
Ok,09-09-2025 10:25:00,1757393700,382.40,382.40,382.00,382.10,382.03,20145,0,554030,0
Ok,09-09-2025 10:20:00,1757393400,382.45,382.60,382.00,382.25,382.28,35285,0,533885,0
Ok,09-09-2025 10:15:00,1757393100,383.00,383.00,382.50,382.50,382.60,31459,0,498600,0
Ok,09-09-2025 10:10:00,1757392800,383.05,383.50,382.70,382.85,383.09,37284,0,467141,0
Ok,09-09-2025 10:05:00,1757392500,383.05,383.45,383.00,383.25,382.97,49056,0,429857,0
Ok,09-09-2025 10:00:00,1757392200,383.75,383.80,383.10,383.15,383.41,26866,0,380801,0
Ok,09-09-2025 09:55:00,1757391900,383.75,383.85,383.45,383.70,383.54,21994,0,353935,0
Ok,09-09-2025 09:50:00,1757391600,383.55,383.80,383.50,383.70,383.71,19298,0,331941,0
Ok,09-09-2025 09:45:00,1757391300,383.45,383.75,383.20,383.60,383.37,25850,0,312643,0
Ok,09-09-2025 09:40:00,1757391000,383.40,384.10,383.35,383.50,383.73,41909,0,286793,0
Ok,09-09-2025 09:35:00,1757390700,382.90,383.90,382.75,383.35,383.35,23073,0,244884,0
Ok,09-09-2025 09:30:00,1757390400,383.30,383.40,382.60,382.95,383.15,38028,0,221811,0
Ok,09-09-2025 09:25:00,1757390100,383.35,383.55,383.00,383.45,383.18,52917,0,183783,0
Ok,09-09-2025 09:20:00,1757389800,383.55,384.15,383.50,383.50,383.81,48863,0,130866,0
Ok,09-09-2025 09:15:00,1757389500,384.25,385.40,383.55,383.75,384.51,74275,0,82003,0
