stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,389.95,391.05,389.35,390.00,390.36,11222,0,637718,0
Ok,10-09-2025 15:20:00,1757497800,389.40,390.25,389.10,390.00,389.23,10878,0,626496,0
Ok,10-09-2025 15:15:00,1757497500,388.65,389.65,388.25,389.20,388.98,15355,0,615618,0
Ok,10-09-2025 15:10:00,1757497200,388.50,388.70,387.75,388.50,388.09,26601,0,600263,0
Ok,10-09-2025 15:05:00,1757496900,388.90,388.90,388.35,388.45,388.06,5253,0,573662,0
Ok,10-09-2025 15:00:00,1757496600,388.85,389.15,388.50,388.75,389.03,6634,0,568409,0
Ok,10-09-2025 14:55:00,1757496300,389.25,389.50,388.00,388.50,388.58,22223,0,561775,0
Ok,10-09-2025 14:50:00,1757496000,389.30,389.55,389.20,389.55,389.25,1595,0,539552,0
Ok,10-09-2025 14:45:00,1757495700,389.55,389.80,389.25,389.50,388.21,1215,0,537957,0
Ok,10-09-2025 14:40:00,1757495400,390.05,390.05,389.30,389.30,390.87,3019,0,536742,0
Ok,10-09-2025 14:35:00,1757495100,389.45,390.05,389.45,389.75,388.03,1153,0,533723,0
Ok,10-09-2025 14:30:00,1757494800,389.45,389.80,389.30,389.80,387.48,2046,0,532570,0
Ok,10-09-2025 14:25:00,1757494500,389.70,389.90,389.55,389.55,392.69,501,0,530524,0
Ok,10-09-2025 14:20:00,1757494200,389.80,390.05,389.55,390.00,392.69,867,0,530023,0
Ok,10-09-2025 14:15:00,1757493900,390.65,390.65,389.50,389.55,389.93,1920,0,529156,0
Ok,10-09-2025 14:10:00,1757493600,390.35,390.45,389.35,390.15,389.97,5748,0,527236,0
Ok,10-09-2025 14:05:00,1757493300,389.80,390.45,389.60,390.05,391.21,3425,0,521488,0
Ok,10-09-2025 14:00:00,1757493000,389.90,390.35,389.80,389.85,387.96,2163,0,518063,0
Ok,10-09-2025 13:55:00,1757492700,389.95,390.45,389.70,389.80,390.73,5056,0,515900,0
Ok,10-09-2025 13:50:00,1757492400,389.25,390.70,389.25,390.45,389.84,6879,0,510844,0
Ok,10-09-2025 13:45:00,1757492100,390.00,390.30,389.20,389.55,390.44,2112,0,503965,0
Ok,10-09-2025 13:40:00,1757491800,389.95,390.20,389.65,389.75,389.92,3436,0,501853,0
Ok,10-09-2025 13:35:00,1757491500,390.50,390.50,389.85,390.00,385.67,1386,0,498417,0
Ok,10-09-2025 13:30:00,1757491200,389.95,390.40,389.85,390.15,392.87,2576,0,497031,0
Ok,10-09-2025 13:25:00,1757490900,389.90,389.95,389.75,389.80,389.69,1553,0,494455,0
Ok,10-09-2025 13:20:00,1757490600,389.60,389.95,389.45,389.95,389.47,2879,0,492902,0
Ok,10-09-2025 13:15:00,1757490300,389.65,389.90,389.30,389.75,389.99,3347,0,490023,0
Ok,10-09-2025 13:10:00,1757490000,390.45,390.45,389.30,389.40,389.76,14949,0,486676,0
Ok,10-09-2025 13:05:00,1757489700,390.30,390.60,390.15,390.50,384.19,534,0,471727,0
Ok,10-09-2025 13:00:00,1757489400,390.60,390.65,390.10,390.60,390.37,3526,0,471193,0
Ok,10-09-2025 12:55:00,1757489100,390.30,390.75,390.30,390.40,393.05,1128,0,467667,0
Ok,10-09-2025 12:50:00,1757488800,390.50,390.75,390.30,390.35,389.98,1517,0,466539,0
Ok,10-09-2025 12:45:00,1757488500,390.40,391.00,390.30,390.50,389.94,2969,0,465022,0
Ok,10-09-2025 12:40:00,1757488200,390.70,390.85,390.25,390.75,393.08,1223,0,462053,0
Ok,10-09-2025 12:35:00,1757487900,391.05,391.25,390.50,390.65,389.92,4345,0,460830,0
Ok,10-09-2025 12:30:00,1757487600,390.95,391.35,390.95,391.00,393.11,963,0,456485,0
Ok,10-09-2025 12:25:00,1757487300,391.45,391.60,391.10,391.30,391.60,3010,0,455522,0
Ok,10-09-2025 12:20:00,1757487000,391.60,391.80,391.15,391.50,391.33,5013,0,452512,0
Ok,10-09-2025 12:15:00,1757486700,391.35,391.85,391.10,391.80,391.72,3139,0,447499,0
Ok,10-09-2025 12:10:00,1757486400,391.20,391.50,391.00,391.20,390.27,3078,0,444360,0
Ok,10-09-2025 12:05:00,1757486100,390.50,391.10,390.50,390.85,391.71,3019,0,441282,0
Ok,10-09-2025 12:00:00,1757485800,392.45,392.45,390.15,390.20,390.79,30841,0,438263,0
Ok,10-09-2025 11:55:00,1757485500,392.00,392.60,392.00,392.30,392.03,3045,0,407422,0
Ok,10-09-2025 11:50:00,1757485200,392.50,392.70,392.25,392.55,392.62,5394,0,404377,0
Ok,10-09-2025 11:45:00,1757484900,393.95,394.30,392.25,392.80,393.38,9830,0,398983,0
Ok,10-09-2025 11:40:00,1757484600,395.10,395.25,394.00,394.00,394.76,18705,0,389153,0
Ok,10-09-2025 11:35:00,1757484300,395.00,395.40,394.90,395.05,394.95,6603,0,370448,0
Ok,10-09-2025 11:30:00,1757484000,395.05,395.45,394.80,395.25,395.16,9398,0,363845,0
Ok,10-09-2025 11:25:00,1757483700,395.20,395.25,395.00,395.00,394.61,5033,0,354447,0
Ok,10-09-2025 11:20:00,1757483400,395.20,395.25,395.00,395.10,395.29,4954,0,349414,0
Ok,10-09-2025 11:15:00,1757483100,396.00,396.00,395.00,395.00,395.22,16052,0,344460,0
Ok,10-09-2025 11:10:00,1757482800,395.45,395.80,395.00,395.80,395.27,11544,0,328408,0
Ok,10-09-2025 11:05:00,1757482500,393.95,396.35,393.95,395.30,395.32,37156,0,316864,0
Ok,10-09-2025 11:00:00,1757482200,394.10,394.45,393.75,394.20,394.01,4159,0,279708,0
Ok,10-09-2025 10:55:00,1757481900,394.05,394.45,393.80,393.80,394.65,2744,0,275549,0
Ok,10-09-2025 10:50:00,1757481600,394.05,394.40,393.60,394.20,393.57,2923,0,272805,0
Ok,10-09-2025 10:45:00,1757481300,394.00,394.75,393.80,394.10,394.34,17719,0,269882,0
Ok,10-09-2025 10:40:00,1757481000,393.35,394.35,393.00,394.20,393.58,11320,0,252163,0
Ok,10-09-2025 10:35:00,1757480700,393.10,393.90,393.00,393.00,393.69,11218,0,240843,0
Ok,10-09-2025 10:30:00,1757480400,392.70,393.50,392.50,393.40,392.64,9304,0,229625,0
Ok,10-09-2025 10:25:00,1757480100,392.85,393.10,392.55,392.55,393.02,3433,0,220321,0
Ok,10-09-2025 10:20:00,1757479800,393.25,393.25,392.70,393.00,392.39,1363,0,216888,0
Ok,10-09-2025 10:15:00,1757479500,393.35,393.45,392.65,393.05,393.36,6423,0,215525,0
Ok,10-09-2025 10:10:00,1757479200,393.15,393.45,392.65,393.00,392.83,4256,0,209102,0
Ok,10-09-2025 10:05:00,1757478900,393.65,393.80,393.05,393.50,393.36,5825,0,204846,0
Ok,10-09-2025 10:00:00,1757478600,393.30,393.95,393.25,393.75,393.50,6444,0,199021,0
Ok,10-09-2025 09:55:00,1757478300,393.25,393.60,392.60,393.25,393.00,19002,0,192577,0
Ok,10-09-2025 09:50:00,1757478000,394.30,394.45,393.05,393.20,393.85,11716,0,173575,0
Ok,10-09-2025 09:45:00,1757477700,394.40,394.50,393.65,394.45,394.03,10770,0,161859,0
Ok,10-09-2025 09:40:00,1757477400,393.75,394.50,393.60,394.35,394.09,13960,0,151089,0
Ok,10-09-2025 09:35:00,1757477100,392.95,394.85,392.70,393.65,393.54,27578,0,137129,0
Ok,10-09-2025 09:30:00,1757476800,392.45,393.00,392.15,392.55,392.64,15001,0,109551,0
Ok,10-09-2025 09:25:00,1757476500,391.85,392.30,391.85,392.30,391.73,28477,0,94550,0
Ok,10-09-2025 09:20:00,1757476200,389.60,392.35,388.80,392.20,390.58,19267,0,66073,0
Ok,10-09-2025 09:15:00,1757475900,389.25,392.40,389.25,389.40,390.85,45297,0,46806,0
