stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,554.35,556.10,554.15,555.10,555.93,5618,0,246976,0
Ok,10-09-2025 15:20:00,1757497800,555.65,555.65,554.00,554.95,554.26,4550,0,241358,0
Ok,10-09-2025 15:15:00,1757497500,555.75,557.40,554.60,555.80,555.85,6509,0,236808,0
Ok,10-09-2025 15:10:00,1757497200,555.80,556.50,555.55,555.95,555.83,4198,0,230299,0
Ok,10-09-2025 15:05:00,1757496900,556.00,556.50,552.65,555.60,555.49,10451,0,226101,0
Ok,10-09-2025 15:00:00,1757496600,554.75,556.40,554.45,556.20,555.47,13617,0,215650,0
Ok,10-09-2025 14:55:00,1757496300,555.00,555.35,553.90,554.90,555.14,3443,0,202033,0
Ok,10-09-2025 14:50:00,1757496000,554.95,555.10,554.40,555.10,553.39,935,0,198590,0
Ok,10-09-2025 14:45:00,1757495700,553.75,555.15,553.75,554.40,554.38,3895,0,197655,0
Ok,10-09-2025 14:40:00,1757495400,553.50,554.55,553.05,554.40,554.31,2026,0,193760,0
Ok,10-09-2025 14:35:00,1757495100,553.15,554.30,552.80,554.00,553.36,4318,0,191734,0
Ok,10-09-2025 14:30:00,1757494800,553.40,553.55,552.80,553.40,553.36,860,0,187416,0
Ok,10-09-2025 14:25:00,1757494500,553.15,553.60,552.05,552.80,552.31,1775,0,186556,0
Ok,10-09-2025 14:20:00,1757494200,553.60,553.80,552.30,553.05,553.37,2374,0,184781,0
Ok,10-09-2025 14:15:00,1757493900,552.95,554.25,552.95,553.65,553.90,3323,0,182407,0
Ok,10-09-2025 14:10:00,1757493600,553.70,554.00,551.95,552.90,552.91,3957,0,179084,0
Ok,10-09-2025 14:05:00,1757493300,553.40,553.85,552.30,553.65,553.37,2769,0,175127,0
Ok,10-09-2025 14:00:00,1757493000,553.20,553.70,552.65,553.60,553.37,1356,0,172358,0
Ok,10-09-2025 13:55:00,1757492700,552.05,553.55,552.05,553.15,551.60,4734,0,171002,0
Ok,10-09-2025 13:50:00,1757492400,554.35,554.45,552.85,552.90,553.42,1610,0,166268,0
Ok,10-09-2025 13:45:00,1757492100,554.65,554.90,554.20,554.40,557.26,427,0,164658,0
Ok,10-09-2025 13:40:00,1757491800,554.45,554.95,553.90,554.75,553.41,848,0,164231,0
Ok,10-09-2025 13:35:00,1757491500,554.50,554.65,553.95,554.65,553.41,456,0,163383,0
Ok,10-09-2025 13:30:00,1757491200,555.10,555.25,553.70,554.40,554.37,1677,0,162927,0
Ok,10-09-2025 13:25:00,1757490900,554.75,555.45,554.30,555.45,555.59,2168,0,161250,0
Ok,10-09-2025 13:20:00,1757490600,553.85,555.20,553.30,555.00,554.29,3359,0,159082,0
Ok,10-09-2025 13:15:00,1757490300,554.95,555.00,552.85,553.45,553.58,6274,0,155723,0
Ok,10-09-2025 13:10:00,1757490000,554.95,555.45,554.35,554.90,554.99,2655,0,149449,0
Ok,10-09-2025 13:05:00,1757489700,554.50,555.00,554.05,554.90,554.20,1620,0,146794,0
Ok,10-09-2025 13:00:00,1757489400,554.90,555.05,553.80,554.65,554.47,3596,0,145174,0
Ok,10-09-2025 12:55:00,1757489100,553.80,555.45,553.75,554.70,555.05,3862,0,141578,0
Ok,10-09-2025 12:50:00,1757488800,554.75,554.75,553.90,553.90,553.89,2004,0,137716,0
Ok,10-09-2025 12:45:00,1757488500,554.30,555.00,553.95,554.85,554.43,2169,0,135712,0
Ok,10-09-2025 12:40:00,1757488200,554.90,555.15,554.10,554.35,554.68,3457,0,133543,0
Ok,10-09-2025 12:35:00,1757487900,553.85,554.90,553.85,554.85,555.68,1017,0,130086,0
Ok,10-09-2025 12:30:00,1757487600,552.80,554.15,552.80,554.00,553.13,1420,0,129069,0
Ok,10-09-2025 12:25:00,1757487300,552.25,553.45,552.00,553.20,552.33,3139,0,127649,0
Ok,10-09-2025 12:20:00,1757487000,552.20,552.50,552.20,552.50,553.15,423,0,124510,0
Ok,10-09-2025 12:15:00,1757486700,552.50,552.60,552.15,552.50,553.15,354,0,124087,0
Ok,10-09-2025 12:10:00,1757486400,552.10,553.05,552.10,552.50,551.89,979,0,123733,0
Ok,10-09-2025 12:05:00,1757486100,552.40,552.50,551.50,551.90,553.16,850,0,122754,0
Ok,10-09-2025 12:00:00,1757485800,552.85,553.00,551.80,552.35,550.74,503,0,121904,0
Ok,10-09-2025 11:55:00,1757485500,553.40,553.60,551.70,552.80,553.17,1112,0,121401,0
Ok,10-09-2025 11:50:00,1757485200,553.00,553.85,552.85,553.35,553.80,1858,0,120289,0
Ok,10-09-2025 11:45:00,1757484900,553.00,554.05,552.90,553.40,553.16,1788,0,118431,0
Ok,10-09-2025 11:40:00,1757484600,553.50,553.80,552.95,553.55,554.59,806,0,116643,0
Ok,10-09-2025 11:35:00,1757484300,552.95,553.85,552.55,553.65,553.15,2865,0,115837,0
Ok,10-09-2025 11:30:00,1757484000,553.40,553.50,552.50,553.10,553.15,646,0,112972,0
Ok,10-09-2025 11:25:00,1757483700,553.30,553.50,553.00,553.50,553.15,678,0,112326,0
Ok,10-09-2025 11:20:00,1757483400,552.55,553.50,552.50,553.40,553.15,1213,0,111648,0
Ok,10-09-2025 11:15:00,1757483100,552.60,553.20,552.50,552.75,552.26,1239,0,110435,0
Ok,10-09-2025 11:10:00,1757482800,552.80,553.20,552.50,553.15,553.16,2975,0,109196,0
Ok,10-09-2025 11:05:00,1757482500,552.60,553.15,552.10,552.30,552.29,1213,0,106221,0
Ok,10-09-2025 11:00:00,1757482200,552.95,553.00,551.90,552.75,552.32,3610,0,105008,0
Ok,10-09-2025 10:55:00,1757481900,552.70,553.85,551.95,552.65,552.60,3292,0,101398,0
Ok,10-09-2025 10:50:00,1757481600,552.25,553.50,551.50,552.20,552.19,8816,0,98106,0
Ok,10-09-2025 10:45:00,1757481300,552.40,552.40,551.50,552.30,551.77,1701,0,89290,0
Ok,10-09-2025 10:40:00,1757481000,552.95,553.05,552.00,552.45,553.35,789,0,87589,0
Ok,10-09-2025 10:35:00,1757480700,552.75,553.45,552.40,553.00,553.02,2654,0,86800,0
Ok,10-09-2025 10:30:00,1757480400,552.45,552.90,551.75,552.65,551.99,2990,0,84146,0
Ok,10-09-2025 10:25:00,1757480100,553.05,553.15,552.20,552.50,553.41,693,0,81156,0
Ok,10-09-2025 10:20:00,1757479800,552.65,553.55,552.50,552.90,553.08,2449,0,80463,0
Ok,10-09-2025 10:15:00,1757479500,553.65,553.65,552.35,553.10,553.42,1421,0,78014,0
Ok,10-09-2025 10:10:00,1757479200,551.80,553.70,550.90,553.70,551.94,3479,0,76593,0
Ok,10-09-2025 10:05:00,1757478900,551.05,552.30,550.90,551.80,551.89,1791,0,73114,0
Ok,10-09-2025 10:00:00,1757478600,551.05,551.90,550.90,550.90,551.97,909,0,71323,0
Ok,10-09-2025 09:55:00,1757478300,550.80,551.85,550.50,551.00,551.13,1149,0,70414,0
Ok,10-09-2025 09:50:00,1757478000,549.80,550.95,548.55,550.30,549.70,4038,0,69265,0
Ok,10-09-2025 09:45:00,1757477700,551.05,551.40,549.70,550.00,550.76,1048,0,65227,0
Ok,10-09-2025 09:40:00,1757477400,549.25,551.65,549.25,551.00,550.11,3549,0,64179,0
Ok,10-09-2025 09:35:00,1757477100,552.25,552.25,548.70,549.10,550.16,6352,0,60630,0
Ok,10-09-2025 09:30:00,1757476800,547.30,550.95,547.05,550.95,548.45,3023,0,54278,0
Ok,10-09-2025 09:25:00,1757476500,546.70,549.70,545.30,547.80,547.29,5524,0,51255,0
Ok,10-09-2025 09:20:00,1757476200,552.55,553.70,547.00,547.00,550.23,8884,0,45731,0
Ok,10-09-2025 09:15:00,1757475900,556.25,560.80,552.75,553.70,557.22,36052,0,36847,0
