stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,621.50,625.00,620.00,623.25,621.66,8771,0,124945,0
Ok,10-09-2025 15:20:00,1757497800,618.95,622.00,618.45,621.20,620.32,5279,0,116174,0
Ok,10-09-2025 15:15:00,1757497500,619.05,619.30,618.35,618.35,618.54,2228,0,110895,0
Ok,10-09-2025 15:10:00,1757497200,618.70,619.55,618.25,619.40,618.63,2213,0,108667,0
Ok,10-09-2025 15:05:00,1757496900,618.50,619.00,618.05,618.70,618.33,1901,0,106454,0
Ok,10-09-2025 15:00:00,1757496600,617.80,618.90,617.80,618.00,618.05,1339,0,104553,0
Ok,10-09-2025 14:55:00,1757496300,618.85,618.85,618.00,618.00,618.31,716,0,103214,0
Ok,10-09-2025 14:50:00,1757496000,618.05,619.00,617.30,619.00,618.66,802,0,102498,0
Ok,10-09-2025 14:45:00,1757495700,619.50,619.50,618.05,618.25,619.07,942,0,101696,0
Ok,10-09-2025 14:40:00,1757495400,619.85,619.85,619.00,619.50,619.29,516,0,100754,0
Ok,10-09-2025 14:35:00,1757495100,619.45,619.95,619.40,619.95,619.26,503,0,100238,0
Ok,10-09-2025 14:30:00,1757494800,619.90,619.90,619.00,619.00,619.04,893,0,99735,0
Ok,10-09-2025 14:25:00,1757494500,619.25,619.95,619.00,619.10,619.64,603,0,98842,0
Ok,10-09-2025 14:20:00,1757494200,619.00,619.65,618.25,619.65,617.24,242,0,98239,0
Ok,10-09-2025 14:15:00,1757493900,620.15,620.15,619.35,619.70,620.08,803,0,97997,0
Ok,10-09-2025 14:10:00,1757493600,619.10,620.50,618.55,620.50,619.55,1098,0,97194,0
Ok,10-09-2025 14:05:00,1757493300,619.00,620.25,618.45,619.85,618.98,1218,0,96096,0
Ok,10-09-2025 14:00:00,1757493000,618.05,618.45,617.40,618.45,617.76,526,0,94878,0
Ok,10-09-2025 13:55:00,1757492700,616.00,618.55,616.00,617.40,617.80,1303,0,94352,0
Ok,10-09-2025 13:50:00,1757492400,617.75,617.75,616.80,616.80,617.52,711,0,93049,0
Ok,10-09-2025 13:45:00,1757492100,618.45,618.45,617.30,617.60,617.96,1047,0,92338,0
Ok,10-09-2025 13:40:00,1757491800,615.10,617.55,615.00,616.80,616.70,943,0,91291,0
Ok,10-09-2025 13:35:00,1757491500,615.85,615.95,615.10,615.10,614.87,672,0,90348,0
Ok,10-09-2025 13:30:00,1757491200,615.70,616.05,615.70,615.75,621.60,60,0,89676,0
Ok,10-09-2025 13:25:00,1757490900,616.00,616.30,615.85,616.00,615.69,753,0,89616,0
Ok,10-09-2025 13:20:00,1757490600,615.50,615.75,615.50,615.70,614.12,118,0,88863,0
Ok,10-09-2025 13:15:00,1757490300,616.85,616.85,614.85,615.80,615.91,1371,0,88745,0
Ok,10-09-2025 13:10:00,1757490000,617.10,618.45,616.65,616.65,617.44,1201,0,87374,0
Ok,10-09-2025 13:05:00,1757489700,617.50,617.50,616.55,616.55,616.83,173,0,86173,0
Ok,10-09-2025 13:00:00,1757489400,617.55,617.70,616.60,617.05,617.40,773,0,86000,0
Ok,10-09-2025 12:55:00,1757489100,618.25,618.25,617.85,617.85,616.96,174,0,85227,0
Ok,10-09-2025 12:50:00,1757488800,618.65,618.65,618.00,618.25,619.39,343,0,85053,0
Ok,10-09-2025 12:45:00,1757488500,620.00,620.10,618.40,618.40,618.65,3765,0,84710,0
Ok,10-09-2025 12:40:00,1757488200,620.80,620.80,619.35,619.35,620.73,624,0,80945,0
Ok,10-09-2025 12:35:00,1757487900,620.35,620.80,620.05,620.80,620.22,1305,0,80321,0
Ok,10-09-2025 12:30:00,1757487600,619.30,620.00,619.30,620.00,620.28,878,0,79016,0
Ok,10-09-2025 12:25:00,1757487300,619.85,619.85,619.00,619.30,617.12,157,0,78138,0
Ok,10-09-2025 12:20:00,1757487000,620.05,620.05,619.00,619.85,618.93,490,0,77981,0
Ok,10-09-2025 12:15:00,1757486700,619.25,620.40,618.95,619.65,620.82,595,0,77491,0
Ok,10-09-2025 12:10:00,1757486400,619.45,619.60,619.10,619.15,617.59,338,0,76896,0
Ok,10-09-2025 12:05:00,1757486100,619.35,620.10,618.90,619.85,619.47,569,0,76558,0
Ok,10-09-2025 12:00:00,1757485800,619.00,620.00,618.20,620.00,618.62,1266,0,75989,0
Ok,10-09-2025 11:55:00,1757485500,620.80,620.80,619.00,619.00,621.27,777,0,74723,0
