stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,545.00,545.40,544.10,544.30,544.75,25025,0,1113858,0
Ok,10-09-2025 15:20:00,1757497800,544.70,545.00,544.60,544.95,544.91,21974,0,1088833,0
Ok,10-09-2025 15:15:00,1757497500,545.40,545.55,544.30,544.55,544.95,25733,0,1066859,0
Ok,10-09-2025 15:10:00,1757497200,545.05,546.00,545.05,545.75,545.84,24057,0,1041126,0
Ok,10-09-2025 15:05:00,1757496900,545.45,545.45,544.75,545.30,545.33,11943,0,1017069,0
Ok,10-09-2025 15:00:00,1757496600,545.20,546.00,544.50,545.30,544.67,10542,0,1005126,0
Ok,10-09-2025 14:55:00,1757496300,544.80,545.60,544.35,545.00,545.79,12972,0,994584,0
Ok,10-09-2025 14:50:00,1757496000,544.50,545.00,544.50,545.00,544.49,5540,0,981612,0
Ok,10-09-2025 14:45:00,1757495700,544.80,545.05,544.30,544.75,544.62,15135,0,976072,0
Ok,10-09-2025 14:40:00,1757495400,545.25,545.55,544.45,544.60,544.60,4979,0,960937,0
Ok,10-09-2025 14:35:00,1757495100,544.85,545.60,544.60,545.55,544.62,4893,0,955958,0
Ok,10-09-2025 14:30:00,1757494800,544.25,544.85,544.00,544.55,544.29,5825,0,951065,0
Ok,10-09-2025 14:25:00,1757494500,543.65,544.35,543.65,544.00,542.66,2910,0,945240,0
Ok,10-09-2025 14:20:00,1757494200,544.45,544.45,543.60,543.85,544.46,5197,0,942330,0
Ok,10-09-2025 14:15:00,1757493900,544.15,544.55,544.05,544.30,542.65,3415,0,937133,0
Ok,10-09-2025 14:10:00,1757493600,544.20,544.20,544.00,544.20,544.82,4263,0,933718,0
Ok,10-09-2025 14:05:00,1757493300,544.30,544.50,544.00,544.00,545.46,3283,0,929455,0
Ok,10-09-2025 14:00:00,1757493000,544.50,544.90,544.25,544.35,542.63,4149,0,926172,0
Ok,10-09-2025 13:55:00,1757492700,545.45,545.45,544.35,544.45,545.04,7554,0,922023,0
Ok,10-09-2025 13:50:00,1757492400,545.25,545.45,544.45,545.40,545.42,12786,0,914469,0
Ok,10-09-2025 13:45:00,1757492100,545.95,546.00,544.35,545.15,545.66,14322,0,901683,0
Ok,10-09-2025 13:40:00,1757491800,547.05,547.05,545.80,545.85,546.66,10576,0,887361,0
Ok,10-09-2025 13:35:00,1757491500,547.00,547.05,547.00,547.00,546.00,4928,0,876785,0
Ok,10-09-2025 13:30:00,1757491200,547.35,547.40,547.00,547.00,547.08,12969,0,871857,0
Ok,10-09-2025 13:25:00,1757490900,547.60,547.60,547.00,547.20,547.69,6412,0,858888,0
Ok,10-09-2025 13:20:00,1757490600,546.85,548.00,546.80,547.35,547.25,16976,0,852476,0
Ok,10-09-2025 13:15:00,1757490300,546.05,547.15,545.60,546.80,546.63,11237,0,835500,0
Ok,10-09-2025 13:10:00,1757490000,546.55,546.80,546.20,546.20,546.36,5862,0,824263,0
