stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,547.35,547.95,547.10,547.40,547.62,42384,0,874868,0
Ok,10-09-2025 15:20:00,1757497800,547.95,548.00,547.65,547.65,547.96,39845,0,832484,0
Ok,10-09-2025 15:15:00,1757497500,547.70,548.00,547.10,548.00,547.66,24300,0,792639,0
Ok,10-09-2025 15:10:00,1757497200,546.95,547.80,546.95,547.65,547.37,38147,0,768339,0
Ok,10-09-2025 15:05:00,1757496900,546.75,547.00,546.70,547.00,547.10,12615,0,730192,0
Ok,10-09-2025 15:00:00,1757496600,546.95,547.00,546.55,546.80,546.60,21349,0,717577,0
Ok,10-09-2025 14:55:00,1757496300,546.70,546.90,546.40,546.75,546.69,8967,0,696228,0
Ok,10-09-2025 14:50:00,1757496000,546.55,546.80,546.30,546.65,548.04,3224,0,687261,0
Ok,10-09-2025 14:45:00,1757495700,546.30,546.75,546.05,546.50,545.91,5533,0,684037,0
Ok,10-09-2025 14:40:00,1757495400,546.35,546.65,546.05,546.05,545.91,4654,0,678504,0
Ok,10-09-2025 14:35:00,1757495100,546.40,546.75,546.20,546.65,548.03,3156,0,673850,0
Ok,10-09-2025 14:30:00,1757494800,546.30,546.55,546.00,546.20,545.90,7891,0,670694,0
Ok,10-09-2025 14:25:00,1757494500,546.10,546.30,546.00,546.15,545.90,3580,0,662803,0
Ok,10-09-2025 14:20:00,1757494200,545.95,546.10,545.95,546.00,545.90,9141,0,659223,0
Ok,10-09-2025 14:15:00,1757493900,546.65,546.65,546.00,546.00,545.90,3808,0,650082,0
Ok,10-09-2025 14:10:00,1757493600,546.55,546.75,546.55,546.60,552.31,1006,0,646274,0
Ok,10-09-2025 14:05:00,1757493300,546.10,546.90,546.05,546.60,546.12,26162,0,645268,0
Ok,10-09-2025 14:00:00,1757493000,546.20,546.20,546.10,546.20,548.73,2161,0,619106,0
Ok,10-09-2025 13:55:00,1757492700,546.05,546.20,546.05,546.10,545.87,1949,0,616945,0
Ok,10-09-2025 13:50:00,1757492400,546.15,546.20,546.00,546.00,545.87,2173,0,614996,0
Ok,10-09-2025 13:45:00,1757492100,546.00,546.20,546.00,546.05,545.87,4641,0,612823,0
Ok,10-09-2025 13:40:00,1757491800,546.05,546.10,546.00,546.05,545.87,16121,0,608182,0
Ok,10-09-2025 13:35:00,1757491500,546.05,546.05,546.00,546.00,545.87,3034,0,592061,0
Ok,10-09-2025 13:30:00,1757491200,546.00,546.05,545.60,546.00,546.05,57807,0,589027,0
Ok,10-09-2025 13:25:00,1757490900,546.15,546.25,546.00,546.20,545.85,1399,0,531220,0
Ok,10-09-2025 13:20:00,1757490600,546.00,546.10,545.60,546.10,545.85,10992,0,529821,0
Ok,10-09-2025 13:15:00,1757490300,546.05,546.25,545.90,546.05,545.85,9397,0,518829,0
Ok,10-09-2025 13:10:00,1757490000,546.05,546.10,546.00,546.10,545.85,3610,0,509432,0
Ok,10-09-2025 13:05:00,1757489700,546.05,546.10,545.95,546.00,546.43,8433,0,505822,0
Ok,10-09-2025 13:00:00,1757489400,546.00,546.20,546.00,546.00,545.84,1562,0,497389,0
Ok,10-09-2025 12:55:00,1757489100,546.20,546.30,546.00,546.20,545.84,2723,0,495827,0
Ok,10-09-2025 12:50:00,1757488800,546.05,546.05,545.85,546.00,545.84,3888,0,493104,0
Ok,10-09-2025 12:45:00,1757488500,546.20,546.35,546.00,546.00,545.84,6647,0,489216,0
Ok,10-09-2025 12:40:00,1757488200,546.05,546.05,545.80,546.05,546.36,9016,0,482569,0
Ok,10-09-2025 12:35:00,1757487900,546.35,546.35,546.00,546.00,545.83,12921,0,473553,0
Ok,10-09-2025 12:30:00,1757487600,546.35,546.70,546.25,546.30,545.83,1577,0,460632,0
Ok,10-09-2025 12:25:00,1757487300,546.50,546.85,546.20,546.50,546.75,4909,0,459055,0
Ok,10-09-2025 12:20:00,1757487000,546.40,546.65,546.35,546.65,545.82,1754,0,454146,0
Ok,10-09-2025 12:15:00,1757486700,546.15,546.50,546.10,546.50,545.82,1129,0,452392,0
Ok,10-09-2025 12:10:00,1757486400,546.35,546.85,546.10,546.30,547.51,2646,0,451263,0
Ok,10-09-2025 12:05:00,1757486100,546.00,546.65,546.00,546.65,546.24,10094,0,448617,0
