stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,107.94,108.50,107.80,108.00,108.05,26352,0,661039,0
Ok,10-09-2025 15:20:00,1757497800,108.05,108.20,107.81,107.89,108.93,16440,0,634687,0
Ok,10-09-2025 15:15:00,1757497500,107.60,108.02,107.40,108.00,107.45,38733,0,618247,0
Ok,10-09-2025 15:10:00,1757497200,107.87,107.98,107.60,107.67,107.54,28731,0,579514,0
Ok,10-09-2025 15:05:00,1757496900,108.10,108.18,107.77,107.79,108.40,3743,0,550783,0
Ok,10-09-2025 15:00:00,1757496600,107.77,108.50,107.77,108.05,108.16,25573,0,547040,0
Ok,10-09-2025 14:55:00,1757496300,107.77,107.89,107.60,107.89,107.67,19002,0,521467,0
Ok,10-09-2025 14:50:00,1757496000,107.90,108.23,107.68,107.93,108.03,27926,0,502465,0
Ok,10-09-2025 14:45:00,1757495700,107.60,107.85,107.35,107.85,107.50,24568,0,474539,0
Ok,10-09-2025 14:40:00,1757495400,108.11,108.17,107.60,107.70,107.75,8675,0,449971,0
Ok,10-09-2025 14:35:00,1757495100,107.80,108.50,107.75,108.20,108.15,51343,0,441296,0
Ok,10-09-2025 14:30:00,1757494800,107.25,107.77,107.25,107.75,107.54,18268,0,389953,0
Ok,10-09-2025 14:25:00,1757494500,107.30,107.40,107.25,107.30,106.48,863,0,371685,0
Ok,10-09-2025 14:20:00,1757494200,107.25,107.30,107.25,107.25,106.48,861,0,370822,0
Ok,10-09-2025 14:15:00,1757493900,107.43,107.43,107.07,107.20,107.37,8027,0,369961,0
Ok,10-09-2025 14:10:00,1757493600,107.40,107.60,107.40,107.48,108.04,2263,0,361934,0
Ok,10-09-2025 14:05:00,1757493300,107.33,107.34,107.28,107.33,106.45,1236,0,359671,0
Ok,10-09-2025 14:00:00,1757493000,107.38,107.38,107.24,107.31,110.36,912,0,358435,0
Ok,10-09-2025 13:55:00,1757492700,107.41,107.47,107.37,107.38,107.18,4726,0,357523,0
Ok,10-09-2025 13:50:00,1757492400,107.42,107.42,107.00,107.41,106.87,7788,0,352797,0
Ok,10-09-2025 13:45:00,1757492100,107.50,107.60,107.50,107.60,107.59,8535,0,345009,0
Ok,10-09-2025 13:40:00,1757491800,107.17,107.50,107.15,107.44,107.41,6445,0,336474,0
Ok,10-09-2025 13:35:00,1757491500,107.08,107.13,107.02,107.13,106.37,473,0,330029,0
