stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,367.45,367.50,367.00,367.15,367.22,22006,0,486297,0
Ok,10-09-2025 15:20:00,1757497800,367.55,367.55,367.15,367.50,367.50,9221,0,464291,0
Ok,10-09-2025 15:15:00,1757497500,367.60,367.80,367.35,367.40,367.67,12959,0,455070,0
Ok,10-09-2025 15:10:00,1757497200,367.50,367.95,367.30,367.65,367.61,6862,0,442111,0
Ok,10-09-2025 15:05:00,1757496900,368.30,368.30,367.40,367.40,368.10,3812,0,435249,0
Ok,10-09-2025 15:00:00,1757496600,367.90,368.30,367.85,368.15,368.08,21734,0,431437,0
Ok,10-09-2025 14:55:00,1757496300,368.25,368.40,367.85,367.85,367.64,5410,0,409703,0
Ok,10-09-2025 14:50:00,1757496000,368.05,368.40,368.00,368.35,368.27,22009,0,404293,0
Ok,10-09-2025 14:45:00,1757495700,368.00,368.20,367.90,368.00,367.64,4518,0,382284,0
Ok,10-09-2025 14:40:00,1757495400,367.95,368.20,367.85,367.95,368.13,8277,0,377766,0
Ok,10-09-2025 14:35:00,1757495100,367.65,368.30,367.65,368.00,367.98,14603,0,369489,0
Ok,10-09-2025 14:30:00,1757494800,367.65,368.15,367.25,367.90,367.76,12964,0,354886,0
Ok,10-09-2025 14:25:00,1757494500,367.00,367.60,367.00,367.50,367.07,8349,0,341922,0
Ok,10-09-2025 14:20:00,1757494200,367.00,367.05,366.75,367.00,368.02,2439,0,333573,0
Ok,10-09-2025 14:15:00,1757493900,367.05,367.20,366.70,367.15,367.05,15670,0,331134,0
Ok,10-09-2025 14:10:00,1757493600,367.00,367.10,366.85,367.00,366.64,2338,0,315464,0
Ok,10-09-2025 14:05:00,1757493300,367.05,367.05,366.85,367.05,366.64,507,0,313126,0
Ok,10-09-2025 14:00:00,1757493000,366.85,367.05,366.85,366.85,366.64,655,0,312619,0
Ok,10-09-2025 13:55:00,1757492700,367.05,367.10,366.80,366.80,366.64,1992,0,311964,0
Ok,10-09-2025 13:50:00,1757492400,367.00,367.05,366.90,366.95,366.64,950,0,309972,0
Ok,10-09-2025 13:45:00,1757492100,366.95,367.10,366.95,366.95,366.64,567,0,309022,0
Ok,10-09-2025 13:40:00,1757491800,366.85,367.10,366.80,366.95,367.72,2803,0,308455,0
Ok,10-09-2025 13:35:00,1757491500,367.10,367.10,366.85,367.10,366.63,1216,0,305652,0
Ok,10-09-2025 13:30:00,1757491200,366.80,367.10,366.80,367.05,366.63,2814,0,304436,0
Ok,10-09-2025 13:25:00,1757490900,367.10,367.10,367.00,367.05,366.63,1205,0,301622,0
Ok,10-09-2025 13:20:00,1757490600,367.05,367.15,366.85,366.90,367.64,2920,0,300417,0
Ok,10-09-2025 13:15:00,1757490300,367.20,367.25,367.05,367.10,366.62,4949,0,297497,0
Ok,10-09-2025 13:10:00,1757490000,367.10,367.40,367.05,367.40,367.29,4282,0,292548,0
Ok,10-09-2025 13:05:00,1757489700,367.05,367.10,367.05,367.05,366.61,1243,0,288266,0
Ok,10-09-2025 13:00:00,1757489400,367.20,367.20,367.00,367.05,366.61,767,0,287023,0
Ok,10-09-2025 12:55:00,1757489100,367.20,367.20,367.00,367.05,367.45,3341,0,286256,0
Ok,10-09-2025 12:50:00,1757488800,367.05,367.20,367.05,367.05,366.60,595,0,282915,0
Ok,10-09-2025 12:45:00,1757488500,367.05,367.20,367.00,367.20,367.48,3167,0,282320,0
Ok,10-09-2025 12:40:00,1757488200,367.05,367.15,367.05,367.15,366.59,1312,0,279153,0
Ok,10-09-2025 12:35:00,1757487900,367.00,367.20,367.00,367.05,366.59,1763,0,277841,0
Ok,10-09-2025 12:30:00,1757487600,366.65,367.30,366.65,367.15,366.59,2554,0,276078,0
Ok,10-09-2025 12:25:00,1757487300,366.75,366.80,366.50,366.65,367.85,2140,0,273524,0
Ok,10-09-2025 12:20:00,1757487000,366.75,366.90,366.75,366.75,366.58,459,0,271384,0
Ok,10-09-2025 12:15:00,1757486700,366.75,366.90,366.75,366.90,366.58,1021,0,270925,0
Ok,10-09-2025 12:10:00,1757486400,366.85,366.85,366.60,366.65,366.58,1352,0,269904,0
Ok,10-09-2025 12:05:00,1757486100,366.65,366.75,366.45,366.70,366.58,1955,0,268552,0
Ok,10-09-2025 12:00:00,1757485800,366.50,367.00,366.15,366.75,366.58,7514,0,266597,0
Ok,10-09-2025 11:55:00,1757485500,366.65,366.65,366.50,366.55,366.58,431,0,259083,0
Ok,10-09-2025 11:50:00,1757485200,366.45,366.60,366.45,366.60,366.58,754,0,258652,0
Ok,10-09-2025 11:45:00,1757484900,366.25,366.65,366.25,366.50,366.58,2541,0,257898,0
Ok,10-09-2025 11:40:00,1757484600,366.25,366.75,366.25,366.70,366.58,2166,0,255357,0
Ok,10-09-2025 11:35:00,1757484300,366.25,366.25,366.20,366.25,366.58,439,0,253191,0
Ok,10-09-2025 11:30:00,1757484000,366.35,366.60,366.15,366.25,366.58,1061,0,252752,0
Ok,10-09-2025 11:25:00,1757483700,366.40,366.80,366.00,366.80,366.58,1688,0,251691,0
Ok,10-09-2025 11:20:00,1757483400,366.50,366.50,366.00,366.00,365.73,2920,0,250003,0
Ok,10-09-2025 11:15:00,1757483100,366.65,367.00,366.55,366.55,366.59,1515,0,247083,0
Ok,10-09-2025 11:10:00,1757482800,365.90,366.85,365.80,366.70,366.01,56291,0,245568,0
Ok,10-09-2025 11:05:00,1757482500,365.65,365.95,365.50,365.50,365.85,4083,0,189277,0
Ok,10-09-2025 11:00:00,1757482200,365.85,365.95,365.35,365.85,365.41,7789,0,185194,0
Ok,10-09-2025 10:55:00,1757481900,365.95,366.00,365.65,365.80,366.29,3204,0,177405,0
Ok,10-09-2025 10:50:00,1757481600,366.75,366.75,365.50,365.85,366.08,14682,0,174201,0
Ok,10-09-2025 10:45:00,1757481300,366.85,367.00,366.80,366.95,366.92,2923,0,159519,0
Ok,10-09-2025 10:40:00,1757481000,367.55,367.80,366.85,366.85,367.20,5278,0,156596,0
Ok,10-09-2025 10:35:00,1757480700,367.70,368.20,367.60,367.80,367.76,8279,0,151318,0
Ok,10-09-2025 10:30:00,1757480400,367.00,367.75,366.95,367.45,367.51,6242,0,143039,0
Ok,10-09-2025 10:25:00,1757480100,367.05,367.35,366.70,367.05,366.83,10358,0,136797,0
Ok,10-09-2025 10:20:00,1757479800,367.45,367.45,367.00,367.20,366.83,1775,0,126439,0
Ok,10-09-2025 10:15:00,1757479500,367.55,367.75,367.10,367.20,367.67,1451,0,124664,0
Ok,10-09-2025 10:10:00,1757479200,368.05,368.05,367.40,367.75,367.57,3177,0,123213,0
Ok,10-09-2025 10:05:00,1757478900,366.95,368.20,366.90,367.75,367.84,7529,0,120036,0
Ok,10-09-2025 10:00:00,1757478600,366.70,367.15,366.70,366.90,366.73,4505,0,112507,0
Ok,10-09-2025 09:55:00,1757478300,366.75,366.75,366.20,366.50,366.25,2212,0,108002,0
Ok,10-09-2025 09:50:00,1757478000,367.00,367.35,366.00,366.80,366.51,4543,0,105790,0
Ok,10-09-2025 09:45:00,1757477700,367.65,367.70,366.90,367.45,367.13,15486,0,101247,0
Ok,10-09-2025 09:40:00,1757477400,367.00,367.85,367.00,367.80,367.37,6749,0,85761,0
Ok,10-09-2025 09:35:00,1757477100,366.75,367.50,366.60,367.30,367.02,3658,0,79012,0
Ok,10-09-2025 09:30:00,1757476800,367.15,367.35,366.50,366.60,367.13,14647,0,75354,0
Ok,10-09-2025 09:25:00,1757476500,366.30,367.40,365.70,367.35,366.32,7801,0,60707,0
Ok,10-09-2025 09:20:00,1757476200,366.40,366.40,365.40,366.15,365.77,21345,0,52906,0
Ok,10-09-2025 09:15:00,1757475900,366.85,368.40,366.20,366.30,367.03,29596,0,31561,0
