stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,339.10,340.95,338.05,340.95,339.10,4143,0,78068,0
Ok,10-09-2025 15:20:00,1757497800,340.85,340.90,339.00,339.00,340.15,5686,0,73925,0
Ok,10-09-2025 15:15:00,1757497500,340.35,340.70,340.35,340.70,339.64,1177,0,68239,0
Ok,10-09-2025 15:10:00,1757497200,340.05,340.80,340.05,340.50,341.94,1144,0,67062,0
Ok,10-09-2025 15:05:00,1757496900,340.85,340.85,340.50,340.50,339.60,689,0,65918,0
Ok,10-09-2025 15:00:00,1757496600,340.70,340.85,340.55,340.85,339.60,507,0,65229,0
Ok,10-09-2025 14:55:00,1757496300,341.25,341.30,340.60,340.60,340.76,1086,0,64722,0
Ok,10-09-2025 14:50:00,1757496000,340.75,341.25,340.75,341.25,340.52,662,0,63636,0
Ok,10-09-2025 14:45:00,1757495700,341.10,341.60,341.00,341.00,341.72,1148,0,62974,0
Ok,10-09-2025 14:40:00,1757495400,341.20,341.65,341.20,341.60,341.74,278,0,61826,0
Ok,10-09-2025 14:35:00,1757495100,341.00,341.60,341.00,341.25,341.04,1947,0,61548,0
Ok,10-09-2025 14:30:00,1757494800,340.55,341.70,340.55,341.15,341.22,3215,0,59601,0
Ok,10-09-2025 14:25:00,1757494500,340.25,340.90,340.15,340.85,340.19,1966,0,56386,0
Ok,10-09-2025 14:20:00,1757494200,340.60,340.90,340.50,340.65,341.28,279,0,54420,0
Ok,10-09-2025 14:15:00,1757493900,340.85,341.15,340.50,340.60,340.69,3327,0,54141,0
Ok,10-09-2025 14:10:00,1757493600,340.45,340.45,340.10,340.10,339.24,80,0,50814,0
Ok,10-09-2025 14:05:00,1757493300,339.75,340.20,339.75,340.05,340.25,2372,0,50734,0
Ok,10-09-2025 14:00:00,1757493000,339.90,339.90,339.70,339.75,339.19,20,0,48362,0
Ok,10-09-2025 13:55:00,1757492700,339.85,340.00,339.70,339.70,339.19,221,0,48342,0
Ok,10-09-2025 13:50:00,1757492400,339.90,340.20,339.75,339.80,339.82,738,0,48121,0
Ok,10-09-2025 13:45:00,1757492100,339.70,339.75,339.70,339.75,341.73,184,0,47383,0
Ok,10-09-2025 13:40:00,1757491800,339.25,339.50,338.55,339.50,339.17,903,0,47199,0
Ok,10-09-2025 13:35:00,1757491500,339.20,339.50,338.80,339.35,339.17,607,0,46296,0
Ok,10-09-2025 13:30:00,1757491200,339.60,339.60,338.95,339.15,339.17,936,0,45689,0
Ok,10-09-2025 13:25:00,1757490900,338.70,339.95,338.70,339.40,339.17,568,0,44753,0
Ok,10-09-2025 13:20:00,1757490600,338.50,338.70,338.50,338.70,339.17,40,0,44185,0
Ok,10-09-2025 13:15:00,1757490300,339.25,339.25,338.50,338.50,339.45,2864,0,44145,0
Ok,10-09-2025 13:10:00,1757490000,338.50,339.60,338.50,339.60,339.15,1141,0,41281,0
Ok,10-09-2025 13:05:00,1757489700,338.90,338.90,338.65,338.65,339.15,6,0,40140,0
Ok,10-09-2025 13:00:00,1757489400,338.90,339.05,338.90,338.90,339.15,15,0,40134,0
Ok,10-09-2025 12:55:00,1757489100,339.05,339.05,338.60,338.90,337.63,264,0,40119,0
Ok,10-09-2025 12:50:00,1757488800,338.60,339.05,338.60,339.05,339.16,32,0,39855,0
Ok,10-09-2025 12:45:00,1757488500,338.55,338.60,338.55,338.60,339.16,60,0,39823,0
Ok,10-09-2025 12:40:00,1757488200,338.55,339.10,338.55,338.70,339.16,305,0,39763,0
Ok,10-09-2025 12:35:00,1757487900,338.85,339.15,338.60,338.60,339.16,531,0,39458,0
Ok,10-09-2025 12:30:00,1757487600,339.25,339.25,339.20,339.20,339.16,2,0,38927,0
Ok,10-09-2025 12:25:00,1757487300,339.00,339.25,339.00,339.25,339.16,286,0,38925,0
Ok,10-09-2025 12:20:00,1757487000,338.90,339.00,338.55,339.00,337.26,203,0,38639,0
Ok,10-09-2025 12:15:00,1757486700,338.55,338.55,338.55,338.55,339.17,50,0,38436,0
Ok,10-09-2025 12:10:00,1757486400,338.50,338.95,338.50,338.55,338.52,590,0,38386,0
Ok,10-09-2025 12:05:00,1757486100,338.65,338.65,338.65,338.65,339.18,76,0,37796,0
Ok,10-09-2025 12:00:00,1757485800,338.65,338.90,338.65,338.90,339.18,66,0,37720,0
