stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,170.01,170.01,169.94,169.98,170.01,7279,0,254562,0
Ok,10-09-2025 15:20:00,1757497800,170.29,170.29,169.80,170.20,169.92,12378,0,247283,0
Ok,10-09-2025 15:15:00,1757497500,170.20,170.40,170.01,170.25,170.34,5880,0,234905,0
Ok,10-09-2025 15:10:00,1757497200,170.30,170.42,170.06,170.25,169.35,3761,0,229025,0
Ok,10-09-2025 15:05:00,1757496900,170.20,170.37,170.10,170.13,171.18,1226,0,225264,0
Ok,10-09-2025 15:00:00,1757496600,170.01,170.20,170.01,170.12,170.33,2646,0,224038,0
Ok,10-09-2025 14:55:00,1757496300,170.32,170.32,170.10,170.10,171.19,1612,0,221392,0
Ok,10-09-2025 14:50:00,1757496000,170.10,170.42,170.10,170.32,169.26,2263,0,219780,0
Ok,10-09-2025 14:45:00,1757495700,169.88,170.19,169.88,170.10,170.15,7980,0,217517,0
Ok,10-09-2025 14:40:00,1757495400,169.80,169.97,169.62,169.97,170.01,3346,0,209537,0
Ok,10-09-2025 14:35:00,1757495100,169.75,169.85,169.60,169.61,170.09,1750,0,206191,0
Ok,10-09-2025 14:30:00,1757494800,169.89,169.89,169.60,169.75,168.27,679,0,204441,0
Ok,10-09-2025 14:25:00,1757494500,169.72,169.74,169.65,169.65,171.29,456,0,203762,0
Ok,10-09-2025 14:20:00,1757494200,169.50,169.68,169.50,169.60,169.20,2892,0,203306,0
Ok,10-09-2025 14:15:00,1757493900,169.55,169.66,169.55,169.66,171.32,465,0,200414,0
Ok,10-09-2025 14:10:00,1757493600,169.55,169.89,169.55,169.74,166.36,2001,0,199949,0
Ok,10-09-2025 14:05:00,1757493300,169.22,169.50,169.22,169.50,171.37,2996,0,197948,0
Ok,10-09-2025 14:00:00,1757493000,169.58,169.58,169.49,169.50,171.37,119,0,194952,0
Ok,10-09-2025 13:55:00,1757492700,169.54,169.63,169.50,169.63,168.86,1546,0,194833,0
Ok,10-09-2025 13:50:00,1757492400,169.20,169.55,169.01,169.54,170.07,1469,0,193287,0
Ok,10-09-2025 13:45:00,1757492100,169.76,170.00,169.06,169.20,169.37,21835,0,191818,0
Ok,10-09-2025 13:40:00,1757491800,169.99,169.99,169.61,169.91,169.87,1891,0,169983,0
Ok,10-09-2025 13:35:00,1757491500,170.75,170.80,170.00,170.00,170.28,17365,0,168092,0
Ok,10-09-2025 13:30:00,1757491200,170.75,171.00,170.50,170.50,170.47,3263,0,150727,0
Ok,10-09-2025 13:25:00,1757490900,170.70,171.13,170.50,170.85,170.96,16061,0,147464,0
Ok,10-09-2025 13:20:00,1757490600,170.36,170.75,170.36,170.45,170.60,1885,0,131403,0
Ok,10-09-2025 13:15:00,1757490300,170.86,170.86,170.36,170.36,170.63,14409,0,129518,0
Ok,10-09-2025 13:10:00,1757490000,171.00,171.00,170.75,170.75,170.05,544,0,115109,0
Ok,10-09-2025 13:05:00,1757489700,171.00,171.00,170.90,171.00,172.18,143,0,114565,0
Ok,10-09-2025 13:00:00,1757489400,170.80,171.00,170.80,171.00,170.99,2816,0,114422,0
Ok,10-09-2025 12:55:00,1757489100,170.74,170.80,170.74,170.80,170.78,2299,0,111606,0
Ok,10-09-2025 12:50:00,1757488800,171.15,171.15,170.68,170.68,170.93,6329,0,109307,0
Ok,10-09-2025 12:45:00,1757488500,171.20,171.20,171.10,171.19,170.42,541,0,102978,0
Ok,10-09-2025 12:40:00,1757488200,171.50,171.50,171.15,171.20,171.26,3736,0,102437,0
Ok,10-09-2025 12:35:00,1757487900,171.58,171.58,171.50,171.50,172.37,366,0,98701,0
Ok,10-09-2025 12:30:00,1757487600,171.65,171.73,171.58,171.58,172.37,1181,0,98335,0
Ok,10-09-2025 12:25:00,1757487300,171.73,171.73,171.65,171.65,170.48,513,0,97154,0
Ok,10-09-2025 12:20:00,1757487000,171.79,171.79,171.65,171.65,172.38,105,0,96641,0
Ok,10-09-2025 12:15:00,1757486700,171.89,171.89,171.79,171.79,172.38,1403,0,96536,0
Ok,10-09-2025 12:10:00,1757486400,171.89,171.90,171.89,171.90,170.94,663,0,95133,0
Ok,10-09-2025 12:05:00,1757486100,171.83,171.89,171.65,171.89,172.39,755,0,94470,0
Ok,10-09-2025 12:00:00,1757485800,171.90,171.90,171.72,171.72,172.39,34,0,93715,0
Ok,10-09-2025 11:55:00,1757485500,171.90,171.90,171.90,171.90,172.39,60,0,93681,0
Ok,10-09-2025 11:50:00,1757485200,171.92,171.92,171.90,171.90,172.39,25,0,93621,0
Ok,10-09-2025 11:45:00,1757484900,171.85,172.00,171.71,171.92,171.74,4190,0,93596,0
Ok,10-09-2025 11:40:00,1757484600,172.17,172.17,171.86,171.98,171.74,2590,0,89406,0
Ok,10-09-2025 11:35:00,1757484300,172.29,172.29,172.00,172.17,172.44,1340,0,86816,0
Ok,10-09-2025 11:30:00,1757484000,172.24,172.25,172.05,172.05,172.44,300,0,85476,0
Ok,10-09-2025 11:25:00,1757483700,172.05,172.25,172.00,172.24,171.56,961,0,85176,0
Ok,10-09-2025 11:20:00,1757483400,172.32,172.32,172.00,172.05,172.11,4870,0,84215,0
Ok,10-09-2025 11:15:00,1757483100,172.30,172.41,172.11,172.11,172.47,610,0,79345,0
Ok,10-09-2025 11:10:00,1757482800,172.49,172.49,172.16,172.30,172.47,1321,0,78735,0
