stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,144.25,144.50,143.64,143.64,144.09,2495,0,68761,0
Ok,10-09-2025 15:20:00,1757497800,144.04,144.25,143.91,144.06,144.37,1247,0,66266,0
Ok,10-09-2025 15:15:00,1757497500,143.85,144.04,143.85,143.91,143.02,479,0,65019,0
Ok,10-09-2025 15:10:00,1757497200,144.00,144.04,143.85,144.04,144.02,3482,0,64540,0
Ok,10-09-2025 15:05:00,1757496900,144.04,144.04,143.85,143.86,144.40,416,0,61058,0
Ok,10-09-2025 15:00:00,1757496600,143.80,143.97,143.80,143.90,143.87,5363,0,60642,0
Ok,10-09-2025 14:55:00,1757496300,143.95,143.95,143.80,143.80,0.00,0,0,55279,0
Ok,10-09-2025 14:50:00,1757496000,143.70,143.95,143.70,143.95,144.45,105,0,55279,0
Ok,10-09-2025 14:45:00,1757495700,143.70,143.70,143.70,143.70,0.00,0,0,55174,0
Ok,10-09-2025 14:40:00,1757495400,144.00,144.00,143.70,143.70,143.42,1067,0,55174,0
Ok,10-09-2025 14:35:00,1757495100,144.03,144.03,144.00,144.00,144.47,293,0,54107,0
Ok,10-09-2025 14:30:00,1757494800,143.90,143.90,143.70,143.80,143.67,1971,0,53814,0
Ok,10-09-2025 14:25:00,1757494500,143.91,143.91,143.67,143.67,144.50,206,0,51843,0
Ok,10-09-2025 14:20:00,1757494200,143.80,143.91,143.80,143.91,144.50,1,0,51637,0
Ok,10-09-2025 14:15:00,1757493900,144.04,144.04,143.80,143.80,144.50,144,0,51636,0
Ok,10-09-2025 14:10:00,1757493600,143.66,144.04,143.66,144.04,144.50,100,0,51492,0
Ok,10-09-2025 14:05:00,1757493300,143.95,143.95,143.66,143.66,143.57,549,0,51392,0
Ok,10-09-2025 14:00:00,1757493000,144.05,144.05,143.95,143.95,144.51,121,0,50843,0
Ok,10-09-2025 13:55:00,1757492700,144.09,144.09,144.05,144.05,144.51,156,0,50722,0
Ok,10-09-2025 13:50:00,1757492400,144.10,144.10,143.95,144.09,142.92,317,0,50566,0
Ok,10-09-2025 13:45:00,1757492100,144.10,144.10,144.10,144.10,0.00,0,0,50249,0
Ok,10-09-2025 13:40:00,1757491800,143.95,144.10,143.95,144.10,144.52,101,0,50249,0
Ok,10-09-2025 13:35:00,1757491500,144.10,144.10,144.10,144.10,144.52,20,0,50148,0
Ok,10-09-2025 13:30:00,1757491200,144.10,144.10,144.00,144.00,144.52,20,0,50128,0
Ok,10-09-2025 13:25:00,1757490900,144.10,144.10,144.10,144.10,144.52,1,0,50108,0
Ok,10-09-2025 13:20:00,1757490600,144.19,144.19,144.10,144.10,144.52,198,0,50107,0
Ok,10-09-2025 13:15:00,1757490300,144.19,144.19,144.19,144.19,0.00,0,0,49909,0
Ok,10-09-2025 13:10:00,1757490000,144.19,144.19,144.19,144.19,0.00,0,0,49909,0
Ok,10-09-2025 13:05:00,1757489700,144.23,144.69,144.00,144.19,144.19,1472,0,49909,0
Ok,10-09-2025 13:00:00,1757489400,144.25,144.25,144.11,144.24,144.53,201,0,48437,0
Ok,10-09-2025 12:55:00,1757489100,144.01,144.25,144.01,144.25,144.53,193,0,48236,0
Ok,10-09-2025 12:50:00,1757488800,144.29,144.29,144.28,144.28,144.53,50,0,48043,0
Ok,10-09-2025 12:45:00,1757488500,143.98,144.29,143.78,144.29,143.02,319,0,47993,0
Ok,10-09-2025 12:40:00,1757488200,144.14,144.47,143.98,143.98,144.54,621,0,47674,0
Ok,10-09-2025 12:35:00,1757487900,144.36,144.48,144.16,144.16,144.54,235,0,47053,0
Ok,10-09-2025 12:30:00,1757487600,144.00,144.00,144.00,144.00,143.07,942,0,46818,0
Ok,10-09-2025 12:25:00,1757487300,144.00,144.00,144.00,144.00,144.57,300,0,45876,0
Ok,10-09-2025 12:20:00,1757487000,144.00,144.00,144.00,144.00,0.00,0,0,45576,0
Ok,10-09-2025 12:15:00,1757486700,144.40,144.41,144.00,144.00,144.57,729,0,45576,0
Ok,10-09-2025 12:10:00,1757486400,144.71,144.71,144.27,144.40,144.57,248,0,44847,0
Ok,10-09-2025 12:05:00,1757486100,144.06,144.96,144.06,144.96,144.57,3235,0,44599,0
Ok,10-09-2025 12:00:00,1757485800,144.37,144.37,144.00,144.00,144.27,1373,0,41364,0
Ok,10-09-2025 11:55:00,1757485500,144.37,144.37,144.37,144.37,0.00,0,0,39991,0
Ok,10-09-2025 11:50:00,1757485200,144.34,144.37,144.34,144.37,142.61,203,0,39991,0
Ok,10-09-2025 11:45:00,1757484900,144.32,144.32,144.06,144.06,144.59,4,0,39788,0
Ok,10-09-2025 11:40:00,1757484600,144.01,144.32,144.01,144.05,144.59,102,0,39784,0
Ok,10-09-2025 11:35:00,1757484300,144.42,144.42,144.01,144.01,144.59,162,0,39682,0
Ok,10-09-2025 11:30:00,1757484000,144.37,144.42,144.37,144.42,144.59,115,0,39520,0
Ok,10-09-2025 11:25:00,1757483700,144.37,144.37,144.37,144.37,144.59,256,0,39405,0
Ok,10-09-2025 11:20:00,1757483400,144.05,144.29,144.05,144.29,144.59,98,0,39149,0
Ok,10-09-2025 11:15:00,1757483100,144.05,144.05,144.05,144.05,0.00,0,0,39051,0
