stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,182.99,182.99,182.00,182.12,182.53,11058,0,169761,0
Ok,10-09-2025 15:20:00,1757497800,182.63,183.00,182.63,182.80,182.76,2267,0,158703,0
Ok,10-09-2025 15:15:00,1757497500,183.32,183.32,182.11,182.75,183.03,3559,0,156436,0
Ok,10-09-2025 15:10:00,1757497200,183.40,183.69,183.30,183.50,183.48,1419,0,152877,0
Ok,10-09-2025 15:05:00,1757496900,182.71,183.41,182.48,183.41,182.61,3429,0,151458,0
Ok,10-09-2025 15:00:00,1757496600,182.23,182.48,182.16,182.48,183.50,991,0,148029,0
Ok,10-09-2025 14:55:00,1757496300,182.13,182.36,182.13,182.22,179.29,349,0,147038,0
Ok,10-09-2025 14:50:00,1757496000,182.53,182.53,182.13,182.13,182.48,1423,0,146689,0
Ok,10-09-2025 14:45:00,1757495700,182.39,182.52,182.11,182.52,183.52,277,0,145266,0
Ok,10-09-2025 14:40:00,1757495400,182.37,182.37,182.00,182.07,183.52,179,0,144989,0
Ok,10-09-2025 14:35:00,1757495100,182.50,182.50,182.00,182.00,182.05,3854,0,144810,0
Ok,10-09-2025 14:30:00,1757494800,182.99,182.99,182.12,182.89,182.63,3012,0,140956,0
Ok,10-09-2025 14:25:00,1757494500,183.00,183.00,182.99,182.99,183.58,366,0,137944,0
Ok,10-09-2025 14:20:00,1757494200,183.00,183.00,183.00,183.00,0.00,0,0,137578,0
Ok,10-09-2025 14:15:00,1757493900,183.42,183.42,183.00,183.00,182.97,6601,0,137578,0
Ok,10-09-2025 14:10:00,1757493600,183.79,183.79,183.41,183.41,183.61,426,0,130977,0
Ok,10-09-2025 14:05:00,1757493300,183.90,183.90,183.79,183.79,183.61,869,0,130551,0
Ok,10-09-2025 14:00:00,1757493000,184.45,184.45,183.92,183.92,184.32,1775,0,129682,0
Ok,10-09-2025 13:55:00,1757492700,184.47,184.52,184.20,184.22,183.60,393,0,127907,0
Ok,10-09-2025 13:50:00,1757492400,183.70,185.00,183.70,184.46,184.67,3462,0,127514,0
Ok,10-09-2025 13:45:00,1757492100,183.78,183.78,183.65,183.70,183.57,154,0,124052,0
Ok,10-09-2025 13:40:00,1757491800,183.70,183.98,183.70,183.78,183.57,522,0,123898,0
Ok,10-09-2025 13:35:00,1757491500,182.44,183.73,182.01,183.73,183.70,15217,0,123376,0
Ok,10-09-2025 13:30:00,1757491200,182.45,182.45,182.19,182.44,183.55,34,0,108159,0
Ok,10-09-2025 13:25:00,1757490900,182.01,182.48,182.01,182.45,182.42,960,0,108125,0
Ok,10-09-2025 13:20:00,1757490600,182.41,182.49,182.25,182.25,183.56,143,0,107165,0
Ok,10-09-2025 13:15:00,1757490300,182.70,183.00,182.53,182.53,183.01,3793,0,107022,0
Ok,10-09-2025 13:10:00,1757490000,183.28,183.28,182.59,182.92,182.02,662,0,103229,0
Ok,10-09-2025 13:05:00,1757489700,183.28,183.28,183.28,183.28,0.00,0,0,102567,0
Ok,10-09-2025 13:00:00,1757489400,182.32,183.28,182.32,183.28,182.56,2917,0,102567,0
Ok,10-09-2025 12:55:00,1757489100,182.11,182.32,182.11,182.32,183.62,25,0,99650,0
Ok,10-09-2025 12:50:00,1757488800,182.10,182.29,182.10,182.11,182.22,2101,0,99625,0
Ok,10-09-2025 12:45:00,1757488500,182.50,182.50,182.06,182.21,181.49,452,0,97524,0
Ok,10-09-2025 12:40:00,1757488200,182.21,182.55,182.18,182.55,183.66,273,0,97072,0
Ok,10-09-2025 12:35:00,1757487900,182.46,182.46,182.20,182.21,183.66,121,0,96799,0
Ok,10-09-2025 12:30:00,1757487600,182.69,182.69,182.46,182.49,180.45,301,0,96678,0
Ok,10-09-2025 12:25:00,1757487300,182.00,182.69,182.00,182.69,182.90,1250,0,96377,0
Ok,10-09-2025 12:20:00,1757487000,182.25,182.34,182.00,182.00,181.67,472,0,95127,0
Ok,10-09-2025 12:15:00,1757486700,182.49,182.49,182.06,182.06,181.71,477,0,94655,0
Ok,10-09-2025 12:10:00,1757486400,182.00,182.21,182.00,182.21,183.70,79,0,94178,0
Ok,10-09-2025 12:05:00,1757486100,181.80,182.04,181.61,182.00,182.26,652,0,94099,0
Ok,10-09-2025 12:00:00,1757485800,181.79,181.80,181.50,181.80,183.71,194,0,93447,0
Ok,10-09-2025 11:55:00,1757485500,181.10,181.79,181.10,181.79,180.09,770,0,93253,0
Ok,10-09-2025 11:50:00,1757485200,181.20,181.50,181.20,181.22,183.74,186,0,92483,0
Ok,10-09-2025 11:45:00,1757484900,181.50,181.67,181.11,181.11,181.62,1296,0,92297,0
Ok,10-09-2025 11:40:00,1757484600,181.59,181.99,181.40,181.59,181.41,1518,0,91001,0
Ok,10-09-2025 11:35:00,1757484300,181.45,181.78,181.45,181.59,183.81,106,0,89483,0
