stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,166.75,166.99,166.10,166.25,166.81,55375,0,5177179,0
Ok,10-09-2025 15:20:00,1757497800,165.46,166.80,165.46,166.73,166.89,59279,0,5121804,0
Ok,10-09-2025 15:15:00,1757497500,166.22,166.70,165.16,165.16,165.16,76876,0,5062525,0
Ok,10-09-2025 15:10:00,1757497200,166.80,167.51,166.02,166.27,167.80,69695,0,4985649,0
Ok,10-09-2025 15:05:00,1757496900,166.80,167.48,166.25,167.48,167.80,11400,0,4915954,0
Ok,10-09-2025 15:00:00,1757496600,167.20,167.20,166.72,166.95,167.80,12483,0,4904554,0
Ok,10-09-2025 14:55:00,1757496300,166.45,167.29,166.00,166.81,164.91,33715,0,4892071,0
Ok,10-09-2025 14:50:00,1757496000,167.00,167.00,166.25,166.46,167.82,13022,0,4858356,0
Ok,10-09-2025 14:45:00,1757495700,166.43,167.30,166.36,167.27,167.82,19686,0,4845334,0
Ok,10-09-2025 14:40:00,1757495400,166.05,166.86,166.01,166.60,167.82,13664,0,4825648,0
Ok,10-09-2025 14:35:00,1757495100,166.02,166.95,165.78,166.09,164.34,13836,0,4811984,0
Ok,10-09-2025 14:30:00,1757494800,167.37,167.37,166.00,166.05,167.83,26344,0,4798148,0
Ok,10-09-2025 14:25:00,1757494500,166.50,167.37,166.21,167.37,165.37,19407,0,4771804,0
Ok,10-09-2025 14:20:00,1757494200,167.43,167.77,166.60,166.60,167.84,15324,0,4752397,0
Ok,10-09-2025 14:15:00,1757493900,167.11,167.68,166.97,167.68,167.84,11728,0,4737073,0
Ok,10-09-2025 14:10:00,1757493600,167.60,168.49,166.91,166.92,167.84,43785,0,4725345,0
Ok,10-09-2025 14:05:00,1757493300,166.00,168.50,166.00,167.89,166.67,79298,0,4681560,0
Ok,10-09-2025 14:00:00,1757493000,165.25,166.25,165.25,166.10,166.50,33848,0,4602262,0
Ok,10-09-2025 13:55:00,1757492700,164.00,165.85,164.00,165.33,164.62,83074,0,4568414,0
Ok,10-09-2025 13:50:00,1757492400,166.94,167.39,163.05,164.07,164.69,186489,0,4485340,0
Ok,10-09-2025 13:45:00,1757492100,166.56,167.57,166.32,166.80,167.11,44709,0,4298851,0
Ok,10-09-2025 13:40:00,1757491800,169.00,169.00,166.01,166.29,167.10,127336,0,4254142,0
Ok,10-09-2025 13:35:00,1757491500,169.23,169.40,169.00,169.01,168.11,6191,0,4126806,0
Ok,10-09-2025 13:30:00,1757491200,169.03,169.50,169.02,169.22,170.67,16009,0,4120615,0
Ok,10-09-2025 13:25:00,1757490900,169.18,169.35,168.75,169.02,168.10,22364,0,4104606,0
Ok,10-09-2025 13:20:00,1757490600,168.69,169.35,168.59,168.83,169.98,21525,0,4082242,0
Ok,10-09-2025 13:15:00,1757490300,169.62,169.86,168.50,169.07,168.98,45045,0,4060717,0
Ok,10-09-2025 13:10:00,1757490000,171.18,171.77,169.66,169.90,170.45,66497,0,4015672,0
Ok,10-09-2025 13:05:00,1757489700,168.68,171.92,168.60,171.30,170.87,134387,0,3949175,0
Ok,10-09-2025 13:00:00,1757489400,168.51,169.59,168.27,168.89,168.74,46738,0,3814788,0
Ok,10-09-2025 12:55:00,1757489100,168.00,169.01,167.20,168.87,167.93,41160,0,3768050,0
Ok,10-09-2025 12:50:00,1757488800,169.30,169.30,168.01,168.10,167.93,36407,0,3726890,0
Ok,10-09-2025 12:45:00,1757488500,168.75,169.40,168.40,169.23,168.97,34805,0,3690483,0
Ok,10-09-2025 12:40:00,1757488200,167.80,169.01,167.76,168.71,168.99,33546,0,3655678,0
Ok,10-09-2025 12:35:00,1757487900,167.86,168.25,167.64,167.81,167.91,18047,0,3622132,0
Ok,10-09-2025 12:30:00,1757487600,167.99,168.05,167.56,167.88,167.91,7061,0,3604085,0
Ok,10-09-2025 12:25:00,1757487300,167.83,168.14,167.50,167.76,167.91,15128,0,3597024,0
Ok,10-09-2025 12:20:00,1757487000,168.24,168.25,167.68,168.01,167.91,11510,0,3581896,0
Ok,10-09-2025 12:15:00,1757486700,167.51,168.23,167.50,168.23,167.91,6244,0,3570386,0
Ok,10-09-2025 12:10:00,1757486400,167.87,168.00,167.40,167.66,167.91,15117,0,3564142,0
Ok,10-09-2025 12:05:00,1757486100,167.75,168.60,167.54,167.54,167.91,31505,0,3549025,0
Ok,10-09-2025 12:00:00,1757485800,168.13,168.40,167.51,167.99,167.91,47592,0,3517520,0
Ok,10-09-2025 11:55:00,1757485500,168.24,168.30,167.50,167.93,167.91,18809,0,3469928,0
Ok,10-09-2025 11:50:00,1757485200,168.40,168.82,167.40,167.95,167.91,84672,0,3451119,0
Ok,10-09-2025 11:45:00,1757484900,168.95,169.00,168.32,168.55,168.83,35991,0,3366447,0
Ok,10-09-2025 11:40:00,1757484600,167.38,169.25,167.21,168.74,168.40,64144,0,3330456,0
Ok,10-09-2025 11:35:00,1757484300,167.26,167.84,167.15,167.57,167.89,23288,0,3266312,0
Ok,10-09-2025 11:30:00,1757484000,167.79,168.00,167.09,167.52,167.89,24878,0,3243024,0
Ok,10-09-2025 11:25:00,1757483700,168.12,168.80,167.22,168.00,167.89,49966,0,3218146,0
Ok,10-09-2025 11:20:00,1757483400,168.37,168.50,165.79,168.50,167.45,139517,0,3168180,0
Ok,10-09-2025 11:15:00,1757483100,170.24,170.50,168.03,168.35,168.63,81384,0,3028663,0
Ok,10-09-2025 11:10:00,1757482800,168.24,170.79,168.01,170.04,169.90,165299,0,2947279,0
Ok,10-09-2025 11:05:00,1757482500,168.08,168.25,166.47,168.01,167.22,50676,0,2781980,0
Ok,10-09-2025 11:00:00,1757482200,168.39,168.46,167.00,168.31,167.78,52305,0,2731304,0
Ok,10-09-2025 10:55:00,1757481900,168.81,168.81,166.77,168.23,167.95,139216,0,2678999,0
Ok,10-09-2025 10:50:00,1757481600,168.90,169.60,168.33,168.78,168.84,90979,0,2539783,0
Ok,10-09-2025 10:45:00,1757481300,171.99,172.00,168.78,169.00,170.34,181714,0,2448804,0
Ok,10-09-2025 10:40:00,1757481000,171.47,172.70,170.00,171.92,171.71,327695,0,2267090,0
Ok,10-09-2025 10:35:00,1757480700,169.94,171.80,169.02,171.51,170.88,320965,0,1939395,0
Ok,10-09-2025 10:30:00,1757480400,168.12,170.80,168.12,169.72,169.71,495541,0,1618430,0
Ok,10-09-2025 10:25:00,1757480100,166.46,169.45,166.27,168.02,168.32,307832,0,1122889,0
Ok,10-09-2025 10:20:00,1757479800,164.51,167.45,164.16,166.44,166.14,254254,0,815057,0
Ok,10-09-2025 10:15:00,1757479500,163.00,164.78,162.60,164.75,163.56,61265,0,560803,0
Ok,10-09-2025 10:10:00,1757479200,162.20,164.00,162.02,163.27,163.26,87435,0,499538,0
Ok,10-09-2025 10:05:00,1757478900,162.31,162.70,161.18,162.50,162.03,27522,0,412103,0
Ok,10-09-2025 10:00:00,1757478600,162.25,162.89,161.69,162.27,162.17,22080,0,384581,0
Ok,10-09-2025 09:55:00,1757478300,161.89,162.39,160.98,162.00,161.58,26292,0,362501,0
Ok,10-09-2025 09:50:00,1757478000,162.27,162.60,161.68,162.19,162.21,21865,0,336209,0
Ok,10-09-2025 09:45:00,1757477700,160.52,163.90,160.52,162.57,162.53,71152,0,314344,0
Ok,10-09-2025 09:40:00,1757477400,160.55,160.99,160.15,160.64,160.52,11641,0,243192,0
Ok,10-09-2025 09:35:00,1757477100,161.61,161.70,160.00,160.52,160.88,38548,0,231551,0
Ok,10-09-2025 09:30:00,1757476800,160.29,162.56,160.10,161.70,161.54,49251,0,193003,0
Ok,10-09-2025 09:25:00,1757476500,157.32,160.63,156.50,160.36,159.37,49528,0,143752,0
Ok,10-09-2025 09:20:00,1757476200,158.44,158.44,155.28,157.31,156.56,49418,0,94224,0
Ok,10-09-2025 09:15:00,1757475900,159.90,159.90,158.39,158.39,159.41,39403,0,44806,0
