stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,304.25,304.40,303.90,303.90,304.03,8302,0,243863,0
Ok,10-09-2025 15:20:00,1757497800,304.25,304.25,303.60,304.10,303.77,10409,0,235561,0
Ok,10-09-2025 15:15:00,1757497500,304.15,304.50,304.00,304.30,304.28,6706,0,225152,0
Ok,10-09-2025 15:10:00,1757497200,304.65,304.70,304.35,304.40,303.94,1294,0,218446,0
Ok,10-09-2025 15:05:00,1757496900,304.40,304.75,304.00,304.60,304.71,9020,0,217152,0
Ok,10-09-2025 15:00:00,1757496600,304.10,304.40,304.10,304.35,303.61,2983,0,208132,0
Ok,10-09-2025 14:55:00,1757496300,304.20,304.20,304.00,304.15,305.71,741,0,205149,0
Ok,10-09-2025 14:50:00,1757496000,304.00,304.20,303.70,304.20,304.35,1503,0,204408,0
Ok,10-09-2025 14:45:00,1757495700,304.35,304.40,304.10,304.35,301.41,471,0,202905,0
Ok,10-09-2025 14:40:00,1757495400,304.35,304.40,304.10,304.10,302.15,1127,0,202434,0
Ok,10-09-2025 14:35:00,1757495100,304.25,304.50,304.00,304.00,305.75,893,0,201307,0
Ok,10-09-2025 14:30:00,1757494800,304.25,304.50,304.25,304.50,305.75,458,0,200414,0
Ok,10-09-2025 14:25:00,1757494500,304.45,304.50,304.35,304.35,305.75,1114,0,199956,0
Ok,10-09-2025 14:20:00,1757494200,304.40,304.45,304.00,304.45,300.83,404,0,198842,0
Ok,10-09-2025 14:15:00,1757493900,304.50,304.50,304.40,304.50,305.76,621,0,198438,0
Ok,10-09-2025 14:10:00,1757493600,304.55,304.65,304.40,304.50,304.10,1192,0,197817,0
Ok,10-09-2025 14:05:00,1757493300,304.40,304.65,304.40,304.55,305.77,234,0,196625,0
Ok,10-09-2025 14:00:00,1757493000,304.60,304.60,304.40,304.55,305.77,565,0,196391,0
Ok,10-09-2025 13:55:00,1757492700,304.60,304.65,304.35,304.65,305.77,250,0,195826,0
Ok,10-09-2025 13:50:00,1757492400,304.55,304.65,304.05,304.65,303.41,1649,0,195576,0
Ok,10-09-2025 13:45:00,1757492100,304.55,304.60,304.25,304.55,305.79,390,0,193927,0
Ok,10-09-2025 13:40:00,1757491800,304.45,304.60,304.40,304.60,305.79,898,0,193537,0
Ok,10-09-2025 13:35:00,1757491500,304.65,304.65,304.40,304.45,289.47,118,0,192639,0
Ok,10-09-2025 13:30:00,1757491200,304.70,304.75,304.40,304.65,305.80,1094,0,192521,0
Ok,10-09-2025 13:25:00,1757490900,304.45,304.80,304.40,304.70,304.16,1162,0,191427,0
Ok,10-09-2025 13:20:00,1757490600,304.40,304.50,304.20,304.45,304.78,1848,0,190265,0
Ok,10-09-2025 13:15:00,1757490300,304.40,304.50,304.25,304.50,301.96,488,0,188417,0
Ok,10-09-2025 13:10:00,1757490000,304.75,304.75,304.30,304.40,304.70,1662,0,187929,0
Ok,10-09-2025 13:05:00,1757489700,304.85,304.85,304.50,304.75,304.26,1178,0,186267,0
Ok,10-09-2025 13:00:00,1757489400,304.85,304.90,304.55,304.85,305.85,754,0,185089,0
Ok,10-09-2025 12:55:00,1757489100,304.90,304.90,304.50,304.85,304.14,1080,0,184335,0
Ok,10-09-2025 12:50:00,1757488800,304.70,304.90,304.70,304.90,305.86,517,0,183255,0
Ok,10-09-2025 12:45:00,1757488500,304.85,304.90,304.65,304.90,305.86,214,0,182738,0
Ok,10-09-2025 12:40:00,1757488200,304.95,304.95,304.60,304.85,303.45,757,0,182524,0
Ok,10-09-2025 12:35:00,1757487900,304.75,304.85,304.65,304.85,305.87,313,0,181767,0
Ok,10-09-2025 12:30:00,1757487600,304.80,304.80,304.40,304.65,305.87,957,0,181454,0
