stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,152.26,152.30,152.00,152.19,152.18,59980,0,1399936,0
Ok,10-09-2025 15:20:00,1757497800,152.35,152.39,152.24,152.30,152.21,62791,0,1339956,0
Ok,10-09-2025 15:15:00,1757497500,152.35,152.50,152.25,152.37,152.43,38067,0,1277165,0
Ok,10-09-2025 15:10:00,1757497200,152.38,152.38,152.26,152.31,152.43,24662,0,1239098,0
Ok,10-09-2025 15:05:00,1757496900,152.20,152.39,152.14,152.34,151.96,25736,0,1214436,0
Ok,10-09-2025 15:00:00,1757496600,151.94,152.15,151.93,152.15,152.44,12008,0,1188700,0
Ok,10-09-2025 14:55:00,1757496300,151.67,152.26,151.50,152.00,151.85,57868,0,1176692,0
Ok,10-09-2025 14:50:00,1757496000,151.56,151.78,151.53,151.70,152.47,11802,0,1118824,0
Ok,10-09-2025 14:45:00,1757495700,151.60,151.81,151.55,151.55,151.50,22533,0,1107022,0
Ok,10-09-2025 14:40:00,1757495400,151.78,151.85,151.63,151.63,151.25,8736,0,1084489,0
Ok,10-09-2025 14:35:00,1757495100,151.71,151.87,151.67,151.85,152.50,7117,0,1075753,0
Ok,10-09-2025 14:30:00,1757494800,151.87,151.90,151.70,151.81,150.77,6174,0,1068636,0
Ok,10-09-2025 14:25:00,1757494500,151.71,151.85,151.65,151.85,151.97,19516,0,1062462,0
Ok,10-09-2025 14:20:00,1757494200,151.70,151.98,151.50,151.72,151.60,43862,0,1042946,0
Ok,10-09-2025 14:15:00,1757493900,151.70,151.75,151.55,151.55,151.74,12138,0,999084,0
Ok,10-09-2025 14:10:00,1757493600,151.86,151.87,151.65,151.75,151.14,6866,0,986946,0
Ok,10-09-2025 14:05:00,1757493300,151.83,151.88,151.66,151.87,152.58,3824,0,980080,0
Ok,10-09-2025 14:00:00,1757493000,151.92,151.93,151.70,151.72,150.78,5418,0,976256,0
Ok,10-09-2025 13:55:00,1757492700,151.85,152.00,151.80,151.81,152.59,7586,0,970838,0
Ok,10-09-2025 13:50:00,1757492400,151.90,151.90,151.81,151.81,152.59,2836,0,963252,0
Ok,10-09-2025 13:45:00,1757492100,152.04,152.14,151.80,151.81,151.50,17459,0,960416,0
Ok,10-09-2025 13:40:00,1757491800,151.71,152.03,151.71,152.03,152.61,9714,0,942957,0
Ok,10-09-2025 13:35:00,1757491500,151.80,151.89,151.67,151.80,151.30,14093,0,933243,0
Ok,10-09-2025 13:30:00,1757491200,151.79,151.85,151.79,151.85,151.66,9404,0,919150,0
Ok,10-09-2025 13:25:00,1757490900,151.73,151.85,151.71,151.84,152.64,4253,0,909746,0
Ok,10-09-2025 13:20:00,1757490600,151.75,151.85,151.71,151.84,152.64,5787,0,905493,0
Ok,10-09-2025 13:15:00,1757490300,151.90,151.90,151.71,151.83,151.82,10958,0,899706,0
Ok,10-09-2025 13:10:00,1757490000,152.00,152.11,151.90,151.99,151.59,8382,0,888748,0
Ok,10-09-2025 13:05:00,1757489700,152.30,152.30,151.92,152.04,152.06,28620,0,880366,0
Ok,10-09-2025 13:00:00,1757489400,152.29,152.39,152.21,152.23,150.93,4843,0,851746,0
Ok,10-09-2025 12:55:00,1757489100,152.34,152.35,152.17,152.29,152.69,4127,0,846903,0
Ok,10-09-2025 12:50:00,1757488800,152.21,152.37,152.14,152.35,152.69,5013,0,842776,0
Ok,10-09-2025 12:45:00,1757488500,152.25,152.32,152.10,152.32,152.69,2102,0,837763,0
Ok,10-09-2025 12:40:00,1757488200,152.13,152.25,152.10,152.10,152.69,4886,0,835661,0
Ok,10-09-2025 12:35:00,1757487900,152.35,152.43,152.20,152.25,149.98,3060,0,830775,0
Ok,10-09-2025 12:30:00,1757487600,152.35,152.35,152.12,152.31,152.70,5443,0,827715,0
Ok,10-09-2025 12:25:00,1757487300,152.12,152.40,152.12,152.32,152.70,1678,0,822272,0
Ok,10-09-2025 12:20:00,1757487000,152.16,152.28,152.13,152.25,152.70,4124,0,820594,0
Ok,10-09-2025 12:15:00,1757486700,152.21,152.29,152.12,152.19,151.19,5384,0,816470,0
Ok,10-09-2025 12:10:00,1757486400,152.30,152.49,152.16,152.26,152.71,2961,0,811086,0
Ok,10-09-2025 12:05:00,1757486100,152.24,152.30,152.14,152.24,152.71,3712,0,808125,0
Ok,10-09-2025 12:00:00,1757485800,152.21,152.32,152.06,152.06,151.91,10093,0,804413,0
Ok,10-09-2025 11:55:00,1757485500,152.18,152.36,152.15,152.22,152.14,13724,0,794320,0
Ok,10-09-2025 11:50:00,1757485200,152.30,152.45,152.21,152.40,152.73,6341,0,780596,0
Ok,10-09-2025 11:45:00,1757484900,152.69,152.70,152.30,152.37,152.43,25348,0,774255,0
Ok,10-09-2025 11:40:00,1757484600,152.66,152.75,152.62,152.70,152.74,3041,0,748907,0
Ok,10-09-2025 11:35:00,1757484300,152.65,152.75,152.63,152.65,152.74,6708,0,745866,0
Ok,10-09-2025 11:30:00,1757484000,152.90,152.90,152.64,152.76,152.74,5485,0,739158,0
Ok,10-09-2025 11:25:00,1757483700,152.93,152.95,152.72,152.80,152.74,6812,0,733673,0
Ok,10-09-2025 11:20:00,1757483400,152.75,153.00,152.65,152.84,152.74,10121,0,726861,0
Ok,10-09-2025 11:15:00,1757483100,152.99,152.99,152.79,152.88,152.74,9284,0,716740,0
Ok,10-09-2025 11:10:00,1757482800,152.89,152.89,152.75,152.75,154.19,4843,0,707456,0
Ok,10-09-2025 11:05:00,1757482500,152.90,152.93,152.83,152.85,152.73,2923,0,702613,0
Ok,10-09-2025 11:00:00,1757482200,152.70,152.90,152.61,152.90,152.73,6633,0,699690,0
Ok,10-09-2025 10:55:00,1757481900,152.78,152.87,152.70,152.77,152.73,6270,0,693057,0
Ok,10-09-2025 10:50:00,1757481600,152.76,152.81,152.55,152.81,152.73,4778,0,686787,0
Ok,10-09-2025 10:45:00,1757481300,152.80,153.00,152.75,152.80,152.73,16743,0,682009,0
Ok,10-09-2025 10:40:00,1757481000,152.78,153.04,152.78,152.84,152.73,5892,0,665266,0
Ok,10-09-2025 10:35:00,1757480700,153.14,153.19,152.85,152.85,152.73,10972,0,659374,0
Ok,10-09-2025 10:30:00,1757480400,153.11,153.15,152.85,153.02,152.73,3075,0,648402,0
Ok,10-09-2025 10:25:00,1757480100,153.08,153.20,152.86,152.95,153.21,13091,0,645327,0
Ok,10-09-2025 10:20:00,1757479800,153.12,153.15,152.91,153.10,152.72,5651,0,632236,0
Ok,10-09-2025 10:15:00,1757479500,153.28,153.40,152.90,153.01,153.33,10090,0,626585,0
Ok,10-09-2025 10:10:00,1757479200,153.20,153.20,153.00,153.20,153.33,9717,0,616495,0
Ok,10-09-2025 10:05:00,1757478900,153.09,153.32,153.00,153.15,152.70,9183,0,606778,0
Ok,10-09-2025 10:00:00,1757478600,152.91,153.16,152.91,152.94,153.94,9413,0,597595,0
Ok,10-09-2025 09:55:00,1757478300,153.23,153.32,152.90,153.00,152.68,13172,0,588182,0
Ok,10-09-2025 09:50:00,1757478000,153.51,153.88,153.00,153.22,153.56,78299,0,575010,0
Ok,10-09-2025 09:45:00,1757477700,153.25,153.70,153.10,153.61,153.41,91687,0,496711,0
Ok,10-09-2025 09:40:00,1757477400,152.50,153.42,152.44,153.29,152.99,71082,0,405024,0
Ok,10-09-2025 09:35:00,1757477100,152.07,152.55,151.97,152.55,152.28,33865,0,333942,0
Ok,10-09-2025 09:30:00,1757476800,152.06,152.22,151.86,151.98,152.05,40731,0,300077,0
Ok,10-09-2025 09:25:00,1757476500,152.01,152.13,151.62,152.00,151.82,76662,0,259346,0
Ok,10-09-2025 09:20:00,1757476200,152.10,152.38,151.82,151.91,152.10,64763,0,182684,0
Ok,10-09-2025 09:15:00,1757475900,152.33,152.99,152.21,152.21,160.86,111790,0,117921,0
