stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,360.60,361.00,360.60,361.00,360.95,15596,0,156753,0
Ok,10-09-2025 15:20:00,1757497800,360.25,361.00,360.25,361.00,360.71,6809,0,141157,0
Ok,10-09-2025 15:15:00,1757497500,361.15,361.80,360.50,361.00,361.20,5114,0,134348,0
Ok,10-09-2025 15:10:00,1757497200,362.95,363.00,361.45,361.60,362.12,6599,0,129234,0
Ok,10-09-2025 15:05:00,1757496900,363.00,363.00,362.75,362.75,363.16,932,0,122635,0
Ok,10-09-2025 15:00:00,1757496600,362.80,363.00,362.65,362.80,360.65,946,0,121703,0
Ok,10-09-2025 14:55:00,1757496300,362.95,362.95,362.55,362.55,364.52,168,0,120757,0
Ok,10-09-2025 14:50:00,1757496000,362.45,362.85,362.45,362.80,364.52,486,0,120589,0
Ok,10-09-2025 14:45:00,1757495700,362.75,362.75,362.45,362.45,364.52,20,0,120103,0
Ok,10-09-2025 14:40:00,1757495400,362.85,363.00,362.30,362.30,364.52,394,0,120083,0
Ok,10-09-2025 14:35:00,1757495100,362.70,363.00,362.55,362.85,364.52,135,0,119689,0
Ok,10-09-2025 14:30:00,1757494800,362.85,363.00,362.70,362.70,361.08,347,0,119554,0
Ok,10-09-2025 14:25:00,1757494500,362.50,362.50,361.50,362.50,362.21,3013,0,119207,0
Ok,10-09-2025 14:20:00,1757494200,363.70,363.70,362.90,362.90,362.16,477,0,116194,0
Ok,10-09-2025 14:15:00,1757493900,363.35,363.70,363.30,363.70,363.04,744,0,115717,0
Ok,10-09-2025 14:10:00,1757493600,363.65,363.70,363.30,363.30,363.38,937,0,114973,0
Ok,10-09-2025 14:05:00,1757493300,363.55,364.05,363.20,363.40,363.58,1098,0,114036,0
Ok,10-09-2025 14:00:00,1757493000,363.30,363.55,363.30,363.55,364.63,67,0,112938,0
Ok,10-09-2025 13:55:00,1757492700,363.90,363.90,363.30,363.30,363.14,755,0,112871,0
Ok,10-09-2025 13:50:00,1757492400,363.50,364.00,363.20,363.90,362.13,447,0,112116,0
Ok,10-09-2025 13:45:00,1757492100,364.35,364.35,363.60,363.60,364.65,1685,0,111669,0
Ok,10-09-2025 13:40:00,1757491800,365.30,365.60,365.10,365.10,364.65,294,0,109984,0
