stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,296.15,297.10,295.60,296.10,296.78,1752,0,89085,0
Ok,10-09-2025 15:20:00,1757497800,295.65,296.30,294.55,294.55,295.36,1871,0,87333,0
Ok,10-09-2025 15:15:00,1757497500,295.60,296.85,294.80,295.45,295.25,3173,0,85462,0
Ok,10-09-2025 15:10:00,1757497200,295.80,296.45,295.60,295.60,295.95,2105,0,82289,0
Ok,10-09-2025 15:05:00,1757496900,296.80,297.00,295.90,296.10,296.35,1160,0,80184,0
Ok,10-09-2025 15:00:00,1757496600,296.20,297.00,295.55,296.80,296.35,1551,0,79024,0
Ok,10-09-2025 14:55:00,1757496300,295.30,296.35,294.80,296.35,295.61,1048,0,77473,0
Ok,10-09-2025 14:50:00,1757496000,295.95,295.95,295.25,295.30,296.36,253,0,76425,0
Ok,10-09-2025 14:45:00,1757495700,295.65,295.95,294.85,295.95,294.90,521,0,76172,0
Ok,10-09-2025 14:40:00,1757495400,295.80,295.80,294.80,294.80,293.90,306,0,75651,0
Ok,10-09-2025 14:35:00,1757495100,295.95,296.95,295.95,296.30,296.37,1080,0,75345,0
Ok,10-09-2025 14:30:00,1757494800,295.20,295.20,295.20,295.20,0.00,0,0,74265,0
Ok,10-09-2025 14:25:00,1757494500,294.85,295.30,294.55,295.20,293.33,243,0,74265,0
Ok,10-09-2025 14:20:00,1757494200,295.20,295.20,295.10,295.10,295.04,546,0,74022,0
Ok,10-09-2025 14:15:00,1757493900,295.90,296.30,295.00,295.10,295.37,2096,0,73476,0
Ok,10-09-2025 14:10:00,1757493600,296.95,296.95,295.70,296.45,296.43,64,0,71380,0
Ok,10-09-2025 14:05:00,1757493300,297.75,298.30,295.75,295.75,296.75,2137,0,71316,0
Ok,10-09-2025 14:00:00,1757493000,301.10,302.55,297.45,298.30,299.29,7699,0,69179,0
Ok,10-09-2025 13:55:00,1757492700,302.85,304.75,298.55,299.85,301.47,11071,0,61480,0
Ok,10-09-2025 13:50:00,1757492400,295.90,302.50,295.90,302.00,299.95,13173,0,50409,0
Ok,10-09-2025 13:45:00,1757492100,295.00,298.00,294.45,294.65,296.35,8268,0,37236,0
Ok,10-09-2025 13:40:00,1757491800,293.15,295.00,293.15,295.00,294.44,729,0,28968,0
Ok,10-09-2025 13:35:00,1757491500,291.65,293.15,291.65,293.15,292.87,346,0,28239,0
Ok,10-09-2025 13:30:00,1757491200,291.75,291.75,291.55,291.65,290.32,160,0,27893,0
Ok,10-09-2025 13:25:00,1757490900,290.00,291.75,290.00,291.75,291.28,1027,0,27733,0
Ok,10-09-2025 13:20:00,1757490600,290.00,290.00,290.00,290.00,0.00,0,0,26706,0
Ok,10-09-2025 13:15:00,1757490300,290.00,290.00,290.00,290.00,0.00,0,0,26706,0
Ok,10-09-2025 13:10:00,1757490000,290.45,290.45,290.00,290.00,292.10,68,0,26706,0
Ok,10-09-2025 13:05:00,1757489700,289.60,290.45,289.50,290.45,289.88,120,0,26638,0
Ok,10-09-2025 13:00:00,1757489400,290.75,291.10,289.85,289.85,290.19,1443,0,26518,0
Ok,10-09-2025 12:55:00,1757489100,291.25,291.25,290.75,290.75,282.94,27,0,25075,0
Ok,10-09-2025 12:50:00,1757488800,291.35,291.35,291.25,291.25,292.23,119,0,25048,0
Ok,10-09-2025 12:45:00,1757488500,291.30,291.35,291.25,291.35,292.23,26,0,24929,0
Ok,10-09-2025 12:40:00,1757488200,291.45,291.45,290.70,290.70,290.57,150,0,24903,0
Ok,10-09-2025 12:35:00,1757487900,291.20,291.45,291.20,291.45,290.94,190,0,24753,0
Ok,10-09-2025 12:30:00,1757487600,291.25,291.25,290.80,291.20,292.25,63,0,24563,0
Ok,10-09-2025 12:25:00,1757487300,291.25,291.25,291.25,291.25,0.00,0,0,24500,0
Ok,10-09-2025 12:20:00,1757487000,291.25,291.25,291.25,291.25,292.25,22,0,24500,0
Ok,10-09-2025 12:15:00,1757486700,291.05,291.05,291.05,291.05,0.00,0,0,24478,0
Ok,10-09-2025 12:10:00,1757486400,290.60,291.05,290.60,291.05,289.97,107,0,24478,0
Ok,10-09-2025 12:05:00,1757486100,292.00,292.00,290.85,290.90,290.68,306,0,24371,0
Ok,10-09-2025 12:00:00,1757485800,292.20,292.20,291.30,292.00,291.78,477,0,24065,0
Ok,10-09-2025 11:55:00,1757485500,292.20,292.20,292.20,292.20,0.00,0,0,23588,0
Ok,10-09-2025 11:50:00,1757485200,292.25,292.25,292.20,292.20,292.29,242,0,23588,0
Ok,10-09-2025 11:45:00,1757484900,292.70,293.00,292.70,292.90,293.21,248,0,23346,0
Ok,10-09-2025 11:40:00,1757484600,292.10,292.25,292.10,292.25,292.28,855,0,23098,0
Ok,10-09-2025 11:35:00,1757484300,294.05,294.05,292.10,292.10,293.24,1091,0,22243,0
Ok,10-09-2025 11:30:00,1757484000,294.30,294.30,293.55,293.55,294.01,575,0,21152,0
Ok,10-09-2025 11:25:00,1757483700,294.80,294.80,294.80,294.80,0.00,0,0,20577,0
Ok,10-09-2025 11:20:00,1757483400,294.15,295.00,294.05,294.05,295.07,349,0,20577,0
Ok,10-09-2025 11:15:00,1757483100,293.85,294.50,293.10,294.00,293.87,1197,0,20228,0
Ok,10-09-2025 11:10:00,1757482800,292.50,293.80,292.50,293.65,293.18,928,0,19031,0
Ok,10-09-2025 11:05:00,1757482500,292.45,292.55,292.45,292.50,291.96,40,0,18103,0
Ok,10-09-2025 11:00:00,1757482200,291.40,292.60,291.40,292.45,291.95,1007,0,18063,0
Ok,10-09-2025 10:55:00,1757481900,290.35,293.00,290.00,292.05,291.57,2935,0,17056,0
Ok,10-09-2025 10:50:00,1757481600,290.45,290.45,290.35,290.40,292.04,145,0,14121,0
Ok,10-09-2025 10:45:00,1757481300,290.55,290.60,290.25,290.45,291.02,658,0,13976,0
Ok,10-09-2025 10:40:00,1757481000,291.00,291.00,291.00,291.00,292.09,4,0,13318,0
Ok,10-09-2025 10:35:00,1757480700,291.55,291.55,291.00,291.00,292.09,72,0,13314,0
Ok,10-09-2025 10:30:00,1757480400,290.25,291.00,290.25,291.00,292.09,9,0,13242,0
Ok,10-09-2025 10:25:00,1757480100,290.90,291.25,290.25,290.25,290.85,995,0,13233,0
Ok,10-09-2025 10:20:00,1757479800,290.90,290.90,290.90,290.90,291.13,115,0,12238,0
Ok,10-09-2025 10:15:00,1757479500,290.90,290.90,290.90,290.90,0.00,0,0,12123,0
Ok,10-09-2025 10:10:00,1757479200,291.90,291.90,290.90,290.90,290.70,544,0,12123,0
Ok,10-09-2025 10:05:00,1757478900,291.45,291.95,291.30,291.90,292.27,177,0,11579,0
Ok,10-09-2025 10:00:00,1757478600,291.45,291.45,291.45,291.45,292.27,40,0,11402,0
Ok,10-09-2025 09:55:00,1757478300,291.25,291.45,291.25,291.45,292.27,26,0,11362,0
Ok,10-09-2025 09:50:00,1757478000,291.25,291.70,291.00,291.25,291.06,453,0,11336,0
Ok,10-09-2025 09:45:00,1757477700,292.10,292.10,291.00,291.15,291.84,1046,0,10883,0
Ok,10-09-2025 09:40:00,1757477400,291.50,292.25,291.50,292.25,0.00,0,0,9837,0
Ok,10-09-2025 09:35:00,1757477100,292.60,292.60,291.50,291.50,292.36,624,0,9837,0
Ok,10-09-2025 09:30:00,1757476800,293.05,293.05,292.55,292.60,292.72,249,0,9213,0
Ok,10-09-2025 09:25:00,1757476500,291.35,293.05,291.30,293.05,291.99,1803,0,8964,0
Ok,10-09-2025 09:20:00,1757476200,291.25,292.35,290.35,291.55,291.54,3519,0,7161,0
Ok,10-09-2025 09:15:00,1757475900,292.70,296.50,291.60,292.00,293.63,3103,0,3642,0
