stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,215.24,215.49,212.90,213.00,213.68,1537,0,65360,0
Ok,10-09-2025 15:20:00,1757497800,216.23,216.73,215.00,215.00,215.72,2073,0,63823,0
Ok,10-09-2025 15:15:00,1757497500,216.07,216.07,215.85,215.85,216.12,841,0,61750,0
Ok,10-09-2025 15:10:00,1757497200,216.01,217.30,216.00,216.09,216.92,902,0,60909,0
Ok,10-09-2025 15:05:00,1757496900,216.08,216.79,216.00,216.00,216.54,561,0,60007,0
Ok,10-09-2025 15:00:00,1757496600,217.30,217.30,215.42,215.90,215.80,647,0,59446,0
Ok,10-09-2025 14:55:00,1757496300,217.31,217.31,217.31,217.31,0.00,0,0,58799,0
Ok,10-09-2025 14:50:00,1757496000,217.30,217.31,217.30,217.31,217.64,20,0,58799,0
Ok,10-09-2025 14:45:00,1757495700,216.96,217.30,216.96,217.30,217.64,56,0,58779,0
Ok,10-09-2025 14:40:00,1757495400,216.93,216.93,216.65,216.81,217.64,19,0,58723,0
Ok,10-09-2025 14:35:00,1757495100,217.00,217.00,216.46,216.93,217.64,178,0,58704,0
Ok,10-09-2025 14:30:00,1757494800,217.07,217.07,216.62,216.62,217.64,91,0,58526,0
Ok,10-09-2025 14:25:00,1757494500,216.66,217.08,216.66,217.07,217.64,60,0,58435,0
Ok,10-09-2025 14:20:00,1757494200,217.33,217.33,216.58,216.66,214.38,179,0,58375,0
Ok,10-09-2025 14:15:00,1757493900,217.57,217.57,216.71,217.25,217.65,152,0,58196,0
Ok,10-09-2025 14:10:00,1757493600,218.49,218.90,217.44,217.57,217.65,205,0,58044,0
Ok,10-09-2025 14:05:00,1757493300,217.84,218.03,217.60,218.03,217.65,141,0,57839,0
Ok,10-09-2025 14:00:00,1757493000,218.11,218.48,217.99,217.99,219.16,379,0,57698,0
Ok,10-09-2025 13:55:00,1757492700,221.75,221.75,218.45,218.45,220.87,2375,0,57319,0
Ok,10-09-2025 13:50:00,1757492400,221.72,221.97,221.70,221.70,221.66,4810,0,54944,0
Ok,10-09-2025 13:45:00,1757492100,220.27,222.10,220.11,221.71,220.95,1266,0,50134,0
Ok,10-09-2025 13:40:00,1757491800,219.70,220.27,218.49,220.27,219.45,5305,0,48868,0
Ok,10-09-2025 13:35:00,1757491500,219.53,220.36,219.24,220.36,220.57,112,0,43563,0
Ok,10-09-2025 13:30:00,1757491200,218.62,221.10,218.12,219.53,219.84,6642,0,43451,0
Ok,10-09-2025 13:25:00,1757490900,217.66,219.14,217.66,219.12,218.28,990,0,36809,0
Ok,10-09-2025 13:20:00,1757490600,213.52,220.00,213.52,218.17,217.31,8134,0,35819,0
Ok,10-09-2025 13:15:00,1757490300,213.91,214.08,213.52,213.52,215.69,27,0,27685,0
Ok,10-09-2025 13:10:00,1757490000,213.34,214.70,213.34,213.91,213.87,2119,0,27658,0
Ok,10-09-2025 13:05:00,1757489700,213.34,213.34,213.34,213.34,215.84,1,0,25539,0
Ok,10-09-2025 13:00:00,1757489400,213.34,213.34,213.34,213.34,215.84,25,0,25538,0
Ok,10-09-2025 12:55:00,1757489100,213.43,213.69,213.11,213.34,213.24,388,0,25513,0
Ok,10-09-2025 12:50:00,1757488800,213.79,213.79,213.43,213.43,215.88,3,0,25125,0
Ok,10-09-2025 12:45:00,1757488500,213.41,214.03,213.41,213.79,211.78,183,0,25122,0
Ok,10-09-2025 12:40:00,1757488200,213.84,213.95,213.36,213.41,215.91,158,0,24939,0
Ok,10-09-2025 12:35:00,1757487900,213.52,213.60,213.25,213.60,213.13,266,0,24781,0
Ok,10-09-2025 12:30:00,1757487600,213.87,214.39,213.37,213.65,213.99,1086,0,24515,0
Ok,10-09-2025 12:25:00,1757487300,213.32,213.80,213.21,213.80,213.75,504,0,23429,0
Ok,10-09-2025 12:20:00,1757487000,213.53,214.98,212.99,213.69,213.30,6163,0,22925,0
Ok,10-09-2025 12:15:00,1757486700,214.37,215.00,214.01,214.20,215.04,4216,0,16762,0
Ok,10-09-2025 12:10:00,1757486400,215.43,215.74,215.38,215.74,215.57,223,0,12546,0
Ok,10-09-2025 12:05:00,1757486100,215.46,215.46,215.43,215.43,217.83,21,0,12323,0
Ok,10-09-2025 12:00:00,1757485800,215.25,215.56,215.25,215.46,206.64,11,0,12302,0
Ok,10-09-2025 11:55:00,1757485500,215.86,215.86,215.25,215.25,216.31,80,0,12291,0
Ok,10-09-2025 11:50:00,1757485200,215.86,215.86,215.86,215.86,0.00,0,0,12211,0
Ok,10-09-2025 11:45:00,1757484900,216.32,216.54,215.77,215.86,215.94,434,0,12211,0
Ok,10-09-2025 11:40:00,1757484600,215.77,216.19,215.77,216.19,217.92,15,0,11777,0
Ok,10-09-2025 11:35:00,1757484300,215.62,216.36,215.62,215.77,215.38,447,0,11762,0
Ok,10-09-2025 11:30:00,1757484000,215.61,215.99,215.27,215.27,215.29,164,0,11315,0
Ok,10-09-2025 11:25:00,1757483700,215.82,215.83,215.29,215.61,215.65,271,0,11151,0
Ok,10-09-2025 11:20:00,1757483400,215.30,215.77,215.25,215.25,215.33,730,0,10880,0
Ok,10-09-2025 11:15:00,1757483100,216.39,216.39,215.68,215.68,215.83,431,0,10150,0
Ok,10-09-2025 11:10:00,1757482800,216.02,216.03,216.02,216.03,218.43,10,0,9719,0
Ok,10-09-2025 11:05:00,1757482500,216.70,216.70,216.02,216.02,216.02,198,0,9709,0
Ok,10-09-2025 11:00:00,1757482200,216.20,216.54,215.73,216.13,215.98,835,0,9511,0
Ok,10-09-2025 10:55:00,1757481900,216.20,216.51,216.20,216.20,216.61,395,0,8676,0
Ok,10-09-2025 10:50:00,1757481600,216.50,216.50,216.20,216.20,215.95,86,0,8281,0
Ok,10-09-2025 10:45:00,1757481300,217.32,217.32,216.42,216.50,216.65,147,0,8195,0
Ok,10-09-2025 10:40:00,1757481000,217.85,217.85,216.77,217.32,216.83,265,0,8048,0
Ok,10-09-2025 10:35:00,1757480700,218.63,218.63,218.21,218.21,218.96,157,0,7783,0
Ok,10-09-2025 10:30:00,1757480400,218.31,218.63,218.31,218.63,218.96,30,0,7626,0
Ok,10-09-2025 10:25:00,1757480100,218.40,218.62,218.40,218.62,218.96,26,0,7596,0
Ok,10-09-2025 10:20:00,1757479800,218.72,218.72,218.62,218.62,218.96,60,0,7570,0
Ok,10-09-2025 10:15:00,1757479500,218.25,218.98,218.21,218.34,218.53,340,0,7510,0
Ok,10-09-2025 10:10:00,1757479200,218.46,218.83,217.90,218.21,218.13,765,0,7170,0
Ok,10-09-2025 10:05:00,1757478900,218.02,218.70,217.96,218.70,218.70,626,0,6405,0
Ok,10-09-2025 10:00:00,1757478600,217.75,218.03,217.75,218.02,217.88,137,0,5779,0
Ok,10-09-2025 09:55:00,1757478300,217.71,217.98,217.69,217.75,217.74,998,0,5642,0
Ok,10-09-2025 09:50:00,1757478000,218.28,218.28,217.60,217.60,217.48,70,0,4644,0
Ok,10-09-2025 09:45:00,1757477700,219.25,219.40,218.00,218.06,218.55,821,0,4574,0
Ok,10-09-2025 09:40:00,1757477400,218.45,219.25,218.45,219.25,218.91,186,0,3753,0
Ok,10-09-2025 09:35:00,1757477100,218.45,218.75,218.45,218.71,217.18,14,0,3567,0
Ok,10-09-2025 09:30:00,1757476800,219.00,220.01,218.45,218.45,219.62,1740,0,3553,0
Ok,10-09-2025 09:25:00,1757476500,219.00,219.47,219.00,219.00,219.13,482,0,1813,0
Ok,10-09-2025 09:20:00,1757476200,220.15,220.39,219.00,219.01,219.42,483,0,1331,0
Ok,10-09-2025 09:15:00,1757475900,219.40,221.70,219.31,219.31,220.51,798,0,848,0
