stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,446.90,447.25,445.60,447.00,446.19,21284,0,677887,0
Ok,10-09-2025 15:20:00,1757497800,447.60,448.50,446.65,446.85,446.94,15750,0,656603,0
Ok,10-09-2025 15:15:00,1757497500,448.00,448.95,446.80,447.00,448.63,7773,0,640853,0
Ok,10-09-2025 15:10:00,1757497200,447.80,449.00,447.15,447.55,448.08,9101,0,633080,0
Ok,10-09-2025 15:05:00,1757496900,447.45,447.80,447.05,447.55,443.24,1000,0,623979,0
Ok,10-09-2025 15:00:00,1757496600,447.35,447.85,447.00,447.05,449.49,1807,0,622979,0
Ok,10-09-2025 14:55:00,1757496300,447.30,447.35,447.00,447.00,442.61,902,0,621172,0
Ok,10-09-2025 14:50:00,1757496000,446.30,447.30,446.20,446.80,447.20,2689,0,620270,0
Ok,10-09-2025 14:45:00,1757495700,446.20,447.30,446.05,446.20,447.18,5263,0,617581,0
Ok,10-09-2025 14:40:00,1757495400,446.40,446.85,446.40,446.50,449.53,474,0,612318,0
Ok,10-09-2025 14:35:00,1757495100,446.95,447.30,446.70,446.70,446.65,2126,0,611844,0
Ok,10-09-2025 14:30:00,1757494800,447.35,447.35,447.00,447.00,440.11,646,0,609718,0
Ok,10-09-2025 14:25:00,1757494500,447.45,447.45,447.05,447.10,449.55,470,0,609072,0
Ok,10-09-2025 14:20:00,1757494200,447.05,447.55,446.75,447.00,449.55,1238,0,608602,0
Ok,10-09-2025 14:15:00,1757493900,447.35,447.65,447.05,447.50,449.55,356,0,607364,0
Ok,10-09-2025 14:10:00,1757493600,447.40,448.10,446.80,447.05,447.27,5308,0,607008,0
Ok,10-09-2025 14:05:00,1757493300,448.75,448.80,447.45,447.50,446.65,2059,0,601700,0
Ok,10-09-2025 14:00:00,1757493000,449.60,449.65,448.50,448.50,449.58,2059,0,599641,0
Ok,10-09-2025 13:55:00,1757492700,451.10,451.15,449.00,449.55,449.36,26952,0,597582,0
Ok,10-09-2025 13:50:00,1757492400,450.00,451.20,450.00,450.80,452.13,2226,0,570630,0
Ok,10-09-2025 13:45:00,1757492100,450.10,450.15,450.00,450.00,449.58,2134,0,568404,0
Ok,10-09-2025 13:40:00,1757491800,450.15,450.55,450.10,450.10,449.58,564,0,566270,0
Ok,10-09-2025 13:35:00,1757491500,450.20,450.80,450.00,450.20,449.58,1991,0,565706,0
Ok,10-09-2025 13:30:00,1757491200,450.70,451.20,449.35,450.25,450.58,5524,0,563715,0
Ok,10-09-2025 13:25:00,1757490900,450.20,451.05,450.20,451.05,449.57,721,0,558191,0
Ok,10-09-2025 13:20:00,1757490600,450.75,450.85,450.20,450.70,449.57,556,0,557470,0
Ok,10-09-2025 13:15:00,1757490300,451.75,451.75,450.30,450.30,452.65,1798,0,556914,0
Ok,10-09-2025 13:10:00,1757490000,452.25,452.25,451.20,451.40,452.07,6540,0,555116,0
Ok,10-09-2025 13:05:00,1757489700,452.80,453.10,452.65,453.00,449.53,222,0,548576,0
Ok,10-09-2025 13:00:00,1757489400,453.00,453.30,452.80,453.25,454.22,5778,0,548354,0
Ok,10-09-2025 12:55:00,1757489100,452.60,452.70,452.60,452.70,449.48,586,0,542576,0
Ok,10-09-2025 12:50:00,1757488800,453.00,453.00,452.60,452.60,449.48,1286,0,541990,0
Ok,10-09-2025 12:45:00,1757488500,453.35,453.35,452.75,452.75,455.72,864,0,540704,0
Ok,10-09-2025 12:40:00,1757488200,453.80,454.15,453.00,453.00,449.47,1229,0,539840,0
Ok,10-09-2025 12:35:00,1757487900,455.00,455.00,453.70,454.50,454.92,1967,0,538611,0
Ok,10-09-2025 12:30:00,1757487600,455.30,455.95,454.95,454.95,455.63,6000,0,536644,0
Ok,10-09-2025 12:25:00,1757487300,454.40,455.90,454.10,455.35,455.39,9521,0,530644,0
Ok,10-09-2025 12:20:00,1757487000,453.25,455.05,453.25,454.00,454.71,4742,0,521123,0
Ok,10-09-2025 12:15:00,1757486700,455.20,455.20,453.15,453.15,454.61,956,0,516381,0
Ok,10-09-2025 12:10:00,1757486400,456.50,456.50,454.70,455.25,455.28,4208,0,515425,0
Ok,10-09-2025 12:05:00,1757486100,453.95,457.05,453.95,457.00,456.38,61531,0,511217,0
Ok,10-09-2025 12:00:00,1757485800,453.60,454.00,452.50,453.50,452.79,2897,0,449686,0
