stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,296.25,297.60,295.80,295.80,296.53,3584,0,128595,0
Ok,10-09-2025 15:20:00,1757497800,297.10,297.85,295.90,295.90,295.99,5995,0,125011,0
Ok,10-09-2025 15:15:00,1757497500,296.95,297.95,296.00,297.95,297.10,6313,0,119016,0
Ok,10-09-2025 15:10:00,1757497200,296.40,297.05,296.00,297.00,296.57,1879,0,112703,0
Ok,10-09-2025 15:05:00,1757496900,296.50,297.10,296.00,296.00,296.56,3852,0,110824,0
Ok,10-09-2025 15:00:00,1757496600,296.65,296.90,296.25,296.90,297.30,707,0,106972,0
Ok,10-09-2025 14:55:00,1757496300,297.05,297.05,295.60,296.45,295.59,5333,0,106265,0
Ok,10-09-2025 14:50:00,1757496000,296.45,297.05,296.45,297.05,300.58,122,0,100932,0
Ok,10-09-2025 14:45:00,1757495700,297.15,297.15,296.35,296.90,295.35,385,0,100810,0
Ok,10-09-2025 14:40:00,1757495400,297.10,297.45,296.70,296.70,297.44,633,0,100425,0
Ok,10-09-2025 14:35:00,1757495100,296.55,297.45,296.15,296.15,296.35,6367,0,99792,0
Ok,10-09-2025 14:30:00,1757494800,296.80,296.80,296.05,296.05,281.84,49,0,93425,0
Ok,10-09-2025 14:25:00,1757494500,296.70,296.90,295.35,296.80,295.58,6071,0,93376,0
Ok,10-09-2025 14:20:00,1757494200,296.15,296.70,296.15,296.70,301.29,15,0,87305,0
Ok,10-09-2025 14:15:00,1757493900,296.80,296.80,296.15,296.15,293.64,228,0,87290,0
Ok,10-09-2025 14:10:00,1757493600,297.80,297.80,296.00,296.25,296.94,4177,0,87062,0
Ok,10-09-2025 14:05:00,1757493300,297.60,297.80,297.60,297.80,296.54,497,0,82885,0
Ok,10-09-2025 14:00:00,1757493000,297.60,297.60,297.40,297.60,298.59,277,0,82388,0
Ok,10-09-2025 13:55:00,1757492700,297.85,297.85,297.60,297.60,297.57,205,0,82111,0
Ok,10-09-2025 13:50:00,1757492400,297.95,297.95,297.45,297.85,296.88,174,0,81906,0
