stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,652.10,653.35,651.30,651.70,651.91,12167,0,306976,0
Ok,10-09-2025 15:20:00,1757497800,653.10,653.10,651.75,651.75,652.51,7728,0,294809,0
Ok,10-09-2025 15:15:00,1757497500,653.20,653.30,652.90,653.05,652.99,4738,0,287081,0
Ok,10-09-2025 15:10:00,1757497200,652.85,653.45,652.85,653.30,652.86,3630,0,282343,0
Ok,10-09-2025 15:05:00,1757496900,652.65,653.05,652.65,653.05,653.29,2004,0,278713,0
Ok,10-09-2025 15:00:00,1757496600,652.30,652.80,652.15,652.60,652.38,4379,0,276709,0
Ok,10-09-2025 14:55:00,1757496300,652.70,652.70,652.00,652.00,651.98,1803,0,272330,0
Ok,10-09-2025 14:50:00,1757496000,652.30,652.95,652.30,652.60,652.70,2409,0,270527,0
Ok,10-09-2025 14:45:00,1757495700,652.35,652.60,652.10,652.35,652.96,1064,0,268118,0
Ok,10-09-2025 14:40:00,1757495400,654.70,654.95,652.30,652.60,653.32,9834,0,267054,0
Ok,10-09-2025 14:35:00,1757495100,654.80,655.75,654.75,655.00,655.04,7945,0,257220,0
Ok,10-09-2025 14:30:00,1757494800,654.05,655.00,653.50,655.00,654.29,4758,0,249275,0
Ok,10-09-2025 14:25:00,1757494500,651.40,654.30,651.40,654.30,652.87,19496,0,244517,0
Ok,10-09-2025 14:20:00,1757494200,651.60,651.60,651.30,651.60,651.82,2277,0,225021,0
Ok,10-09-2025 14:15:00,1757493900,651.50,651.65,651.40,651.65,649.85,808,0,222744,0
Ok,10-09-2025 14:10:00,1757493600,651.60,651.60,651.15,651.20,651.73,1174,0,221936,0
Ok,10-09-2025 14:05:00,1757493300,651.55,651.80,651.55,651.55,651.66,5879,0,220762,0
Ok,10-09-2025 14:00:00,1757493000,651.40,651.70,651.35,651.60,654.02,506,0,214883,0
Ok,10-09-2025 13:55:00,1757492700,651.15,651.45,651.10,651.45,649.78,267,0,214377,0
Ok,10-09-2025 13:50:00,1757492400,651.70,651.70,651.00,651.25,651.66,3357,0,214110,0
Ok,10-09-2025 13:45:00,1757492100,651.55,651.70,651.45,651.45,649.75,837,0,210753,0
Ok,10-09-2025 13:40:00,1757491800,650.70,651.95,650.60,651.55,651.19,8349,0,209916,0
Ok,10-09-2025 13:35:00,1757491500,650.65,650.90,650.55,650.65,650.32,3110,0,201567,0
Ok,10-09-2025 13:30:00,1757491200,650.40,650.60,650.35,650.60,651.18,1306,0,198457,0
Ok,10-09-2025 13:25:00,1757490900,650.45,650.50,650.20,650.30,649.67,727,0,197151,0
Ok,10-09-2025 13:20:00,1757490600,650.35,650.35,650.10,650.25,649.67,378,0,196424,0
Ok,10-09-2025 13:15:00,1757490300,650.25,650.35,649.55,650.35,649.87,23799,0,196046,0
Ok,10-09-2025 13:10:00,1757490000,650.55,650.55,650.05,650.15,650.74,1540,0,172247,0
Ok,10-09-2025 13:05:00,1757489700,650.15,650.55,650.10,650.35,649.63,2220,0,170707,0
Ok,10-09-2025 13:00:00,1757489400,650.40,650.45,650.00,650.00,650.40,12079,0,168487,0
Ok,10-09-2025 12:55:00,1757489100,650.40,650.45,650.10,650.35,650.88,1173,0,156408,0
Ok,10-09-2025 12:50:00,1757488800,650.40,650.70,650.30,650.35,650.21,2332,0,155235,0
Ok,10-09-2025 12:45:00,1757488500,650.15,650.60,650.10,650.55,649.55,560,0,152903,0
Ok,10-09-2025 12:40:00,1757488200,650.25,650.40,650.10,650.10,651.72,696,0,152343,0
Ok,10-09-2025 12:35:00,1757487900,650.25,650.50,649.45,650.15,649.96,6843,0,151647,0
Ok,10-09-2025 12:30:00,1757487600,650.00,650.70,649.90,650.35,650.34,1717,0,144804,0
Ok,10-09-2025 12:25:00,1757487300,649.90,650.30,649.90,650.05,649.51,2345,0,143087,0
Ok,10-09-2025 12:20:00,1757487000,650.30,650.40,649.90,649.90,650.26,1827,0,140742,0
Ok,10-09-2025 12:15:00,1757486700,650.10,650.45,650.10,650.45,651.05,883,0,138915,0
Ok,10-09-2025 12:10:00,1757486400,649.60,650.50,649.60,650.45,649.49,1223,0,138032,0
Ok,10-09-2025 12:05:00,1757486100,648.95,649.55,648.90,649.55,649.49,945,0,136809,0
Ok,10-09-2025 12:00:00,1757485800,650.75,650.75,649.05,649.25,649.86,3483,0,135864,0
Ok,10-09-2025 11:55:00,1757485500,650.05,650.65,650.05,650.50,649.48,477,0,132381,0
Ok,10-09-2025 11:50:00,1757485200,649.65,650.15,649.55,650.05,649.48,1400,0,131904,0
Ok,10-09-2025 11:45:00,1757484900,649.60,649.70,649.55,649.70,649.48,3107,0,130504,0
Ok,10-09-2025 11:40:00,1757484600,649.45,649.55,648.35,649.55,649.13,13425,0,127397,0
Ok,10-09-2025 11:35:00,1757484300,650.75,650.95,649.10,649.10,650.11,7118,0,113972,0
Ok,10-09-2025 11:30:00,1757484000,650.65,650.95,650.60,650.95,649.48,648,0,106854,0
Ok,10-09-2025 11:25:00,1757483700,650.95,651.20,650.30,650.65,650.78,3908,0,106206,0
Ok,10-09-2025 11:20:00,1757483400,650.95,651.05,650.00,651.05,650.57,8208,0,102298,0
Ok,10-09-2025 11:15:00,1757483100,651.65,651.70,650.90,651.00,651.63,1989,0,94090,0
Ok,10-09-2025 11:10:00,1757482800,651.10,651.95,651.05,651.95,651.20,1875,0,92101,0
Ok,10-09-2025 11:05:00,1757482500,651.00,651.20,650.15,651.05,650.51,7125,0,90226,0
Ok,10-09-2025 11:00:00,1757482200,650.70,651.05,650.65,651.05,651.49,698,0,83101,0
Ok,10-09-2025 10:55:00,1757481900,650.70,650.80,650.25,650.65,650.27,700,0,82403,0
Ok,10-09-2025 10:50:00,1757481600,649.55,650.40,649.55,650.40,650.14,1528,0,81703,0
Ok,10-09-2025 10:45:00,1757481300,650.10,650.20,649.55,649.60,649.61,1460,0,80175,0
Ok,10-09-2025 10:40:00,1757481000,650.65,650.65,649.80,650.20,650.36,3478,0,78715,0
Ok,10-09-2025 10:35:00,1757480700,651.05,651.30,650.40,650.45,651.15,1038,0,75237,0
Ok,10-09-2025 10:30:00,1757480400,651.45,651.70,651.00,651.00,650.82,1573,0,74199,0
Ok,10-09-2025 10:25:00,1757480100,650.70,651.50,650.50,651.50,651.13,2556,0,72626,0
Ok,10-09-2025 10:20:00,1757479800,651.20,651.55,650.80,650.80,651.20,1746,0,70070,0
Ok,10-09-2025 10:15:00,1757479500,651.75,651.80,651.30,651.55,651.11,5168,0,68324,0
Ok,10-09-2025 10:10:00,1757479200,651.30,651.70,651.00,651.70,651.32,1584,0,63156,0
Ok,10-09-2025 10:05:00,1757478900,651.35,651.70,650.95,651.00,651.15,2477,0,61572,0
Ok,10-09-2025 10:00:00,1757478600,650.30,651.15,650.05,651.15,650.31,3242,0,59095,0
Ok,10-09-2025 09:55:00,1757478300,649.75,650.50,649.75,650.40,649.96,3484,0,55853,0
Ok,10-09-2025 09:50:00,1757478000,648.60,649.50,648.30,649.50,648.70,7954,0,52369,0
Ok,10-09-2025 09:45:00,1757477700,648.90,649.05,647.95,648.55,648.38,3127,0,44415,0
Ok,10-09-2025 09:40:00,1757477400,648.30,648.90,648.30,648.75,648.51,2734,0,41288,0
Ok,10-09-2025 09:35:00,1757477100,649.45,649.45,648.15,648.25,648.47,3405,0,38554,0
Ok,10-09-2025 09:30:00,1757476800,647.45,649.70,647.35,649.50,648.81,7347,0,35149,0
Ok,10-09-2025 09:25:00,1757476500,646.15,647.30,645.20,647.05,646.56,2448,0,27802,0
Ok,10-09-2025 09:20:00,1757476200,647.25,647.60,645.10,646.00,646.01,13239,0,25354,0
Ok,10-09-2025 09:15:00,1757475900,646.00,653.00,646.00,646.50,650.31,11464,0,12115,0
