stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,10-09-2025 15:25:00,1757498100,304.35,306.00,303.00,304.80,304.44,18527,0,333347,0
Ok,10-09-2025 15:20:00,1757497800,304.25,305.25,302.00,304.20,303.59,27774,0,314820,0
Ok,10-09-2025 15:15:00,1757497500,304.75,305.50,303.50,303.90,304.55,15960,0,287046,0
Ok,10-09-2025 15:10:00,1757497200,305.65,306.45,304.55,305.00,305.32,21240,0,271086,0
Ok,10-09-2025 15:05:00,1757496900,305.00,305.70,304.80,305.50,305.35,14195,0,249846,0
Ok,10-09-2025 15:00:00,1757496600,302.40,305.00,302.00,304.90,303.45,16547,0,235651,0
Ok,10-09-2025 14:55:00,1757496300,300.90,302.60,299.55,302.00,301.13,14204,0,219104,0
Ok,10-09-2025 14:50:00,1757496000,299.20,301.35,299.20,300.95,300.84,2927,0,204900,0
Ok,10-09-2025 14:45:00,1757495700,299.90,299.90,298.50,299.50,299.22,17729,0,201973,0
Ok,10-09-2025 14:40:00,1757495400,302.15,302.50,299.90,300.00,301.06,13529,0,184244,0
Ok,10-09-2025 14:35:00,1757495100,302.85,303.10,301.80,301.80,302.15,11306,0,170715,0
Ok,10-09-2025 14:30:00,1757494800,303.35,303.45,302.60,302.60,303.07,2973,0,159409,0
Ok,10-09-2025 14:25:00,1757494500,303.85,303.85,302.95,303.00,303.18,8561,0,156436,0
Ok,10-09-2025 14:20:00,1757494200,304.45,304.45,303.75,303.85,303.54,1502,0,147875,0
Ok,10-09-2025 14:15:00,1757493900,305.10,305.10,304.00,304.05,306.51,382,0,146373,0
Ok,10-09-2025 14:10:00,1757493600,305.30,305.40,304.50,304.50,304.30,2611,0,145991,0
Ok,10-09-2025 14:05:00,1757493300,305.15,305.30,305.15,305.30,306.04,2801,0,143380,0
Ok,10-09-2025 14:00:00,1757493000,304.10,304.40,304.10,304.40,303.82,513,0,140579,0
Ok,10-09-2025 13:55:00,1757492700,304.35,304.50,304.10,304.10,306.57,155,0,140066,0
