stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,976.40,978.15,975.75,978.15,976.06,1737,0,226202,0
Ok,11-09-2025 10:40:00,1757567400,977.00,977.30,975.15,976.10,976.79,3968,0,224465,0
Ok,11-09-2025 10:35:00,1757567100,977.85,979.50,976.15,976.15,978.14,4104,0,220497,0
Ok,11-09-2025 10:30:00,1757566800,971.60,979.95,971.60,977.00,976.85,7663,0,216393,0
Ok,11-09-2025 10:25:00,1757566500,975.60,975.75,970.35,972.55,972.77,4917,0,208730,0
Ok,11-09-2025 10:20:00,1757566200,977.40,979.05,972.00,974.40,975.30,10996,0,203813,0
Ok,11-09-2025 10:15:00,1757565900,978.55,978.55,974.00,977.25,975.92,10256,0,192817,0
Ok,11-09-2025 10:10:00,1757565600,973.35,981.00,973.35,980.00,977.00,13255,0,182561,0
Ok,11-09-2025 10:05:00,1757565300,973.60,978.05,971.05,971.05,974.75,9640,0,169306,0
Ok,11-09-2025 10:00:00,1757565000,975.00,979.75,973.25,973.25,976.92,10060,0,159666,0
Ok,11-09-2025 09:55:00,1757564700,977.20,982.75,974.75,974.75,979.32,41290,0,149606,0
Ok,11-09-2025 09:50:00,1757564400,973.10,977.70,970.90,977.00,974.56,11506,0,108316,0
Ok,11-09-2025 09:45:00,1757564100,971.50,976.00,967.45,973.15,971.54,10454,0,96810,0
Ok,11-09-2025 09:40:00,1757563800,971.80,973.15,968.85,970.50,971.50,8756,0,86356,0
Ok,11-09-2025 09:35:00,1757563500,969.60,973.45,969.00,973.25,971.50,10780,0,77600,0
Ok,11-09-2025 09:30:00,1757563200,961.40,975.00,960.25,967.75,970.32,16524,0,66820,0
Ok,11-09-2025 09:25:00,1757562900,965.40,967.40,961.50,962.65,964.16,7956,0,50296,0
Ok,11-09-2025 09:20:00,1757562600,963.00,966.00,958.50,963.95,961.65,13042,0,42340,0
Ok,11-09-2025 09:15:00,1757562300,967.95,977.00,962.45,963.25,969.67,29298,0,29298,0
