stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,168.33,168.35,168.06,168.18,168.27,4278,0,1165136,0
Ok,11-09-2025 10:40:00,1757567400,168.30,168.61,168.23,168.35,168.27,7531,0,1160858,0
Ok,11-09-2025 10:35:00,1757567100,168.98,169.03,168.15,168.23,169.25,44829,0,1153327,0
Ok,11-09-2025 10:30:00,1757566800,166.74,168.90,166.73,168.90,168.28,161602,0,1108498,0
Ok,11-09-2025 10:25:00,1757566500,166.93,166.98,166.36,166.70,166.70,36255,0,946896,0
Ok,11-09-2025 10:20:00,1757566200,166.99,167.23,166.54,166.75,166.68,38431,0,910641,0
Ok,11-09-2025 10:15:00,1757565900,167.64,167.86,166.80,166.80,167.32,63571,0,872210,0
Ok,11-09-2025 10:10:00,1757565600,167.43,167.70,167.28,167.65,167.52,17508,0,808639,0
Ok,11-09-2025 10:05:00,1757565300,166.91,167.39,166.75,167.36,166.30,10911,0,791131,0
Ok,11-09-2025 10:00:00,1757565000,167.30,167.49,166.78,166.78,167.45,29568,0,780220,0
Ok,11-09-2025 09:55:00,1757564700,167.82,167.82,167.25,167.31,167.46,27650,0,750652,0
Ok,11-09-2025 09:50:00,1757564400,166.89,167.95,166.80,167.70,167.56,27931,0,723002,0
Ok,11-09-2025 09:45:00,1757564100,167.17,167.19,166.42,166.84,166.71,38401,0,695071,0
Ok,11-09-2025 09:40:00,1757563800,167.39,167.61,166.95,167.20,167.15,58017,0,656670,0
Ok,11-09-2025 09:35:00,1757563500,167.76,167.76,167.06,167.42,167.30,59084,0,598653,0
Ok,11-09-2025 09:30:00,1757563200,168.50,168.50,166.71,167.94,167.55,172536,0,539569,0
Ok,11-09-2025 09:25:00,1757562900,168.69,169.19,168.69,168.76,168.92,41450,0,367033,0
Ok,11-09-2025 09:20:00,1757562600,169.28,170.64,168.49,168.85,169.44,107135,0,325583,0
Ok,11-09-2025 09:15:00,1757562300,169.25,171.44,168.76,169.01,169.99,218448,0,218448,0
