stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,2037.70,2038.40,2036.30,2037.00,2037.30,23633,0,720785,0
Ok,11-09-2025 15:20:00,1757584200,2037.20,2038.50,2036.30,2038.00,2036.98,15207,0,697152,0
Ok,11-09-2025 15:15:00,1757583900,2037.80,2038.40,2036.10,2037.70,2037.36,20335,0,681945,0
Ok,11-09-2025 15:10:00,1757583600,2039.00,2039.10,2037.20,2037.60,2037.69,11679,0,661610,0
Ok,11-09-2025 15:05:00,1757583300,2039.60,2039.90,2038.50,2039.40,2038.70,7134,0,649931,0
Ok,11-09-2025 15:00:00,1757583000,2040.00,2041.40,2038.70,2039.90,2039.80,13121,0,642797,0
Ok,11-09-2025 14:55:00,1757582700,2040.10,2041.00,2038.40,2040.40,2039.51,15241,0,629676,0
Ok,11-09-2025 14:50:00,1757582400,2041.10,2042.00,2040.50,2041.30,2040.89,2400,0,614435,0
Ok,11-09-2025 14:45:00,1757582100,2041.20,2042.90,2040.80,2041.20,2042.36,9151,0,612035,0
Ok,11-09-2025 14:40:00,1757581800,2043.00,2043.40,2041.00,2042.00,2041.91,3843,0,602884,0
Ok,11-09-2025 14:35:00,1757581500,2040.30,2043.40,2040.30,2043.20,2042.22,10715,0,599041,0
Ok,11-09-2025 14:30:00,1757581200,2041.10,2041.40,2038.20,2040.60,2039.84,10678,0,588326,0
Ok,11-09-2025 14:25:00,1757580900,2040.40,2041.90,2040.40,2041.50,2041.28,7787,0,577648,0
Ok,11-09-2025 14:20:00,1757580600,2039.90,2040.80,2039.70,2040.70,2039.22,4393,0,569861,0
Ok,11-09-2025 14:15:00,1757580300,2039.30,2040.00,2039.10,2040.00,2040.20,2310,0,565468,0
Ok,11-09-2025 14:10:00,1757580000,2039.80,2039.90,2038.70,2039.80,2041.53,1802,0,563158,0
Ok,11-09-2025 14:05:00,1757579700,2039.50,2040.00,2038.80,2039.20,2038.52,1729,0,561356,0
Ok,11-09-2025 14:00:00,1757579400,2039.90,2039.90,2037.10,2039.00,2037.72,2280,0,559627,0
Ok,11-09-2025 13:55:00,1757579100,2038.10,2039.90,2037.20,2039.80,2038.33,7179,0,557347,0
Ok,11-09-2025 13:50:00,1757578800,2039.60,2040.00,2037.60,2039.00,2038.07,1925,0,550168,0
Ok,11-09-2025 13:45:00,1757578500,2035.80,2040.00,2035.80,2040.00,2036.74,30450,0,548243,0
Ok,11-09-2025 13:40:00,1757578200,2038.50,2039.20,2035.80,2036.00,2036.26,21663,0,517793,0
Ok,11-09-2025 13:35:00,1757577900,2037.90,2038.90,2036.80,2038.20,2037.53,2011,0,496130,0
Ok,11-09-2025 13:30:00,1757577600,2036.40,2038.10,2036.30,2037.30,2036.77,8519,0,494119,0
Ok,11-09-2025 13:25:00,1757577300,2035.90,2036.40,2035.30,2036.30,2035.98,14944,0,485600,0
