stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,1289.00,1289.00,1287.50,1288.60,1288.37,1839,0,359825,0
Ok,11-09-2025 10:40:00,1757567400,1288.80,1289.60,1287.70,1289.40,1289.01,10627,0,357986,0
Ok,11-09-2025 10:35:00,1757567100,1286.20,1288.40,1286.10,1288.40,1287.02,11070,0,347359,0
Ok,11-09-2025 10:30:00,1757566800,1287.90,1288.00,1286.40,1286.80,1286.64,2616,0,336289,0
Ok,11-09-2025 10:25:00,1757566500,1287.90,1288.00,1286.10,1287.50,1287.44,5372,0,333673,0
Ok,11-09-2025 10:20:00,1757566200,1288.50,1288.80,1287.00,1288.10,1287.26,10635,0,328301,0
Ok,11-09-2025 10:15:00,1757565900,1288.50,1289.50,1288.00,1288.60,1289.83,3760,0,317666,0
Ok,11-09-2025 10:10:00,1757565600,1289.90,1290.50,1288.00,1288.90,1289.18,14047,0,313906,0
Ok,11-09-2025 10:05:00,1757565300,1289.00,1290.20,1288.40,1289.80,1289.02,5129,0,299859,0
Ok,11-09-2025 10:00:00,1757565000,1290.50,1291.60,1287.70,1289.20,1289.47,15030,0,294730,0
Ok,11-09-2025 09:55:00,1757564700,1290.20,1290.70,1288.50,1290.40,1289.41,18287,0,279700,0
Ok,11-09-2025 09:50:00,1757564400,1288.10,1291.10,1288.10,1290.30,1290.02,27857,0,261413,0
Ok,11-09-2025 09:45:00,1757564100,1284.20,1288.10,1283.40,1288.00,1285.55,33773,0,233556,0
Ok,11-09-2025 09:40:00,1757563800,1285.60,1285.60,1283.70,1285.00,1284.56,18343,0,199783,0
Ok,11-09-2025 09:35:00,1757563500,1286.20,1286.20,1283.20,1285.80,1284.81,23533,0,181440,0
Ok,11-09-2025 09:30:00,1757563200,1289.40,1289.40,1284.20,1286.50,1286.31,40724,0,157907,0
Ok,11-09-2025 09:25:00,1757562900,1297.00,1297.00,1289.70,1289.70,1292.31,35911,0,117183,0
Ok,11-09-2025 09:20:00,1757562600,1297.00,1299.20,1295.20,1297.70,1297.73,22885,0,81272,0
Ok,11-09-2025 09:15:00,1757562300,1301.50,1301.60,1294.20,1295.60,1298.69,58387,0,58387,0
