stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,6761.50,6765.00,6757.00,6758.50,6761.22,15357,0,719472,0
Ok,11-09-2025 15:20:00,1757584200,6760.00,6764.50,6759.50,6761.00,6760.87,16281,0,704115,0
Ok,11-09-2025 15:15:00,1757583900,6753.50,6761.00,6753.50,6760.50,6758.05,13806,0,687834,0
Ok,11-09-2025 15:10:00,1757583600,6759.00,6759.50,6750.00,6753.00,6753.46,31215,0,674028,0
Ok,11-09-2025 15:05:00,1757583300,6759.50,6760.00,6757.00,6758.50,6757.98,11219,0,642813,0
Ok,11-09-2025 15:00:00,1757583000,6764.00,6765.00,6756.50,6759.00,6760.95,17342,0,631594,0
Ok,11-09-2025 14:55:00,1757582700,6760.00,6764.50,6755.00,6763.00,6759.50,17075,0,614252,0
Ok,11-09-2025 14:50:00,1757582400,6763.00,6764.50,6758.00,6760.50,6760.22,9007,0,597177,0
Ok,11-09-2025 14:45:00,1757582100,6765.00,6766.50,6758.00,6762.50,6763.00,8057,0,588170,0
Ok,11-09-2025 14:40:00,1757581800,6771.00,6772.50,6764.50,6764.50,6766.79,5478,0,580113,0
Ok,11-09-2025 14:35:00,1757581500,6770.00,6774.00,6767.50,6772.00,6771.20,4725,0,574635,0
Ok,11-09-2025 14:30:00,1757581200,6767.00,6770.00,6764.50,6769.50,6766.89,9178,0,569910,0
Ok,11-09-2025 14:25:00,1757580900,6771.00,6771.00,6768.00,6770.00,6769.20,2354,0,560732,0
Ok,11-09-2025 14:20:00,1757580600,6768.50,6771.50,6768.00,6769.50,6768.23,2647,0,558378,0
Ok,11-09-2025 14:15:00,1757580300,6772.50,6777.00,6768.00,6768.00,6772.21,3366,0,555731,0
Ok,11-09-2025 14:10:00,1757580000,6768.00,6774.50,6766.00,6773.50,6771.72,3094,0,552365,0
Ok,11-09-2025 14:05:00,1757579700,6774.00,6779.50,6766.00,6767.00,6773.05,5611,0,549271,0
Ok,11-09-2025 14:00:00,1757579400,6784.50,6784.50,6769.00,6773.50,6774.28,5799,0,543660,0
Ok,11-09-2025 13:55:00,1757579100,6783.50,6786.50,6780.00,6783.50,6782.14,3378,0,537861,0
Ok,11-09-2025 13:50:00,1757578800,6795.00,6795.00,6782.50,6782.50,6788.67,4904,0,534483,0
Ok,11-09-2025 13:45:00,1757578500,6790.00,6796.00,6789.50,6794.50,6793.93,2448,0,529579,0
Ok,11-09-2025 13:40:00,1757578200,6785.00,6798.50,6782.50,6789.50,6792.30,14051,0,527131,0
Ok,11-09-2025 13:35:00,1757577900,6779.00,6788.00,6777.00,6784.50,6781.95,4332,0,513080,0
Ok,11-09-2025 13:30:00,1757577600,6778.00,6780.00,6774.00,6779.50,6777.31,4642,0,508748,0
Ok,11-09-2025 13:25:00,1757577300,6774.00,6777.00,6772.00,6776.50,6773.55,2070,0,504106,0
Ok,11-09-2025 13:20:00,1757577000,6775.00,6776.00,6769.00,6773.50,6773.87,4370,0,502036,0
Ok,11-09-2025 13:15:00,1757576700,6774.50,6777.00,6773.50,6774.50,6773.04,1830,0,497666,0
Ok,11-09-2025 13:10:00,1757576400,6773.50,6775.00,6771.50,6774.00,6775.42,1614,0,495836,0
Ok,11-09-2025 13:05:00,1757576100,6770.00,6776.00,6769.00,6773.00,6774.68,2580,0,494222,0
Ok,11-09-2025 13:00:00,1757575800,6766.00,6772.00,6764.50,6771.00,6769.19,4700,0,491642,0
Ok,11-09-2025 12:55:00,1757575500,6769.00,6772.00,6763.50,6766.50,6768.68,5821,0,486942,0
Ok,11-09-2025 12:50:00,1757575200,6769.00,6771.00,6765.00,6768.50,6768.30,5930,0,481121,0
Ok,11-09-2025 12:45:00,1757574900,6767.00,6770.00,6763.00,6769.50,6768.33,1800,0,475191,0
Ok,11-09-2025 12:40:00,1757574600,6769.50,6779.00,6767.00,6768.00,6771.72,5229,0,473391,0
Ok,11-09-2025 12:35:00,1757574300,6772.50,6774.50,6767.00,6770.00,6772.89,1534,0,468162,0
Ok,11-09-2025 12:30:00,1757574000,6770.00,6783.00,6767.50,6773.50,6773.05,32207,0,466628,0
Ok,11-09-2025 12:25:00,1757573700,6764.50,6775.50,6761.00,6770.50,6766.25,23678,0,434421,0
Ok,11-09-2025 12:20:00,1757573400,6778.50,6778.50,6759.00,6765.00,6767.41,28978,0,410743,0
Ok,11-09-2025 12:15:00,1757573100,6766.50,6780.50,6761.50,6778.00,6767.58,24708,0,381765,0
Ok,11-09-2025 12:10:00,1757572800,6767.00,6770.00,6766.00,6767.50,6768.69,3167,0,357057,0
Ok,11-09-2025 12:05:00,1757572500,6767.00,6770.00,6763.50,6768.00,6765.96,9939,0,353890,0
Ok,11-09-2025 12:00:00,1757572200,6763.50,6767.00,6762.00,6763.50,6765.19,11770,0,343951,0
Ok,11-09-2025 11:55:00,1757571900,6768.50,6773.50,6762.00,6764.00,6765.69,19687,0,332181,0
Ok,11-09-2025 11:50:00,1757571600,6776.00,6776.00,6767.00,6768.00,6770.16,16010,0,312494,0
Ok,11-09-2025 11:45:00,1757571300,6777.00,6792.50,6774.00,6776.50,6783.29,28305,0,296484,0
Ok,11-09-2025 11:40:00,1757571000,6788.00,6790.50,6772.50,6776.50,6782.61,15441,0,268179,0
Ok,11-09-2025 11:35:00,1757570700,6790.50,6797.50,6787.00,6788.50,6792.70,16220,0,252738,0
Ok,11-09-2025 11:30:00,1757570400,6781.00,6795.50,6778.00,6790.00,6787.39,10718,0,236518,0
Ok,11-09-2025 11:25:00,1757570100,6781.00,6784.00,6778.00,6780.00,6780.34,3844,0,225800,0
Ok,11-09-2025 11:20:00,1757569800,6771.00,6786.50,6771.00,6780.00,6781.08,8100,0,221956,0
Ok,11-09-2025 11:15:00,1757569500,6780.50,6788.00,6771.00,6771.50,6777.87,5966,0,213856,0
Ok,11-09-2025 11:10:00,1757569200,6780.00,6789.00,6776.50,6781.50,6782.58,7115,0,207890,0
Ok,11-09-2025 11:05:00,1757568900,6780.00,6785.50,6777.50,6778.00,6781.31,5591,0,200775,0
Ok,11-09-2025 11:00:00,1757568600,6778.00,6781.50,6777.00,6779.50,6780.38,3658,0,195184,0
Ok,11-09-2025 10:55:00,1757568300,6778.50,6784.50,6776.50,6780.00,6780.83,3836,0,191526,0
Ok,11-09-2025 10:50:00,1757568000,6779.00,6781.00,6773.50,6781.00,6776.94,3525,0,187690,0
Ok,11-09-2025 10:45:00,1757567700,6773.50,6780.50,6771.00,6777.00,6776.48,5453,0,184165,0
Ok,11-09-2025 10:40:00,1757567400,6765.00,6779.50,6763.00,6775.00,6770.31,7505,0,178712,0
Ok,11-09-2025 10:35:00,1757567100,6761.50,6769.00,6761.50,6764.00,6765.15,5833,0,171207,0
Ok,11-09-2025 10:30:00,1757566800,6769.00,6780.50,6760.50,6761.00,6765.91,21821,0,165374,0
Ok,11-09-2025 10:25:00,1757566500,6763.00,6771.50,6760.00,6767.50,6765.33,12522,0,143553,0
Ok,11-09-2025 10:20:00,1757566200,6778.00,6779.50,6757.50,6760.50,6768.38,17592,0,131031,0
Ok,11-09-2025 10:15:00,1757565900,6785.00,6787.00,6768.50,6777.00,6776.75,21659,0,113439,0
Ok,11-09-2025 10:10:00,1757565600,6789.00,6796.00,6784.50,6786.50,6790.41,6985,0,91780,0
Ok,11-09-2025 10:05:00,1757565300,6791.00,6794.50,6788.00,6790.00,6789.99,4009,0,84795,0
Ok,11-09-2025 10:00:00,1757565000,6795.00,6797.00,6787.50,6789.00,6791.99,4649,0,80786,0
Ok,11-09-2025 09:55:00,1757564700,6802.00,6802.00,6795.00,6796.00,6798.55,3439,0,76137,0
Ok,11-09-2025 09:50:00,1757564400,6800.50,6803.50,6795.00,6801.50,6800.13,4376,0,72698,0
Ok,11-09-2025 09:45:00,1757564100,6794.00,6799.50,6787.50,6798.50,6794.16,5945,0,68322,0
Ok,11-09-2025 09:40:00,1757563800,6814.50,6814.50,6792.00,6792.00,6799.91,6591,0,62377,0
Ok,11-09-2025 09:35:00,1757563500,6820.00,6825.50,6807.00,6815.50,6816.49,6554,0,55786,0
Ok,11-09-2025 09:30:00,1757563200,6802.50,6828.00,6797.50,6821.00,6815.18,12076,0,49232,0
Ok,11-09-2025 09:25:00,1757562900,6788.00,6809.00,6787.00,6802.00,6798.19,6760,0,37156,0
Ok,11-09-2025 09:20:00,1757562600,6812.00,6812.00,6787.00,6787.50,6798.35,8109,0,30396,0
Ok,11-09-2025 09:15:00,1757562300,6784.50,6817.00,6784.50,6813.50,6805.85,22287,0,22287,0
