stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,5306.50,5307.50,5303.50,5304.00,5305.64,3926,0,134289,0
Ok,11-09-2025 10:40:00,1757567400,5297.00,5308.50,5296.50,5307.00,5301.57,7070,0,130363,0
Ok,11-09-2025 10:35:00,1757567100,5300.00,5304.00,5296.00,5296.50,5299.85,3589,0,123293,0
Ok,11-09-2025 10:30:00,1757566800,5304.00,5306.50,5300.00,5300.50,5303.06,3831,0,119704,0
Ok,11-09-2025 10:25:00,1757566500,5297.00,5312.50,5293.50,5303.00,5301.54,8601,0,115873,0
Ok,11-09-2025 10:20:00,1757566200,5309.00,5311.00,5295.00,5297.50,5300.77,9490,0,107272,0
Ok,11-09-2025 10:15:00,1757565900,5304.50,5315.00,5303.50,5310.00,5309.32,4358,0,97782,0
Ok,11-09-2025 10:10:00,1757565600,5313.00,5316.00,5305.50,5306.50,5311.12,8698,0,93424,0
Ok,11-09-2025 10:05:00,1757565300,5316.50,5317.50,5309.00,5314.50,5313.69,8512,0,84726,0
Ok,11-09-2025 10:00:00,1757565000,5324.00,5325.00,5315.00,5317.00,5319.73,3149,0,76214,0
Ok,11-09-2025 09:55:00,1757564700,5329.50,5329.50,5323.00,5325.50,5324.96,1835,0,73065,0
Ok,11-09-2025 09:50:00,1757564400,5331.00,5332.00,5327.00,5329.00,5330.61,4594,0,71230,0
Ok,11-09-2025 09:45:00,1757564100,5320.50,5332.00,5315.50,5332.00,5323.06,8680,0,66636,0
Ok,11-09-2025 09:40:00,1757563800,5327.00,5327.00,5318.50,5320.00,5322.55,2509,0,57956,0
Ok,11-09-2025 09:35:00,1757563500,5324.00,5327.00,5323.00,5325.50,5325.42,5289,0,55447,0
Ok,11-09-2025 09:30:00,1757563200,5315.00,5329.50,5311.00,5325.00,5321.15,7704,0,50158,0
Ok,11-09-2025 09:25:00,1757562900,5315.50,5329.00,5315.00,5316.00,5322.45,7253,0,42454,0
Ok,11-09-2025 09:20:00,1757562600,5329.00,5329.00,5310.00,5317.00,5317.79,17575,0,35201,0
Ok,11-09-2025 09:15:00,1757562300,5353.50,5356.00,5326.50,5330.50,5340.90,17626,0,17626,0
