stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,2621.70,2627.00,2618.60,2626.70,2621.18,31520,0,1212663,0
Ok,11-09-2025 15:20:00,1757584200,2621.90,2625.20,2619.60,2621.80,2622.07,48460,0,1181143,0
Ok,11-09-2025 15:15:00,1757583900,2623.00,2628.10,2620.00,2622.00,2623.76,94276,0,1132683,0
Ok,11-09-2025 15:10:00,1757583600,2618.80,2624.10,2618.30,2622.90,2620.31,101627,0,1038407,0
Ok,11-09-2025 15:05:00,1757583300,2626.10,2627.50,2614.20,2619.20,2620.57,93295,0,936780,0
Ok,11-09-2025 15:00:00,1757583000,2626.00,2628.60,2618.00,2626.20,2623.45,116694,0,843485,0
Ok,11-09-2025 14:55:00,1757582700,2629.10,2629.80,2621.30,2625.90,2625.73,59767,0,726791,0
Ok,11-09-2025 14:50:00,1757582400,2633.90,2634.00,2628.40,2630.00,2630.86,22033,0,667024,0
Ok,11-09-2025 14:45:00,1757582100,2633.80,2635.30,2631.10,2634.00,2633.33,24559,0,644991,0
Ok,11-09-2025 14:40:00,1757581800,2635.40,2635.40,2632.10,2633.20,2633.01,6932,0,620432,0
Ok,11-09-2025 14:35:00,1757581500,2635.80,2636.10,2631.90,2635.60,2634.24,30948,0,613500,0
Ok,11-09-2025 14:30:00,1757581200,2636.60,2636.60,2633.20,2635.70,2634.65,26734,0,582552,0
Ok,11-09-2025 14:25:00,1757580900,2637.20,2637.90,2635.60,2636.40,2637.26,7167,0,555818,0
Ok,11-09-2025 14:20:00,1757580600,2639.70,2639.70,2635.00,2637.40,2636.70,10205,0,548651,0
Ok,11-09-2025 14:15:00,1757580300,2640.90,2641.90,2639.00,2639.90,2640.73,11233,0,538446,0
Ok,11-09-2025 14:10:00,1757580000,2640.80,2641.00,2640.10,2641.00,2641.20,4390,0,527213,0
Ok,11-09-2025 14:05:00,1757579700,2639.80,2641.00,2638.90,2640.90,2640.13,7679,0,522823,0
Ok,11-09-2025 14:00:00,1757579400,2639.90,2640.00,2637.80,2640.00,2639.31,9460,0,515144,0
Ok,11-09-2025 13:55:00,1757579100,2638.80,2640.20,2638.70,2640.00,2639.52,6613,0,505684,0
Ok,11-09-2025 13:50:00,1757578800,2637.50,2639.50,2636.80,2638.60,2638.76,9601,0,499071,0
Ok,11-09-2025 13:45:00,1757578500,2637.00,2639.30,2633.10,2637.40,2635.80,34015,0,489470,0
Ok,11-09-2025 13:40:00,1757578200,2634.90,2637.70,2634.40,2636.90,2636.16,4812,0,455455,0
Ok,11-09-2025 13:35:00,1757577900,2634.10,2635.10,2633.40,2634.60,2634.56,5022,0,450643,0
Ok,11-09-2025 13:30:00,1757577600,2633.80,2634.30,2633.80,2634.30,2634.31,4653,0,445621,0
Ok,11-09-2025 13:25:00,1757577300,2633.30,2634.20,2633.20,2634.00,2634.17,5303,0,440968,0
Ok,11-09-2025 13:20:00,1757577000,2632.70,2633.40,2631.20,2633.40,2632.52,7733,0,435665,0
Ok,11-09-2025 13:15:00,1757576700,2632.80,2632.90,2632.30,2632.90,2632.98,2698,0,427932,0
Ok,11-09-2025 13:10:00,1757576400,2633.30,2633.50,2632.00,2632.90,2633.67,2246,0,425234,0
Ok,11-09-2025 13:05:00,1757576100,2634.90,2635.00,2633.00,2633.50,2633.27,2767,0,422988,0
Ok,11-09-2025 13:00:00,1757575800,2635.00,2636.10,2633.50,2634.50,2635.03,40082,0,420221,0
Ok,11-09-2025 12:55:00,1757575500,2634.90,2636.00,2633.40,2635.20,2634.66,16122,0,380139,0
Ok,11-09-2025 12:50:00,1757575200,2634.90,2635.00,2633.90,2635.00,2635.32,2277,0,364017,0
Ok,11-09-2025 12:45:00,1757574900,2639.70,2640.00,2634.20,2635.00,2636.95,12174,0,361740,0
Ok,11-09-2025 12:40:00,1757574600,2639.90,2641.30,2639.40,2639.80,2640.23,2910,0,349566,0
