stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,1511.80,1513.00,1511.10,1511.60,1511.58,41018,0,2143155,0
Ok,11-09-2025 10:40:00,1757567400,1513.60,1513.60,1511.40,1511.90,1512.52,32015,0,2102137,0
Ok,11-09-2025 10:35:00,1757567100,1514.50,1515.00,1513.10,1513.50,1514.34,27620,0,2070122,0
Ok,11-09-2025 10:30:00,1757566800,1513.40,1516.20,1512.90,1515.00,1514.43,70565,0,2042502,0
Ok,11-09-2025 10:25:00,1757566500,1512.50,1513.80,1511.30,1513.30,1512.65,47665,0,1971937,0
Ok,11-09-2025 10:20:00,1757566200,1513.70,1513.90,1511.20,1512.10,1512.56,54872,0,1924272,0
Ok,11-09-2025 10:15:00,1757565900,1510.00,1513.90,1509.60,1513.90,1512.06,58832,0,1869400,0
Ok,11-09-2025 10:10:00,1757565600,1509.40,1510.00,1508.40,1509.60,1509.19,57637,0,1810568,0
Ok,11-09-2025 10:05:00,1757565300,1510.20,1511.80,1509.00,1509.50,1510.54,79679,0,1752931,0
Ok,11-09-2025 10:00:00,1757565000,1511.60,1511.60,1509.10,1510.10,1510.17,121101,0,1673252,0
Ok,11-09-2025 09:55:00,1757564700,1512.10,1512.20,1510.30,1511.50,1511.63,106312,0,1552151,0
Ok,11-09-2025 09:50:00,1757564400,1513.90,1514.00,1512.00,1512.20,1512.91,105209,0,1445839,0
Ok,11-09-2025 09:45:00,1757564100,1517.00,1517.20,1513.00,1514.00,1514.57,104879,0,1340630,0
Ok,11-09-2025 09:40:00,1757563800,1519.00,1519.00,1516.20,1517.20,1517.09,59322,0,1235751,0
Ok,11-09-2025 09:35:00,1757563500,1518.10,1519.70,1517.10,1518.80,1518.45,99272,0,1176429,0
Ok,11-09-2025 09:30:00,1757563200,1517.00,1518.50,1514.00,1518.30,1516.00,111817,0,1077157,0
Ok,11-09-2025 09:25:00,1757562900,1518.00,1518.30,1515.50,1516.80,1517.03,118662,0,965340,0
Ok,11-09-2025 09:20:00,1757562600,1519.70,1519.90,1513.80,1517.90,1516.95,230927,0,846678,0
Ok,11-09-2025 09:15:00,1757562300,1519.80,1525.10,1514.00,1519.60,1519.52,615751,0,615751,0
