stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,202.81,203.00,202.62,202.80,202.99,23234,0,248489,0
Ok,11-09-2025 10:40:00,1757567400,202.86,202.94,202.73,202.80,202.68,3357,0,225255,0
Ok,11-09-2025 10:35:00,1757567100,202.89,202.96,202.79,202.90,203.30,3510,0,221898,0
Ok,11-09-2025 10:30:00,1757566800,202.92,203.00,202.80,202.89,202.67,3368,0,218388,0
Ok,11-09-2025 10:25:00,1757566500,202.78,203.00,202.53,202.82,202.86,10362,0,215020,0
Ok,11-09-2025 10:20:00,1757566200,202.17,202.80,202.17,202.79,202.66,2738,0,204658,0
Ok,11-09-2025 10:15:00,1757565900,202.00,202.40,201.86,202.16,201.88,7610,0,201920,0
Ok,11-09-2025 10:10:00,1757565600,201.92,202.20,201.82,202.05,202.10,9604,0,194310,0
Ok,11-09-2025 10:05:00,1757565300,202.40,202.55,201.61,201.91,201.96,27277,0,184706,0
Ok,11-09-2025 10:00:00,1757565000,202.76,202.76,202.25,202.35,202.43,3706,0,157429,0
Ok,11-09-2025 09:55:00,1757564700,202.71,202.94,202.58,202.78,202.85,15528,0,153723,0
Ok,11-09-2025 09:50:00,1757564400,202.50,202.90,202.50,202.63,202.52,4026,0,138195,0
Ok,11-09-2025 09:45:00,1757564100,202.88,202.89,202.52,202.64,202.87,10137,0,134169,0
Ok,11-09-2025 09:40:00,1757563800,202.90,203.00,202.83,202.87,202.87,10940,0,124032,0
Ok,11-09-2025 09:35:00,1757563500,202.77,202.94,202.65,202.92,202.74,8749,0,113092,0
Ok,11-09-2025 09:30:00,1757563200,202.63,202.95,202.41,202.66,202.64,18563,0,104343,0
Ok,11-09-2025 09:25:00,1757562900,202.99,203.00,202.50,202.60,202.69,19608,0,85780,0
Ok,11-09-2025 09:20:00,1757562600,202.64,203.09,202.56,202.95,202.94,33550,0,66172,0
Ok,11-09-2025 09:15:00,1757562300,202.90,203.49,202.68,202.70,203.04,32622,0,32622,0
