stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,210.58,210.59,210.37,210.59,209.68,2063,0,440908,0
Ok,11-09-2025 10:40:00,1757567400,210.63,210.68,210.31,210.55,210.48,10578,0,438845,0
Ok,11-09-2025 10:35:00,1757567100,210.87,210.95,210.40,210.52,210.65,12559,0,428267,0
Ok,11-09-2025 10:30:00,1757566800,210.87,211.00,210.57,210.95,210.70,18426,0,415708,0
Ok,11-09-2025 10:25:00,1757566500,210.80,211.40,210.75,211.00,211.12,37153,0,397282,0
Ok,11-09-2025 10:20:00,1757566200,210.60,211.26,210.40,210.77,210.83,38454,0,360129,0
Ok,11-09-2025 10:15:00,1757565900,210.37,210.60,210.30,210.58,210.37,13704,0,321675,0
Ok,11-09-2025 10:10:00,1757565600,209.16,210.40,209.08,210.38,209.90,41248,0,307971,0
Ok,11-09-2025 10:05:00,1757565300,208.60,209.44,208.57,209.20,208.66,6213,0,266723,0
Ok,11-09-2025 10:00:00,1757565000,209.43,209.50,208.79,208.79,209.10,9439,0,260510,0
Ok,11-09-2025 09:55:00,1757564700,209.40,209.53,209.21,209.50,209.79,3540,0,251071,0
Ok,11-09-2025 09:50:00,1757564400,209.62,209.75,209.25,209.25,209.41,7415,0,247531,0
Ok,11-09-2025 09:45:00,1757564100,209.50,209.65,209.01,209.45,209.29,10500,0,240116,0
Ok,11-09-2025 09:40:00,1757563800,209.71,209.80,209.01,209.58,209.55,13196,0,229616,0
Ok,11-09-2025 09:35:00,1757563500,209.80,210.69,209.42,209.70,209.85,90775,0,216420,0
Ok,11-09-2025 09:30:00,1757563200,208.34,209.80,208.00,209.61,209.09,62757,0,125645,0
Ok,11-09-2025 09:25:00,1757562900,207.80,208.57,207.80,208.33,208.17,23955,0,62888,0
Ok,11-09-2025 09:20:00,1757562600,207.31,207.98,207.00,207.84,207.62,12349,0,38933,0
Ok,11-09-2025 09:15:00,1757562300,206.99,208.20,206.99,207.11,207.53,26584,0,26584,0
