stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,3595.50,3600.00,3593.30,3597.00,3595.19,46242,0,1949778,0
Ok,11-09-2025 15:20:00,1757584200,3594.70,3597.30,3594.20,3595.30,3595.68,34575,0,1903536,0
Ok,11-09-2025 15:15:00,1757583900,3596.40,3599.50,3593.00,3595.00,3595.87,73555,0,1868961,0
Ok,11-09-2025 15:10:00,1757583600,3596.10,3600.00,3592.40,3596.10,3595.56,75106,0,1795406,0
Ok,11-09-2025 15:05:00,1757583300,3598.50,3599.70,3593.70,3598.20,3595.98,55864,0,1720300,0
Ok,11-09-2025 15:00:00,1757583000,3597.80,3599.30,3592.00,3598.40,3595.61,58781,0,1664436,0
Ok,11-09-2025 14:55:00,1757582700,3597.90,3599.50,3593.20,3598.20,3595.89,27850,0,1605655,0
Ok,11-09-2025 14:50:00,1757582400,3594.60,3598.00,3591.80,3598.00,3593.51,15186,0,1577805,0
Ok,11-09-2025 14:45:00,1757582100,3597.50,3599.20,3593.20,3594.70,3596.26,21991,0,1562619,0
Ok,11-09-2025 14:40:00,1757581800,3604.20,3604.20,3596.00,3597.00,3600.94,4716,0,1540628,0
Ok,11-09-2025 14:35:00,1757581500,3602.00,3604.90,3600.20,3604.00,3603.64,17800,0,1535912,0
Ok,11-09-2025 14:30:00,1757581200,3600.40,3602.40,3594.70,3602.30,3597.06,27554,0,1518112,0
Ok,11-09-2025 14:25:00,1757580900,3603.60,3605.60,3597.70,3599.70,3600.77,36734,0,1490558,0
Ok,11-09-2025 14:20:00,1757580600,3604.50,3606.00,3602.90,3604.20,3604.31,6409,0,1453824,0
Ok,11-09-2025 14:15:00,1757580300,3605.00,3606.80,3603.00,3604.80,3604.53,12255,0,1447415,0
Ok,11-09-2025 14:10:00,1757580000,3604.30,3605.90,3603.00,3604.90,3604.49,4064,0,1435160,0
Ok,11-09-2025 14:05:00,1757579700,3607.00,3607.70,3603.90,3604.40,3606.01,8282,0,1431096,0
Ok,11-09-2025 14:00:00,1757579400,3603.40,3608.20,3601.40,3605.40,3603.87,13024,0,1422814,0
Ok,11-09-2025 13:55:00,1757579100,3607.50,3608.10,3602.70,3603.50,3605.16,10700,0,1409790,0
Ok,11-09-2025 13:50:00,1757578800,3614.50,3614.90,3603.90,3607.40,3611.10,16967,0,1399090,0
Ok,11-09-2025 13:45:00,1757578500,3605.40,3614.00,3605.00,3613.00,3610.77,26724,0,1382123,0
Ok,11-09-2025 13:40:00,1757578200,3602.10,3608.10,3602.00,3605.70,3604.59,12088,0,1355399,0
Ok,11-09-2025 13:35:00,1757577900,3603.80,3604.00,3602.00,3602.00,3603.53,5909,0,1343311,0
Ok,11-09-2025 13:30:00,1757577600,3599.00,3606.00,3597.40,3603.50,3603.14,40382,0,1337402,0
Ok,11-09-2025 13:25:00,1757577300,3596.80,3599.00,3596.00,3598.50,3598.87,5479,0,1297020,0
Ok,11-09-2025 13:20:00,1757577000,3591.90,3597.00,3591.20,3597.00,3594.33,51540,0,1291541,0
Ok,11-09-2025 13:15:00,1757576700,3595.20,3596.00,3591.20,3592.00,3594.59,53414,0,1240001,0
Ok,11-09-2025 13:10:00,1757576400,3594.30,3595.50,3594.30,3595.50,3594.60,5665,0,1186587,0
Ok,11-09-2025 13:05:00,1757576100,3595.00,3597.70,3593.90,3594.90,3595.33,17094,0,1180922,0
Ok,11-09-2025 13:00:00,1757575800,3593.00,3597.20,3593.00,3595.10,3595.35,8450,0,1163828,0
Ok,11-09-2025 12:55:00,1757575500,3596.80,3596.80,3592.00,3594.40,3594.51,50095,0,1155378,0
Ok,11-09-2025 12:50:00,1757575200,3595.70,3596.90,3594.00,3596.20,3594.14,8178,0,1105283,0
Ok,11-09-2025 12:45:00,1757574900,3597.20,3597.60,3591.50,3595.60,3595.09,36325,0,1097105,0
Ok,11-09-2025 12:40:00,1757574600,3597.30,3599.00,3596.20,3596.90,3596.91,4543,0,1060780,0
Ok,11-09-2025 12:35:00,1757574300,3596.80,3598.90,3595.00,3596.60,3596.91,6384,0,1056237,0
Ok,11-09-2025 12:30:00,1757574000,3593.60,3598.20,3593.60,3596.60,3595.29,37839,0,1049853,0
Ok,11-09-2025 12:25:00,1757573700,3593.70,3595.10,3591.20,3594.20,3592.43,8861,0,1012014,0
Ok,11-09-2025 12:20:00,1757573400,3595.10,3596.20,3593.00,3593.50,3594.40,7647,0,1003153,0
Ok,11-09-2025 12:15:00,1757573100,3599.10,3600.70,3595.00,3595.50,3598.30,15323,0,995506,0
Ok,11-09-2025 12:10:00,1757572800,3595.50,3599.20,3594.60,3599.20,3595.69,14678,0,980183,0
Ok,11-09-2025 12:05:00,1757572500,3594.50,3596.00,3593.10,3594.60,3595.81,7872,0,965505,0
Ok,11-09-2025 12:00:00,1757572200,3590.90,3599.00,3590.90,3595.00,3596.19,22152,0,957633,0
Ok,11-09-2025 11:55:00,1757571900,3585.30,3591.00,3583.40,3591.00,3587.44,19072,0,935481,0
Ok,11-09-2025 11:50:00,1757571600,3587.40,3587.50,3584.20,3585.50,3586.50,11780,0,916409,0
Ok,11-09-2025 11:45:00,1757571300,3587.20,3590.00,3587.00,3587.30,3588.85,17653,0,904629,0
Ok,11-09-2025 11:40:00,1757571000,3585.60,3590.60,3582.40,3587.00,3587.60,24255,0,886976,0
Ok,11-09-2025 11:35:00,1757570700,3590.20,3591.70,3585.00,3585.00,3588.80,21397,0,862721,0
Ok,11-09-2025 11:30:00,1757570400,3598.00,3598.00,3588.00,3589.80,3592.17,16759,0,841324,0
Ok,11-09-2025 11:25:00,1757570100,3594.20,3599.80,3591.90,3597.00,3596.96,38396,0,824565,0
Ok,11-09-2025 11:20:00,1757569800,3590.20,3598.80,3590.00,3595.60,3593.90,79482,0,786169,0
Ok,11-09-2025 11:15:00,1757569500,3584.30,3592.00,3583.30,3590.00,3589.76,56495,0,706687,0
Ok,11-09-2025 11:10:00,1757569200,3588.00,3590.00,3583.00,3584.00,3585.99,22275,0,650192,0
Ok,11-09-2025 11:05:00,1757568900,3589.40,3590.70,3587.20,3588.10,3589.69,16601,0,627917,0
Ok,11-09-2025 11:00:00,1757568600,3584.80,3590.50,3581.00,3590.00,3586.74,18392,0,611316,0
Ok,11-09-2025 10:55:00,1757568300,3582.90,3585.80,3582.50,3584.70,3583.50,11826,0,592924,0
Ok,11-09-2025 10:50:00,1757568000,3584.30,3584.80,3581.20,3582.50,3583.23,15242,0,581098,0
Ok,11-09-2025 10:45:00,1757567700,3583.30,3584.70,3580.00,3584.50,3581.74,17187,0,565856,0
Ok,11-09-2025 10:40:00,1757567400,3586.70,3587.20,3581.20,3583.50,3583.90,12921,0,548669,0
Ok,11-09-2025 10:35:00,1757567100,3585.10,3591.00,3583.80,3586.50,3587.02,16674,0,535748,0
Ok,11-09-2025 10:30:00,1757566800,3587.40,3590.00,3581.70,3585.20,3585.83,29228,0,519074,0
Ok,11-09-2025 10:25:00,1757566500,3586.80,3588.70,3584.20,3586.70,3585.82,22714,0,489846,0
Ok,11-09-2025 10:20:00,1757566200,3590.20,3591.00,3585.30,3587.00,3588.25,17697,0,467132,0
Ok,11-09-2025 10:15:00,1757565900,3594.90,3595.80,3588.00,3590.10,3590.67,32268,0,449435,0
Ok,11-09-2025 10:10:00,1757565600,3594.60,3598.40,3593.30,3594.60,3594.92,23165,0,417167,0
Ok,11-09-2025 10:05:00,1757565300,3593.20,3596.90,3591.10,3594.00,3593.44,20162,0,394002,0
Ok,11-09-2025 10:00:00,1757565000,3597.00,3597.00,3591.00,3593.00,3593.81,22568,0,373840,0
Ok,11-09-2025 09:55:00,1757564700,3597.00,3598.00,3595.70,3596.10,3596.69,14254,0,351272,0
Ok,11-09-2025 09:50:00,1757564400,3597.20,3601.80,3596.50,3597.50,3598.20,16914,0,337018,0
Ok,11-09-2025 09:45:00,1757564100,3600.60,3601.20,3595.70,3596.90,3598.07,20936,0,320104,0
Ok,11-09-2025 09:40:00,1757563800,3602.00,3602.60,3599.00,3601.00,3600.57,15459,0,299168,0
Ok,11-09-2025 09:35:00,1757563500,3600.20,3604.40,3597.60,3602.40,3601.00,26876,0,283709,0
Ok,11-09-2025 09:30:00,1757563200,3605.50,3608.30,3598.00,3600.70,3602.80,39296,0,256833,0
