stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,15110.00,15119.00,15098.00,15119.00,15107.24,8032,0,657148,0
Ok,11-09-2025 15:20:00,1757584200,15090.00,15111.00,15089.00,15108.00,15098.25,12991,0,649116,0
Ok,11-09-2025 15:15:00,1757583900,15091.00,15097.00,15080.00,15088.00,15086.72,15026,0,636125,0
Ok,11-09-2025 15:10:00,1757583600,15091.00,15104.00,15089.00,15090.00,15093.14,21671,0,621099,0
Ok,11-09-2025 15:05:00,1757583300,15094.00,15100.00,15094.00,15099.00,15095.93,8031,0,599428,0
Ok,11-09-2025 15:00:00,1757583000,15111.00,15116.00,15093.00,15095.00,15099.56,8905,0,591397,0
Ok,11-09-2025 14:55:00,1757582700,15095.00,15116.00,15084.00,15115.00,15093.79,6631,0,582492,0
Ok,11-09-2025 14:50:00,1757582400,15110.00,15122.00,15095.00,15100.00,15104.98,8719,0,575861,0
Ok,11-09-2025 14:45:00,1757582100,15115.00,15120.00,15105.00,15108.00,15113.12,5108,0,567142,0
Ok,11-09-2025 14:40:00,1757581800,15127.00,15129.00,15113.00,15113.00,15123.46,3487,0,562034,0
Ok,11-09-2025 14:35:00,1757581500,15131.00,15138.00,15121.00,15128.00,15127.18,5040,0,558547,0
Ok,11-09-2025 14:30:00,1757581200,15129.00,15135.00,15116.00,15132.00,15123.10,2870,0,553507,0
Ok,11-09-2025 14:25:00,1757580900,15108.00,15130.00,15108.00,15126.00,15118.02,6508,0,550637,0
Ok,11-09-2025 14:20:00,1757580600,15109.00,15110.00,15102.00,15109.00,15107.42,4286,0,544129,0
Ok,11-09-2025 14:15:00,1757580300,15110.00,15110.00,15108.00,15108.00,15111.17,2135,0,539843,0
Ok,11-09-2025 14:10:00,1757580000,15106.00,15110.00,15102.00,15109.00,15109.41,1839,0,537708,0
Ok,11-09-2025 14:05:00,1757579700,15123.00,15127.00,15100.00,15102.00,15113.24,6560,0,535869,0
Ok,11-09-2025 14:00:00,1757579400,15134.00,15135.00,15108.00,15125.00,15121.40,3222,0,529309,0
Ok,11-09-2025 13:55:00,1757579100,15125.00,15135.00,15108.00,15133.00,15121.09,4114,0,526087,0
Ok,11-09-2025 13:50:00,1757578800,15143.00,15144.00,15112.00,15123.00,15125.63,12264,0,521973,0
Ok,11-09-2025 13:45:00,1757578500,15129.00,15146.00,15125.00,15136.00,15131.01,4454,0,509709,0
