stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,450.05,450.05,449.15,450.00,449.86,2273,0,279192,0
Ok,11-09-2025 10:40:00,1757567400,448.15,450.90,448.15,449.15,449.79,12274,0,276919,0
Ok,11-09-2025 10:35:00,1757567100,447.50,449.20,447.50,448.05,448.24,7981,0,264645,0
Ok,11-09-2025 10:30:00,1757566800,449.05,449.05,447.40,447.65,447.79,5123,0,256664,0
Ok,11-09-2025 10:25:00,1757566500,448.25,448.65,447.90,448.65,448.38,2556,0,251541,0
Ok,11-09-2025 10:20:00,1757566200,448.30,448.75,447.05,448.10,448.11,2298,0,248985,0
Ok,11-09-2025 10:15:00,1757565900,447.55,448.50,447.00,447.70,447.37,4842,0,246687,0
Ok,11-09-2025 10:10:00,1757565600,448.10,448.95,447.50,447.80,448.12,5697,0,241845,0
Ok,11-09-2025 10:05:00,1757565300,448.00,450.00,448.00,448.00,449.11,10301,0,236148,0
Ok,11-09-2025 10:00:00,1757565000,449.35,449.35,447.00,448.50,448.04,6707,0,225847,0
Ok,11-09-2025 09:55:00,1757564700,449.30,449.85,449.00,449.40,449.13,8099,0,219140,0
Ok,11-09-2025 09:50:00,1757564400,449.55,450.40,448.50,449.70,449.37,5825,0,211041,0
Ok,11-09-2025 09:45:00,1757564100,449.75,449.85,447.15,449.50,447.58,28562,0,205216,0
Ok,11-09-2025 09:40:00,1757563800,449.35,450.00,448.00,449.80,448.99,15972,0,176654,0
Ok,11-09-2025 09:35:00,1757563500,451.05,451.35,448.35,449.90,449.45,22051,0,160682,0
Ok,11-09-2025 09:30:00,1757563200,453.10,453.15,448.80,451.60,451.22,37575,0,138631,0
Ok,11-09-2025 09:25:00,1757562900,453.05,453.35,451.30,453.15,452.19,19616,0,101056,0
Ok,11-09-2025 09:20:00,1757562600,454.15,454.15,451.50,452.50,453.35,17551,0,81440,0
Ok,11-09-2025 09:15:00,1757562300,454.85,458.15,454.00,454.00,455.35,63889,0,63889,0
