stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,706.10,706.15,705.60,705.95,705.87,128153,0,5528226,0
Ok,11-09-2025 15:20:00,1757584200,706.05,706.40,705.65,706.15,705.89,164612,0,5400073,0
Ok,11-09-2025 15:15:00,1757583900,705.80,706.60,705.60,706.15,706.15,237449,0,5235461,0
Ok,11-09-2025 15:10:00,1757583600,705.65,706.25,705.55,705.70,705.92,249184,0,4998012,0
Ok,11-09-2025 15:05:00,1757583300,705.80,706.00,705.25,705.55,705.38,165067,0,4748828,0
Ok,11-09-2025 15:00:00,1757583000,705.95,706.05,705.35,705.85,705.93,121876,0,4583761,0
Ok,11-09-2025 14:55:00,1757582700,705.60,706.35,705.25,705.65,705.81,158666,0,4461885,0
Ok,11-09-2025 14:50:00,1757582400,705.85,706.10,705.45,705.65,705.32,58700,0,4303219,0
Ok,11-09-2025 14:45:00,1757582100,706.05,706.60,705.70,705.95,705.84,49868,0,4244519,0
Ok,11-09-2025 14:40:00,1757581800,706.90,706.90,705.80,705.80,707.55,34717,0,4194651,0
Ok,11-09-2025 14:35:00,1757581500,705.55,706.95,705.55,706.95,706.23,93204,0,4159934,0
Ok,11-09-2025 14:30:00,1757581200,706.00,706.00,705.50,705.65,705.64,62047,0,4066730,0
Ok,11-09-2025 14:25:00,1757580900,705.70,706.20,705.60,706.10,705.28,51205,0,4004683,0
Ok,11-09-2025 14:20:00,1757580600,706.05,706.05,705.70,705.80,707.64,28947,0,3953478,0
Ok,11-09-2025 14:15:00,1757580300,706.00,706.30,705.75,705.95,705.70,20200,0,3924531,0
Ok,11-09-2025 14:10:00,1757580000,706.00,706.15,705.60,705.95,705.28,32822,0,3904331,0
Ok,11-09-2025 14:05:00,1757579700,705.85,706.10,705.65,705.90,705.28,16161,0,3871509,0
Ok,11-09-2025 14:00:00,1757579400,706.20,706.20,705.50,705.80,706.38,58557,0,3855348,0
Ok,11-09-2025 13:55:00,1757579100,706.70,706.90,706.00,706.05,706.56,33210,0,3796791,0
Ok,11-09-2025 13:50:00,1757578800,707.55,707.60,706.70,706.85,706.18,24549,0,3763581,0
Ok,11-09-2025 13:45:00,1757578500,706.70,707.70,706.65,707.25,707.16,65984,0,3739032,0
Ok,11-09-2025 13:40:00,1757578200,706.70,707.00,706.60,707.00,707.73,21877,0,3673048,0
Ok,11-09-2025 13:35:00,1757577900,707.25,707.35,706.80,706.80,706.21,24010,0,3651171,0
Ok,11-09-2025 13:30:00,1757577600,707.20,707.40,707.05,707.20,707.74,23211,0,3627161,0
Ok,11-09-2025 13:25:00,1757577300,707.00,707.20,706.65,707.05,706.63,32384,0,3603950,0
Ok,11-09-2025 13:20:00,1757577000,707.05,707.20,706.50,706.95,707.15,59432,0,3571566,0
Ok,11-09-2025 13:15:00,1757576700,707.05,707.50,707.00,707.00,707.76,31958,0,3512134,0
Ok,11-09-2025 13:10:00,1757576400,706.30,707.20,706.25,707.00,706.70,96623,0,3480176,0
Ok,11-09-2025 13:05:00,1757576100,706.05,706.50,706.05,706.25,706.41,24422,0,3383553,0
Ok,11-09-2025 13:00:00,1757575800,706.25,706.40,706.05,706.10,706.06,19236,0,3359131,0
Ok,11-09-2025 12:55:00,1757575500,705.95,706.50,705.60,706.40,706.00,54872,0,3339895,0
Ok,11-09-2025 12:50:00,1757575200,705.45,705.90,705.20,705.75,705.76,62332,0,3285023,0
Ok,11-09-2025 12:45:00,1757574900,706.20,706.25,704.55,705.30,705.17,190959,0,3222691,0
Ok,11-09-2025 12:40:00,1757574600,706.40,706.90,706.00,706.10,707.14,33366,0,3031732,0
Ok,11-09-2025 12:35:00,1757574300,706.15,706.80,706.05,706.35,705.99,42939,0,2998366,0
Ok,11-09-2025 12:30:00,1757574000,706.00,706.40,706.00,706.35,706.33,33397,0,2955427,0
Ok,11-09-2025 12:25:00,1757573700,705.90,706.40,705.90,706.10,705.85,38385,0,2922030,0
Ok,11-09-2025 12:20:00,1757573400,706.15,706.20,705.50,705.95,706.40,48969,0,2883645,0
Ok,11-09-2025 12:15:00,1757573100,705.95,706.15,705.75,706.10,705.42,30687,0,2834676,0
Ok,11-09-2025 12:10:00,1757572800,706.75,706.85,705.60,705.90,706.14,53588,0,2803989,0
Ok,11-09-2025 12:05:00,1757572500,706.50,706.85,706.45,706.80,707.10,24158,0,2750401,0
Ok,11-09-2025 12:00:00,1757572200,706.15,706.75,706.00,706.60,706.64,33637,0,2726243,0
