stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 10:45:00,1757567700,1506.20,1506.60,1505.70,1505.80,1506.11,5051,0,187985,0
Ok,11-09-2025 10:40:00,1757567400,1508.40,1508.40,1506.00,1506.10,1507.13,3353,0,182934,0
Ok,11-09-2025 10:35:00,1757567100,1509.00,1509.30,1506.60,1507.60,1507.92,8618,0,179581,0
Ok,11-09-2025 10:30:00,1757566800,1508.60,1509.40,1506.50,1509.20,1507.65,8497,0,170963,0
Ok,11-09-2025 10:25:00,1757566500,1509.10,1509.50,1508.10,1508.70,1508.84,7125,0,162466,0
Ok,11-09-2025 10:20:00,1757566200,1509.70,1510.00,1507.50,1508.10,1508.40,7918,0,155341,0
Ok,11-09-2025 10:15:00,1757565900,1507.80,1509.80,1507.60,1509.60,1508.63,21746,0,147423,0
Ok,11-09-2025 10:10:00,1757565600,1508.60,1509.30,1507.70,1507.70,1508.52,5346,0,125677,0
Ok,11-09-2025 10:05:00,1757565300,1508.70,1510.40,1508.10,1508.40,1509.41,5994,0,120331,0
Ok,11-09-2025 10:00:00,1757565000,1512.20,1512.20,1508.80,1509.30,1510.14,6320,0,114337,0
Ok,11-09-2025 09:55:00,1757564700,1512.00,1512.40,1510.30,1512.00,1511.47,7429,0,108017,0
Ok,11-09-2025 09:50:00,1757564400,1513.40,1514.20,1511.70,1512.20,1512.89,5849,0,100588,0
Ok,11-09-2025 09:45:00,1757564100,1515.20,1515.20,1511.20,1513.60,1513.11,6880,0,94739,0
Ok,11-09-2025 09:40:00,1757563800,1514.00,1516.00,1513.70,1515.30,1515.35,9523,0,87859,0
Ok,11-09-2025 09:35:00,1757563500,1514.30,1515.00,1512.80,1514.10,1513.95,8477,0,78336,0
Ok,11-09-2025 09:30:00,1757563200,1514.60,1516.10,1511.60,1514.20,1513.46,10142,0,69859,0
Ok,11-09-2025 09:25:00,1757562900,1517.40,1518.60,1514.60,1514.70,1517.20,14299,0,59717,0
Ok,11-09-2025 09:20:00,1757562600,1518.80,1519.00,1516.10,1517.30,1517.90,14149,0,45418,0
Ok,11-09-2025 09:15:00,1757562300,1524.80,1527.10,1516.50,1518.00,1521.98,31269,0,31269,0
