stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,3584.50,3585.00,3580.00,3580.00,3584.17,19186,0,495395,0
Ok,11-09-2025 15:20:00,1757584200,3584.30,3585.00,3582.00,3584.70,3583.88,27966,0,476209,0
Ok,11-09-2025 15:15:00,1757583900,3583.00,3587.80,3582.80,3584.50,3584.84,24711,0,448243,0
Ok,11-09-2025 15:10:00,1757583600,3582.50,3584.50,3580.00,3582.90,3582.56,14579,0,423532,0
Ok,11-09-2025 15:05:00,1757583300,3585.90,3587.00,3581.00,3581.90,3583.63,16360,0,408953,0
Ok,11-09-2025 15:00:00,1757583000,3586.70,3587.80,3585.10,3586.00,3586.30,12748,0,392593,0
Ok,11-09-2025 14:55:00,1757582700,3585.00,3588.40,3584.50,3587.30,3585.32,21855,0,379845,0
Ok,11-09-2025 14:50:00,1757582400,3582.20,3586.20,3580.00,3585.10,3582.90,10019,0,357990,0
Ok,11-09-2025 14:45:00,1757582100,3586.50,3589.30,3581.40,3583.00,3585.29,23797,0,347971,0
Ok,11-09-2025 14:40:00,1757581800,3589.90,3590.10,3586.00,3586.90,3587.83,5107,0,324174,0
Ok,11-09-2025 14:35:00,1757581500,3588.90,3590.60,3586.00,3590.00,3588.25,10991,0,319067,0
Ok,11-09-2025 14:30:00,1757581200,3593.30,3595.00,3587.80,3588.60,3590.72,36468,0,308076,0
Ok,11-09-2025 14:25:00,1757580900,3593.90,3594.90,3592.00,3594.10,3592.44,1761,0,271608,0
Ok,11-09-2025 14:20:00,1757580600,3599.90,3600.40,3590.30,3594.50,3594.75,20325,0,269847,0
Ok,11-09-2025 14:15:00,1757580300,3589.00,3601.60,3588.00,3600.40,3592.46,20569,0,249522,0
Ok,11-09-2025 14:10:00,1757580000,3592.90,3594.60,3588.20,3590.00,3590.62,7452,0,228953,0
Ok,11-09-2025 14:05:00,1757579700,3589.00,3593.20,3587.80,3592.80,3589.75,5963,0,221501,0
Ok,11-09-2025 14:00:00,1757579400,3590.50,3591.00,3587.60,3589.30,3589.79,7325,0,215538,0
Ok,11-09-2025 13:55:00,1757579100,3589.50,3590.50,3587.20,3590.10,3589.18,7859,0,208213,0
Ok,11-09-2025 13:50:00,1757578800,3595.90,3595.90,3588.50,3590.00,3592.29,4946,0,200354,0
Ok,11-09-2025 13:45:00,1757578500,3591.90,3595.00,3589.80,3594.60,3591.96,5884,0,195408,0
Ok,11-09-2025 13:40:00,1757578200,3592.40,3594.90,3590.70,3592.70,3592.13,2289,0,189524,0
Ok,11-09-2025 13:35:00,1757577900,3593.60,3595.60,3591.60,3592.80,3593.85,2250,0,187235,0
Ok,11-09-2025 13:30:00,1757577600,3592.90,3596.70,3591.40,3593.90,3593.30,3780,0,184985,0
Ok,11-09-2025 13:25:00,1757577300,3583.90,3594.50,3581.00,3593.30,3583.69,13044,0,181205,0
Ok,11-09-2025 13:20:00,1757577000,3585.00,3586.90,3583.90,3584.20,3585.01,2647,0,168161,0
Ok,11-09-2025 13:15:00,1757576700,3587.00,3587.40,3585.20,3585.30,3586.43,1677,0,165514,0
Ok,11-09-2025 13:10:00,1757576400,3583.80,3587.90,3583.80,3587.80,3586.23,2667,0,163837,0
Ok,11-09-2025 13:05:00,1757576100,3583.70,3586.20,3582.70,3584.20,3584.71,4530,0,161170,0
Ok,11-09-2025 13:00:00,1757575800,3585.00,3587.30,3583.60,3584.00,3585.48,3258,0,156640,0
Ok,11-09-2025 12:55:00,1757575500,3592.90,3593.20,3581.30,3585.70,3586.32,7607,0,153382,0
Ok,11-09-2025 12:50:00,1757575200,3592.00,3593.20,3590.80,3593.00,3591.51,1511,0,145775,0
Ok,11-09-2025 12:45:00,1757574900,3592.60,3594.30,3591.10,3591.20,3593.20,1547,0,144264,0
Ok,11-09-2025 12:40:00,1757574600,3593.20,3594.00,3591.40,3592.80,3592.27,1097,0,142717,0
Ok,11-09-2025 12:35:00,1757574300,3594.50,3595.10,3592.30,3593.90,3593.29,1412,0,141620,0
Ok,11-09-2025 12:30:00,1757574000,3596.80,3596.80,3591.70,3594.00,3593.58,1670,0,140208,0
Ok,11-09-2025 12:25:00,1757573700,3589.00,3597.40,3588.90,3596.00,3593.38,2361,0,138538,0
Ok,11-09-2025 12:20:00,1757573400,3589.70,3591.60,3588.20,3589.10,3590.69,2927,0,136177,0
Ok,11-09-2025 12:15:00,1757573100,3588.70,3589.90,3587.60,3589.90,3588.42,1510,0,133250,0
Ok,11-09-2025 12:10:00,1757572800,3589.20,3590.00,3586.50,3588.40,3587.81,1266,0,131740,0
Ok,11-09-2025 12:05:00,1757572500,3589.80,3590.00,3587.40,3589.50,3589.61,3081,0,130474,0
Ok,11-09-2025 12:00:00,1757572200,3593.70,3594.90,3588.40,3590.00,3591.19,6003,0,127393,0
Ok,11-09-2025 11:55:00,1757571900,3590.50,3594.40,3590.50,3593.80,3593.09,2244,0,121390,0
Ok,11-09-2025 11:50:00,1757571600,3589.00,3592.40,3588.00,3590.10,3590.74,2721,0,119146,0
Ok,11-09-2025 11:45:00,1757571300,3589.60,3592.00,3588.00,3588.00,3590.03,1987,0,116425,0
Ok,11-09-2025 11:40:00,1757571000,3588.20,3592.10,3586.60,3589.80,3589.18,3825,0,114438,0
Ok,11-09-2025 11:35:00,1757570700,3590.00,3591.20,3588.00,3588.10,3589.11,3486,0,110613,0
