stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,11-09-2025 15:25:00,1757584500,12376.00,12395.00,12360.00,12392.00,12372.18,5373,0,132631,0
Ok,11-09-2025 15:20:00,1757584200,12390.00,12390.00,12372.00,12372.00,12381.18,5586,0,127258,0
Ok,11-09-2025 15:15:00,1757583900,12402.00,12403.00,12389.00,12389.00,12397.44,6651,0,121672,0
Ok,11-09-2025 15:10:00,1757583600,12392.00,12403.00,12389.00,12403.00,12394.01,4793,0,115021,0
Ok,11-09-2025 15:05:00,1757583300,12399.00,12402.00,12389.00,12391.00,12397.74,5313,0,110228,0
Ok,11-09-2025 15:00:00,1757583000,12403.00,12410.00,12397.00,12400.00,12401.81,7933,0,104915,0
Ok,11-09-2025 14:55:00,1757582700,12405.00,12410.00,12395.00,12400.00,12400.69,10627,0,96982,0
Ok,11-09-2025 14:50:00,1757582400,12414.00,12418.00,12402.00,12411.00,12409.11,2169,0,86355,0
Ok,11-09-2025 14:45:00,1757582100,12407.00,12430.00,12407.00,12419.00,12418.91,2415,0,84186,0
Ok,11-09-2025 14:40:00,1757581800,12418.00,12421.00,12402.00,12411.00,12406.80,1233,0,81771,0
Ok,11-09-2025 14:35:00,1757581500,12402.00,12423.00,12397.00,12419.00,12409.62,2458,0,80538,0
Ok,11-09-2025 14:30:00,1757581200,12400.00,12409.00,12386.00,12409.00,12396.81,4110,0,78080,0
Ok,11-09-2025 14:25:00,1757580900,12403.00,12410.00,12400.00,12401.00,12403.48,1256,0,73970,0
Ok,11-09-2025 14:20:00,1757580600,12396.00,12408.00,12390.00,12401.00,12398.50,1884,0,72714,0
Ok,11-09-2025 14:15:00,1757580300,12390.00,12400.00,12388.00,12394.00,12394.57,1453,0,70830,0
Ok,11-09-2025 14:10:00,1757580000,12387.00,12396.00,12385.00,12395.00,12389.49,1486,0,69377,0
Ok,11-09-2025 14:05:00,1757579700,12388.00,12396.00,12382.00,12393.00,12387.93,1439,0,67891,0
