stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 15:10:00,1757670000,7875.50,7877.00,7874.50,7876.50,7875.43,7167,0,98853,0
Ok,12-09-2025 15:05:00,1757669700,7876.00,7876.50,7874.00,7876.50,7875.75,4718,0,91686,0
Ok,12-09-2025 15:00:00,1757669400,7875.00,7879.00,7872.00,7875.00,7876.00,4593,0,86968,0
Ok,12-09-2025 14:55:00,1757669100,7873.50,7876.50,7872.00,7873.50,7874.93,2622,0,82375,0
Ok,12-09-2025 14:50:00,1757668800,7876.00,7876.50,7865.00,7876.50,7873.61,4464,0,79753,0
Ok,12-09-2025 14:45:00,1757668500,7876.00,7876.50,7875.00,7876.50,7875.48,1911,0,75289,0
Ok,12-09-2025 14:40:00,1757668200,7875.00,7878.00,7875.00,7876.50,7875.63,1519,0,73378,0
Ok,12-09-2025 14:35:00,1757667900,7875.00,7878.50,7875.00,7878.00,7875.63,1934,0,71859,0
Ok,12-09-2025 14:30:00,1757667600,7881.00,7881.00,7875.00,7876.50,7875.73,2427,0,69925,0
Ok,12-09-2025 14:25:00,1757667300,7880.00,7881.00,7877.00,7880.00,7878.90,773,0,67498,0
Ok,12-09-2025 14:20:00,1757667000,7878.00,7882.00,7877.00,7878.00,7878.66,871,0,66725,0
Ok,12-09-2025 14:15:00,1757666700,7879.50,7883.00,7876.00,7878.50,7878.97,1402,0,65854,0
Ok,12-09-2025 14:10:00,1757666400,7886.50,7886.50,7877.50,7879.00,7882.61,921,0,64452,0
Ok,12-09-2025 14:05:00,1757666100,7887.00,7887.00,7882.50,7886.00,7885.57,588,0,63531,0
Ok,12-09-2025 14:00:00,1757665800,7884.00,7888.50,7883.00,7887.50,7884.71,720,0,62943,0
Ok,12-09-2025 13:55:00,1757665500,7883.00,7887.50,7882.50,7885.00,7884.44,648,0,62223,0
Ok,12-09-2025 13:50:00,1757665200,7880.00,7884.50,7879.00,7884.50,7881.89,595,0,61575,0
Ok,12-09-2025 13:45:00,1757664900,7880.50,7885.50,7880.00,7882.50,7881.63,856,0,60980,0
Ok,12-09-2025 13:40:00,1757664600,7882.50,7884.50,7876.50,7879.50,7880.81,572,0,60124,0
Ok,12-09-2025 13:35:00,1757664300,7890.00,7890.00,7881.00,7884.50,7885.05,765,0,59552,0
Ok,12-09-2025 13:30:00,1757664000,7889.00,7890.00,7888.50,7889.00,7889.68,661,0,58787,0
Ok,12-09-2025 13:25:00,1757663700,7885.50,7890.00,7885.00,7888.50,7886.27,522,0,58126,0
Ok,12-09-2025 13:20:00,1757663400,7883.50,7885.50,7883.50,7885.50,7884.22,359,0,57604,0
Ok,12-09-2025 13:15:00,1757663100,7879.00,7882.50,7878.50,7882.00,7880.80,616,0,57245,0
Ok,12-09-2025 13:10:00,1757662800,7886.50,7887.00,7879.00,7880.50,7883.38,543,0,56629,0
Ok,12-09-2025 13:05:00,1757662500,7888.50,7889.50,7885.00,7887.00,7887.00,760,0,56086,0
Ok,12-09-2025 13:00:00,1757662200,7882.50,7888.00,7882.50,7886.00,7885.59,398,0,55326,0
Ok,12-09-2025 12:55:00,1757661900,7880.00,7884.50,7876.50,7882.00,7876.85,5052,0,54928,0
Ok,12-09-2025 12:50:00,1757661600,7879.00,7886.00,7878.50,7883.00,7880.25,1087,0,49876,0
Ok,12-09-2025 12:45:00,1757661300,7884.00,7886.50,7877.50,7878.50,7882.27,511,0,48789,0
Ok,12-09-2025 12:40:00,1757661000,7880.00,7885.50,7875.50,7883.50,7880.45,1069,0,48278,0
Ok,12-09-2025 12:35:00,1757660700,7880.00,7882.00,7875.00,7879.00,7877.76,814,0,47209,0
Ok,12-09-2025 12:30:00,1757660400,7880.50,7883.50,7878.00,7881.00,7880.98,1459,0,46395,0
Ok,12-09-2025 12:25:00,1757660100,7879.00,7881.00,7875.50,7881.00,7878.05,948,0,44936,0
Ok,12-09-2025 12:20:00,1757659800,7884.00,7889.50,7876.50,7877.00,7882.57,2901,0,43988,0
Ok,12-09-2025 12:15:00,1757659500,7870.00,7876.50,7870.00,7876.50,7872.29,1168,0,41087,0
Ok,12-09-2025 12:10:00,1757659200,7868.00,7871.50,7867.00,7870.50,7868.88,800,0,39919,0
Ok,12-09-2025 12:05:00,1757658900,7867.50,7867.50,7862.00,7867.50,7865.58,865,0,39119,0
Ok,12-09-2025 12:00:00,1757658600,7864.00,7868.00,7864.00,7867.00,7865.73,604,0,38254,0
