stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 15:10:00,1757670000,8986.00,8997.50,8982.50,8995.00,8988.71,14815,0,426721,0
Ok,12-09-2025 15:05:00,1757669700,8980.50,8992.50,8980.50,8986.50,8986.73,13429,0,411906,0
Ok,12-09-2025 15:00:00,1757669400,8995.50,8997.00,8979.50,8983.50,8989.37,12451,0,398477,0
Ok,12-09-2025 14:55:00,1757669100,8998.50,9003.50,8995.50,8997.00,8999.11,3819,0,386026,0
Ok,12-09-2025 14:50:00,1757668800,9002.50,9005.50,8996.50,8997.00,9001.33,2790,0,382207,0
Ok,12-09-2025 14:45:00,1757668500,9022.00,9026.00,8997.00,9000.00,9009.39,21879,0,379417,0
Ok,12-09-2025 14:40:00,1757668200,9022.50,9026.50,9020.00,9022.50,9023.57,1846,0,357538,0
Ok,12-09-2025 14:35:00,1757667900,9022.50,9025.00,9020.00,9020.00,9021.38,3853,0,355692,0
Ok,12-09-2025 14:30:00,1757667600,9013.00,9024.50,9011.00,9023.00,9018.69,5115,0,351839,0
Ok,12-09-2025 14:25:00,1757667300,9014.00,9018.50,9011.00,9012.00,9014.61,3531,0,346724,0
Ok,12-09-2025 14:20:00,1757667000,9009.00,9018.00,9006.50,9016.00,9009.79,5721,0,343193,0
Ok,12-09-2025 14:15:00,1757666700,9025.50,9028.50,9008.00,9008.00,9017.14,4962,0,337472,0
Ok,12-09-2025 14:10:00,1757666400,9026.50,9030.00,9023.50,9028.00,9026.70,2428,0,332510,0
Ok,12-09-2025 14:05:00,1757666100,9025.50,9029.00,9016.00,9027.00,9023.15,2531,0,330082,0
Ok,12-09-2025 14:00:00,1757665800,9011.00,9027.50,9011.00,9025.00,9017.83,2826,0,327551,0
Ok,12-09-2025 13:55:00,1757665500,9003.00,9019.00,9003.00,9015.00,9011.78,3592,0,324725,0
Ok,12-09-2025 13:50:00,1757665200,9011.50,9014.00,9000.00,9005.00,9005.74,3209,0,321133,0
Ok,12-09-2025 13:45:00,1757664900,9006.50,9012.00,9000.00,9009.00,9006.96,5691,0,317924,0
Ok,12-09-2025 13:40:00,1757664600,9054.00,9054.00,8998.00,9003.00,9020.36,12235,0,312233,0
Ok,12-09-2025 13:35:00,1757664300,9068.00,9069.50,9050.00,9050.50,9055.94,5288,0,299998,0
Ok,12-09-2025 13:30:00,1757664000,9078.50,9078.50,9063.00,9069.50,9071.62,2109,0,294710,0
