stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 11:25:00,1757656500,326.25,326.30,326.10,326.15,326.56,58578,0,4970318,0
Ok,12-09-2025 11:20:00,1757656200,326.15,326.35,326.10,326.20,325.99,84777,0,4911740,0
Ok,12-09-2025 11:15:00,1757655900,326.20,326.40,326.10,326.10,326.57,68671,0,4826963,0
Ok,12-09-2025 11:10:00,1757655600,326.35,326.40,326.20,326.30,326.57,52724,0,4758292,0
Ok,12-09-2025 11:05:00,1757655300,326.30,326.45,326.15,326.40,326.06,92863,0,4705568,0
Ok,12-09-2025 11:00:00,1757655000,326.30,326.40,326.15,326.20,326.58,58249,0,4612705,0
Ok,12-09-2025 10:55:00,1757654700,326.40,326.50,326.25,326.25,326.58,50971,0,4554456,0
Ok,12-09-2025 10:50:00,1757654400,326.55,326.55,326.25,326.35,325.72,51957,0,4503485,0
Ok,12-09-2025 10:45:00,1757654100,326.55,326.75,326.50,326.50,326.59,101028,0,4451528,0
Ok,12-09-2025 10:40:00,1757653800,326.30,326.75,326.15,326.50,326.58,110873,0,4350500,0
Ok,12-09-2025 10:35:00,1757653500,325.95,326.40,325.90,326.20,326.22,112692,0,4239627,0
Ok,12-09-2025 10:30:00,1757653200,326.10,326.40,325.80,325.90,325.95,242114,0,4126935,0
Ok,12-09-2025 10:25:00,1757652900,326.25,326.30,326.05,326.05,326.14,77174,0,3884821,0
Ok,12-09-2025 10:20:00,1757652600,326.05,326.40,326.05,326.20,326.39,143461,0,3807647,0
Ok,12-09-2025 10:15:00,1757652300,326.10,326.20,326.00,326.20,325.88,92946,0,3664186,0
Ok,12-09-2025 10:10:00,1757652000,326.30,326.30,326.05,326.05,326.15,67003,0,3571240,0
Ok,12-09-2025 10:05:00,1757651700,326.40,326.55,325.95,326.25,326.33,96010,0,3504237,0
Ok,12-09-2025 10:00:00,1757651400,326.50,326.95,326.40,326.70,326.70,140820,0,3408227,0
Ok,12-09-2025 09:55:00,1757651100,326.10,326.50,326.00,326.40,326.21,129887,0,3267407,0
Ok,12-09-2025 09:50:00,1757650800,326.40,326.50,326.00,326.15,326.14,207219,0,3137520,0
Ok,12-09-2025 09:45:00,1757650500,325.90,326.50,325.90,326.50,326.06,235110,0,2930301,0
Ok,12-09-2025 09:40:00,1757650200,326.00,326.00,325.85,325.95,325.92,196620,0,2695191,0
Ok,12-09-2025 09:35:00,1757649900,327.00,327.00,325.90,325.95,326.20,371486,0,2498571,0
Ok,12-09-2025 09:30:00,1757649600,327.20,327.45,326.75,326.95,327.12,309659,0,2127085,0
Ok,12-09-2025 09:25:00,1757649300,326.80,327.30,326.65,327.15,326.94,344851,0,1817426,0
Ok,12-09-2025 09:20:00,1757649000,327.00,327.65,326.85,326.85,327.28,351534,0,1472575,0
Ok,12-09-2025 09:15:00,1757648700,327.25,327.90,326.35,327.10,326.87,975513,0,1121041,0
